abandon	放弃；放纵
abash	使羞愧，使尴尬
abate	减轻，减少
abbreviate	缩短；缩写
abdicate	退位；辞职，放弃
aberrant	越轨的；异常的
abet	教唆；鼓励，帮助
abeyance	中止，搁置
abhor	憎恨，嫌恶
abide	容忍，忍受
abject	极可怜的； 卑下的
abjure	发誓放弃；弃绝
ablution	净礼，沐浴
abnegate	否认；放弃
abolish	废止，废除
abominate	痛恨；厌恶
aboveboard	光明正大的
abrade	磨损，刮除
abreast	并列地，并排地
abridge	删减；缩短
abrogate	废止，废除
abscission	切除，截去；脱离
abscond	潜逃，逃亡
absenteeism	旷课，旷工
absolute	绝对的，完全的；无限制的
absolve	赦免，免除
absorb	吸收；同化；吸引…的注意
abstain	禁绝，放弃
abstemious	有节制的，节俭的
abstract	摘要
abstruse	难懂的，深奥的
absurd	荒谬的，可笑的
abundant	丰富的，盛产的
abuse	辱骂；粗话；滥用
abusive	谩骂的，毁谤的；虐待的
abut	接界，毗连
abysmal	无底的，深不可测的；糟透的，极坏的
academic	学院的，学术的；理论的
accede	同意
accelerate	加速；促进
accentuate	重读；强调
access	通路；途径
accessible	易达到的；易受影响的
accessory	附属的，次要的
acclaim	欢呼，称赞
acclimate	使服水土；使适应
accolade	推崇；赞扬
accommodate	与…一致；提供食宿
accommodating	乐于助人的
accompany	伴随，陪伴
accomplice	同谋着，帮凶
accomplish	完成，做成功
accord	同意；一致
accost	搭话
accountability	负有责任
accrete	逐渐增长；连生
accrue	增大；增多
accumulate	积聚，积累
accurate	精确的，精准的
accuse	谴责，指责
acerbic	苦涩的；刻薄的
acknowledge	承认；致谢
acme	顶点，极点
acolyte	助手，侍僧
acorn	橡子，橡果
acoustic	听觉的，有关声音的
acquaint	使…熟知；通知
acquiesce	勉强同意，默许
acquired	后天习得的
acquisitive	渴望得到的，贪婪的
acquit	宣告无罪；脱卸义务和责任；还清
acquittal	宣告无罪，开释
acrid	辛辣的，刻薄的
acrimony	尖刻，刻薄
acrobat	特技演员，杂技演员
acrophobia	恐高症
acuity	敏锐
acumen	敏锐，精明
acute	敏锐的，灵敏的；急性的
adage	格言，谚语
adamant	强硬的；坚决的，固执的
adaptable	有适应能力的；可改编的
addendum	补充；附录
addict	沉溺；上瘾
additive	添加剂
address	处理，对付，着手解决；致辞
adept	老练的，精通的
adequate	足够的
adhere	黏着，坚持
adherent	拥护者，信徒
adhesive	带粘性的，胶粘的；胶合剂
adjacent	接近的，毗连的
adjourn	使延期，推迟；休会
adjunct	附加物，附件
adjust	调整，整理；使适合，适应
admire	钦佩，赞赏
admission	许可；入场费；承认，坦白
admonish	训诫；警告
adobe	泥砖，土坯
adolescent	青春期的；青少年
adore	崇拜，敬仰；热爱
adorn	装饰
adroit	熟练的，灵巧的
adulate	谄媚，奉承
adumbrate	预示；预告
advent	到来，来临
adventitious	偶然的
adverse	不利的；相反的；敌对的
advertise	做广告；通知
advisable	适当的，可行的
advocate	拥护，支持，鼓吹；支持者，拥护者
aegis	盾；保护，庇护
aerate	充气，让空气进入
aerial	空中的，空气中的
aesthete	审美家
aesthetic	美学的，有审美感的
affable	易于交谈的；和蔼的
affectation	做作，假装
