affected	不自然的；假装的
affidavit	宣誓书
affiliate	加入；联合
affinity	密切关系；吸引力
affirm	确认；肯定
affix	粘上，贴上；添写某事物；词缀
afflict	使痛苦，折磨
affluent	富裕的，丰富的
affordable	能够支付的
affront	侮辱，冒犯
agenda	议程
agglomerate	凝聚，结块
aggrandize	增大，扩张；吹捧
aggravate	加重，恶化
aggregate	集合；合计
aggression	侵略；敌对的情绪或行为
aggressive	好斗的；进取的
aggressor	侵略者，进攻者
aggrieve	使受委屈，使痛苦
agile	敏捷的，灵活的
agitate	搅动，煽动；使不安，使焦虑
agnostic	不可知论的；不可之论者
agog	兴奋的，有强烈兴趣的
agony	极大的痛苦
agrarian	土地的
agreeable	令人喜悦的，宜人的；欣然同意的
agronomy	农学，农艺学
ail	生病
airborne	空气传播的；空运的
airtight	密闭的，不透气的
alabaster	雪白润滑的
alacrity	乐意，欣然；敏捷，活泼
albeit	虽然，尽管
alchemy	炼金术
alcove	凹室
alert	警惕的，机警的；警报
alias	化名，别名
alibi	某人当时不在犯罪现场的申辩或证明
alienate	疏远，离间某人
align	将某物排列在一条直线上；与某人结盟
alimentary	饮食的，营养的
alkali	碱
allay	减轻，缓和
allege	陈述，宣称
allegiance	忠诚，拥护
allegory	寓言
allergic	过敏的；对…讨厌的
alleviate	缓和，减轻
allocate	配给，分配
allowance	津贴，补助；承认，允许
allude	间接提到，暗指
alluring	吸引人的，迷人的
aloft	在空中
aloof	冷淡的，孤零的
alphabetical	按字母表顺序的
alter	改变，更改
alternate	轮流的，交替的；轮流，交替；候选人，替代性选择
altruism	利他主义；无私
aluminium	铝
amalgam	混合物
amalgamate	合并；混合
amass	积聚
amateur	业余爱好者
ambidextrous	十分灵巧的
ambiguous	含糊的
ambivalent	有矛盾看法的
amble	漫步，缓行
ambush	埋伏；伏击
ameliorate	改善，改良
amenable	愿服从的，通情达理的
amend	修正；变化
amenity	礼仪；使人感到舒适的事物
amiable	和蔼的，亲切的
amicable	友好的
amity	友好关系
amnesia	健忘症
amnesty	大赦，特赦
amorphous	无定形的
amortize	分期偿还
amphibian	两栖动物；水陆两用飞行器
ample	充足的，丰富的
amplify	放大；详述
amplitude	广大，广阔
amulet	护身符
amuse	使愉快，逗某人笑
anachronistic	有时代错误的
anaerobic	厌氧的；厌氧微生物
anagram	变形词
analgesia	无痛觉，丧失痛觉
analgesic	镇痛剂；止痛的
analogy	相似；类比
analyze	分析，分解
anarchy	无政府；政治上的混乱
anathema	被诅咒的人；宗教意义的诅咒
anatomical	解剖学的
ancestor	祖先，祖宗
ancestry	家系
anchor	稳固；固定；锚
ancillary	辅助的；助手
anecdote	短故事；轶事
anemia	贫血，贫血症
anguish	极大的痛苦
angular	有角的；瘦削的
anhydrous	无水的
animate	活的，有生命的；赋予生命
animosity	憎恶，仇恨
animus	敌意，憎恨
annals	编年史
annexation	吞并，合并
annihilate	消灭
annotate	注解
announce	宣布，发表；通报…的到来
annoy	惹恼；打扰，骚扰
annul	宣告无效；取消
anomaly	异常，反常；异常事物
anonymity	无名，匿名
anorexia	厌食症
antagonize	使对抗；与…对抗
Antarctic	南极的
antecedent	前事；前辈；先行的
antediluvian	史前的；陈旧的
antenna	触角；天线
anterior	较早的；以前的
anthem	圣歌；赞美歌；国歌
