anthology	选集
anthropologist	人类学家
antibiotic	抗生素；抗菌的
antibody	抗体
antic	古怪的
anticipate	预期，期待
antidote	解毒药
antihistamine	抗组胺剂
antipathy	反感，厌恶
antique	古时的，古老的；古物，古董
antiseptic	杀菌剂；防腐的
antithesis	对立，相对
anvil	铁砧
aorta	主动脉
apex	顶点，最高点
aphorism	格言
aplomb	沉着，镇静
apocalyptic	预示世界末日的；启示的
apocrypha	伪经，伪书
apocryphal	假冒的，虚假的
apogee	远地点
apologize	道歉；辩解
apoplectic	中风的；愤怒的
apostasy	背教，脱党，变节
apostate	背教者；变节者
apostrophe	撇号
appall	使惊骇，使恐怖
apparatus	仪器，设备
apparel	衣服
apparition	幽灵；神奇的现象
appeal	恳求；吸引；上诉
appease	使平静，安抚
appellation	名称，称呼
appetite	欲望，食欲
appetizer	开胃品
appetizing	美味可口的，促进食欲的
applaud	鼓掌表示欢迎或赞赏
applause	鼓掌，喝彩；赞许
applicable	可应用的，适合的
applicant	申请人
appoint	任命，指定
apposite	适当的，恰当的，相关的
appraise	评价，鉴定
appreciable	明显的
appreciate	欣赏；感激
apprehend	逮捕，恐惧
apprentice	学徒
apprise	通知，告诉
approach	接近，靠近；着手处理；方法
approbation	称赞；认可
appropriate	拨款；盗用，挪用；恰当的
approximate	大约的，估计的
apron	围裙
apropos	适宜的；有关
apt	易于…的，恰当的
aptitude	适宜；才能，资源
aquatic	水生的，水中的
arabesque	蔓藤图饰
arable	可耕的，适宜种植的
arbiter	权威人士，泰斗
arbitrary	专横的，不理智的
arbitrate	仲裁，公断
arboreal	树木的
arboretum	植物园
arcane	神秘的，秘密的
arch	拱门，拱形；使…成弓形
archaeology	考古学
archetype	原型；典型例子
archipelago	群岛
architect	建筑师
archive	档案室
arctic	北极的；极寒的
ardent	热心的，热烈的
arena	竞技场
argot	隐语，黑话
aria	独唱曲，咏叹调
arid	干旱的；枯燥的
aristocracy	贵族；贵族政府，贵族统治
armada	舰队
armistice	休战，停战
armory	军械库
aroma	芳香，香气
array	部署；陈列；大批
arrest	逮捕；拘留；阻止，抑制
arresting	显著的，引人注意的
arrhythmic	无节奏的；不规则的
arrogant	傲慢的，自大的
arrogate	冒称，霸占
arsenal	军械库
arson	纵火，放火
artery	动脉，命脉
arthritis	关节炎
articulate	清楚说话；接合
artifact	人工制品
artifice	巧办法；诡计
artificial	人造的，假的
artistry	艺术技巧
artless	粗俗的；自然的
ascendancy	统治权，支配力量
ascetic	禁欲的；苦行者
ascribe	归功于，归咎于
aseptic	洁净的；无菌的
aspect	方面；外貌，外表
aspen	白杨
asperity	严酷；粗鲁
aspersion	诽谤，中伤
asphyxiate	无法呼吸，窒息而死
aspiration	抱负，热望
aspire	向往，有志于
assail	抨击；猛攻
assault	突然袭击；猛袭
assay	试验，测定
assemble	集合，聚集，收集；装配，安装
assent	同意，赞成
assert	断言，主张
assertive	过分自信的；有进取心的
assess	评价，评定；估算，估定
assessment	估计，评价
asset	资产，财产；有价值的人或物，可取之处
assiduous	勤勉的；专心的
assimilate	同化；吸收
associate	联合的；合伙人；将人或事物联系起来
assorted	混杂的
assuage	缓和，减轻
assume	假定；承担，担任
assumption	设想；夺取
assure	向某人保证；使确信
asterisk	星号
asteroid	小行星
asthma	哮喘病
astound	使震惊
astray	迷路的，误入歧途的
astringent	止血的；收缩的；收缩剂，止血剂
astrolabe	星盘
astrology	占星术；占星学
astronomical	天文学的；庞大的
astute	机敏的，精明的
asunder	分离的；化为碎片
asylum	避难所，庇护所
asymmetric	不对称的
athletics	运动，体育
atonal	无调的
atrocious	残忍的，凶恶的
atrophy	萎缩，衰退
attach	将某物附在上
attain	达到，实现
