attenuate	变薄；变弱
attest	证明为真
attic	阁楼，顶楼
attorney	律师
attribute	属性，品质；把…归于
attune	使调和
auction	拍卖
audacious	大胆的；无畏的；愚勇的
audible	听得见的
augment	增大，增值
augur	占卜师；占卜
august	威严的，高贵的
auspices	资助，赞助
auspicious	吉兆的
austere	朴素的
authentic	真正的；法律证实的
authoritarian	独裁主义者；极权主义者
autobiography	自传
autocrat	独裁者
autonomy	自制，独立
auxiliary	辅助的，协助的，附加的
available	可用的，可得到的
avalanche	雪崩
avarice	贪财，贪婪
avenge	为…复仇，为…报仇
aver	极力声明；断言；确证
averse	不愿的，反对的
aversion	嫌恶，憎恨
avert	避免，防止；避开
 aviary	大鸟笼，鸟舍
avid	渴望的，热心的
avoid	避开，躲避
avow	承认；公开宣称
awe	敬畏
awe-inspiring	令人敬畏的
awkward	笨拙的；难用的；造成不便的
awl	尖钻
awning	遮阳篷，雨篷
awry	扭曲的，走样的
axiom	公理；定理
axis	轴
axle	轮轴
babble	胡言乱语；牙牙学语；喋喋不休
backdrop	背景，背景幕布
backhanded	间接的；反手击球的
bacterium	细菌
badge	徽章
badger	獾；一再烦扰，一再要求
badinage	开玩笑，打趣
bail	保释金；保释
bait	诱饵；逗趣；激怒
bale	大包裹；灾祸；不幸
baleful	有害的，邪恶的，恶意的
balk	大方木料；妨碍；不愿前进或从事某事
balled	歌谣，小曲
ballast	压舱物
ballerina	芭蕾舞女演员
balloon	气球；快速增长
ballot	投票
balm	香油，药膏；镇痛剂，安慰物
balmy	温和的；芳香的，能止痛的
ban	禁令；明令禁止
banal	乏味的，陈腐的
band	带子；收音机波段
bandage	绷带；用绷带包扎
bane	祸根
banish	放逐某人
banister	栏杆
bankrupt	破产的
banquet	宴会，盛宴
banter	打趣，玩笑
bar	禁止，阻挡；条，棒
barb	倒钩；批评的话
barbarous	野蛮的，粗俗的
barbecue	烤肉架；烤肉
bard	吟游诗人
bare	暴露；赤裸的
barefaced	厚颜无耻的，公然的
bargain	交易；物美价廉的东西；讨价还价
barge	平底货船，驳船
bark	犬吠；树皮
barn	谷仓
barometer	气压计；晴雨表
baroque	过分雕琢
barrage	弹幕
barren	贫瘠的；不育的，不结果实的
barricade	设栅阻挡；栅栏
barrier	路障；障碍
barter	易货贸易
base	卑鄙的
bask	晒太阳，取暖
baste	倒油脂于
batch	一批，一炉
bathetic	假作悲伤的；陈腐的
baton	指挥棒；警棍
battalion	军营，军队
bauxite	铝土岩
bawdy	淫猥的，好色的
bazaar	集市，商店集中区
beacon	烽火，灯塔
beam	大梁；光线
bearing	关系，意义；方位
beat	心跳；搅拌
bedeck	装饰，修饰
bedlam	混乱，骚乱
befuddlement	迷惑不解
begrudge	吝啬，勉强给
beholder	目睹者，旁观者
behoove	理应，有义务
belabor	过分冗长地做或说；痛打
belated	来得太迟的
beleaguer	围攻；骚扰
belie	掩饰；证明为假
belittle	轻视，贬抑
bellicose	好战的，好斗的
belligerence	交战；好战性，好斗性
bellwether	领导者，领头羊
bench	法官席；长凳
bend	弯曲；屈服
benediction	祝福；祈祷
benefactor	行善者，捐助者
benevolent	善心的，仁心的
benign	慈祥的
benison	祝福，赐福
bent	特长，爱好；弯曲的
bequeath	遗赠
bequest	遗产，遗赠物
berate	猛烈责骂
bereft	被剥夺的，丧失的；缺少的
beset	镶嵌；困扰
besiege	围攻，困扰
besmirch	诽谤
bestial	野兽的，残忍的
bestow	给予，赐赠
betray	背叛；暴露
betroth	许配，和…结婚
beverage	饮料
