bewilder	使迷惑，混乱
bewildering	令人迷惑的；费解的
bibliography	文献学；参考书目
bibliophile	爱书者，藏书家
bicker	为小事争吵
bid	命令；竞标，出价
bifurcate	分为两支，分叉
bigot	顽固盲从者；偏执者
bile	胆汁；愤怒
bilingual	两种语言的
bilk	躲债
billowy	如波浪般翻滚的
bin	大箱子
biosphere	生命层，生物圈
biped	两足动物
bit	钻头
bizarre	奇异的，古怪的
blade	刀锋，刀口
blanch	使变白；使变苍白
bland	情绪平稳的；无味的
blandishment	奉承，甜言蜜语
blasphemy	亵渎，渎神
blast	一阵；冲击波；爆破；枯萎
blatant	厚颜无耻的；显眼的；炫耀的
blazon	纹章，装饰；精确描绘；宣扬，夸示
bleach	漂白，使无色；漂白剂；漂白的行为
bleak	寒冷的；阴沉的；阴郁的，暗淡的 
blemish	损害；玷污；瑕疵，缺点
blight	植物枯萎病；使…枯萎
bliss	狂喜，极大的幸福；福佑，天赐的福
blithe	快乐的，无忧无虑的
blizzard	暴风雪
blockade	封锁
blockage	障碍物
blooming	有花的；精力旺盛的
blotch	红斑点；大斑点
blowhard	自吹自擂者
blue	忧伤的，沮丧的
blueprint	蓝图；方案
blunder	犯大错；笨拙地做；愚蠢之举
blunt	钝的；直率的
blur	模糊不清的事物；使…模糊
blurb	简介；印在书籍封套上的推荐广告
blurt	脱口而出
blush	因某事物脸红；因羞愧等脸上泛出的红晕
bluster	猛刮
blustering	大吵大闹的
boast	自夸
bodyguard	保镖，侍卫
bog	沼泽；使…陷入沼泽
boggle	畏缩不前；使退缩
bogus	假的
boisterous	喧闹的；猛烈的
bolster	枕垫；支持，鼓励
bolt	急逃；螺栓，门闩
bombast	高调，夸大之辞
bondage	奴役，束缚
bonnet	圆帽，扁平软帽
boom	繁荣昌盛时期；发出深沉有回响的声音
boon	恩惠，天赐福利
boor	举止粗野的人；乡下人
boost	往上推；增加，提高
bootless	无益处的；无用的
bore	钻孔；使厌烦；孔；令人厌烦的人
boredom	厌烦；令人厌烦的事物
botany	植物学
boulder	巨砾
bouquet	花束；芳香
bourgeois	中产阶级的；自私拜物的
bout	一回合，一阵
boycott	抵制
brace	使稳固，架稳；支撑物
bracelet	手镯，臂镯
bracing	令人振奋的
bracket	托架，支架
brag	吹嘘
braggadocio	吹牛大王；大吹大擂
braggart	吹牛者
braid	穗子；发辫；编成辫子
brake	刹车；减速
brandish	挥舞
brash	性急的；无礼的
brassy	厚脸皮的，无礼的
brat	孩子；顽童
bravado	故作勇敢，虚张声势
bravura	华美乐段；华美的；显示技巧的
brawl	争吵，打架
brazen	厚脸皮的
breach	裂缝，缺口；打破，裂开；违背
breadth	宽度
breed	繁殖；教养；品种，种类
bribe	贿赂
bricklayer	砌砖盖房者，泥瓦匠
bridle	马笼头；抑制，控制
brink	边沿，边缘
brisk	快的，敏捷的，活泼的；清新健康的
bristle	短而硬的毛发；竖起；发怒
brittle	易碎的，脆弱的
broach	开；提出
brochure	小册子，说明书
broker	经纪人
bromide	平庸的人或话；镇静剂，安眠药
brood	一窝幼鸟；孵蛋；冥想
brook	小河
browbeat	欺侮；吓唬
bruise	受伤，擦伤
bruit	散布
brunt	主要冲击力或影响
brusque	唐突的，鲁莽的
brutal	残忍的；严酷的
buck	反对；雄鹿；雄兔
bucket	圆桶
bucolic	乡村的；牧羊的
bud	芽；花蕾
budge	移动一点儿；改变立场
budget	预算
buffoon	演出时的丑角；粗俗而愚蠢的人
bulb	植物的球茎；灯泡
bulge	膨胀，鼓起
bulk	体积；数量；大多数；大身躯
bully	以强欺弱，威胁；欺负别人者
bumptious	傲慢的，自夸的
bungle	笨拙地做
buoy	浮标；救生圈；支持，鼓励
buoyant	有浮力的；快乐的
bureaucracy	官僚政治
burgeon	迅速成长，发展
burial	埋葬，埋藏
burlesque	讽刺或滑稽的戏剧
burnish	擦亮，磨光
bust	半身像
butt	用头抵撞，顶撞；粗大的一段；烟蒂
buttress	拱墙，拱壁；支持
byline	报刊文章首行
byproduct	副产品；副作用
bystander	旁观者
byzantine	像迷宫似的；难变更的
cabal	政治阴谋小集团
cabinet	橱柜
cache	贮藏处；将…藏于
cacophony	难听的声音
cadet	军校或警官学校的学生
cadge	乞讨；占便宜
cajole	哄骗
