calamity	大灾祸，不幸之事
calcium	钙
calculated	蓄意的
calculating	深谋远虑的，精明的
calculus	微积分学，结石
caldron	大锅
calibrate	量…口径；校准
calipers	测径器，双脚规
calligraphy	书法
callous	结硬块的；无情的
callow	未生羽毛的；未成熟的
calorie	卡路里；卡
calumniate	诽谤，中伤
calumny	诽谤，中伤
cameo	浮雕宝石；生动刻画；出演
camouflage	掩饰，伪装
campaign	战役；竞选活动
canary	金丝雀；女歌星
candid	率直的
candidacy	候选人的资格
candor	坦白，率直
cane	拐杖
canine	犬的，似犬的
canny	精明仔细的
canon	经典，真作
canonical	按照教规的；见于宗教经典的
canopy	蚊帐；华盖
cant	斜坡，斜面；隐语，术语，黑话；使倾斜
cantankerous	脾气坏的，好争吵的
canto	篇
canvas	画布；帆布
canvass	细查；拉选票
canyon	峡谷
cape	披肩，短斗篷；海角
capillary	毛细血管
capitulate	投降
caprice	奇思怪想，变化无常，任性
capricious	变化无常的，任性的
capsule	荚；胶囊
caption	标题
captious	吹毛求疵的
captivate	迷惑，吸引
capture	俘获；夺取或赢得；战利品
carafe	玻璃瓶
carapace	甲壳
carbohydrate	碳水化合物
carcinogen	致癌物
cardinal	最重要的；红衣主教
cardiologist	心脏病专家
caress	爱抚，抚摸；爱抚或抚摸某人
careworn	受忧虑折磨的，饱经风霜的
cargo	货物
caricature	讽刺画；滑稽模仿
carnivorous	肉食动物
carol	颂歌；欢唱
carouse	狂欢寻乐
carp	鲤鱼；吹毛求疵
carpenter	木匠
carrion	腐肉
cartographer	绘制地图者
carve	雕刻；切成片
cast	演员阵容；剧团；扔；铸造
caste	社会等级，等级
castigate	惩治，严责
casual	偶然的
casualty	伤亡事故；伤亡者
cataclysm	剧变，灾难
catalyst	催化剂；促使事情发展的因素
catastrophe	突如其来的大灾难
categorical	无条件的，绝对的；分类的
cater	迎合；提供饮食及服务
caterpillar	毛毛虫，蝴蝶的幼虫
catharsis	宣泄，净化
cathedral	总教堂，主教堂
catholic	普遍的；广泛的；宽厚的
caucus	政党高层会议
caulk	填塞
causal	原因的，因果关系的
caustic	腐蚀性的；刻薄的；腐蚀剂
cauterize	烧灼以消毒或止血
cavalier	骑士，武士
cavalry	骑兵部队，装甲部队
caveat	警告，告诫
cavern	大洞穴
cavil	挑毛病，吹毛求疵
cavity	洞，腔
cavort	腾越，欢跃
cede	割让，放弃
celebrated	有名的，知名的
celebrity	名声；知名人士
celestial	天体的，天上的
cellar	地下室；酒窖
cello	大提琴
cement	水泥；胶黏剂；黏合，巩固
censor	审查，检查
census	人口统计
centaur	人头马怪物
centigrade	百分度的，摄氏温度计的
centralization	集中；集权化
centurion	古罗马的百人队长
ceramic	陶瓷制品
cereal	谷类；谷类制品
cerebral	大脑的；深思的
ceremonious	仪式隆重的
ceremony	典礼，仪式
certainty	确定的事情
certification	证明
certitude	确定无疑
cessation	中止，停止
cession	割让，转让
chafe	擦热；擦痛；激怒
chaff	谷壳，米糠
chagrin	失望，懊恼
chalice	大酒杯；圣餐杯
chameleon	变色龙，蜥蜴；善变之人
champion	冠军；斗士；拥护者；拥护
championship	冠军地位；锦标赛
chancellor	大臣；总理；首席法官；大学校长
chandelier	枝形吊灯
chant	圣歌；歌唱或背诵
chaos	混乱
chapel	小教堂
char	烧焦；使…燃烧成焦炭
characteristic	有特色的；典型性的；与众不同的特征
characterization	描绘，刻画
characterize	描述或刻画…的特点
charade	用动作等表演文字意义的字谜游戏
charisma	领袖气质；魅力
charity	仁慈；施舍
charlatan	江湖郎中，骗子
charm	魅力；咒语，咒符；吸引，迷住
charter	特权或豁免权
chary	小心的，审慎的
chase	雕镂；追捕
chasm	深远，大沟；大差别
chaste	贞洁的；朴实的
chastise	严厉惩罚；谴责
chauvinistic	沙文主义的，过分爱国主义的
check	使突然停止，阻止
chef	厨师
cherubic	胖乎乎而天真无邪的
chicanery	诡计，狡诈
chide	叱责，指责
chimera	神话怪物；梦幻
chip	薄片，碎片；集成电路片
chipmunk	花栗鼠
chisel	凿子；凿
chivalrous	武士精神的；对女人彬彬有礼的
choice	上等的，精选的
choir	唱诗班
choke	窒息，阻塞
choleric	易怒的，暴躁的
chord	和弦，和音
choreography	舞蹈；舞蹈编排
chorus	合唱队，歌舞团
