chromatic	彩色的，五彩的
chromosome	染色体
chronic	慢性的，长期的
chrysanthemum	菊，菊花
chuckle	轻声地笑
churl	粗鄙之人
cinder	余烬，煤渣
cipher	零；无影响力的人；密码
circuit	环形，环形道；线路；电路
circuitous	迂回的，绕圈子的
circulate	循环；流通
circumference	周围；圆周；周长
circumlocution	迂回累赘的陈述
circumscribe	限制
circumstantial	不重要的，偶然的；描述详细的
circumvent	回避；用计谋战胜或规避
cistern	贮水池
cite	引用，引述
civil	国内的；公民的；文明的
civilian	平民
civility	彬彬有礼，斯文
claim	要求或索要；声称拥有的权力
clairvoyance	超人的洞察力
clam	蛤蜊，蛤肉；守秘密之人
clamor	吵闹，喧哗
clamp	钳子；钳紧
clandestine	秘密的，暗中从事的
clannish	排他的，门户之见的
clarify	澄清
clash	冲突，撞击
clasp	钩子，扣子；紧握
classify	分类，归类
clause	从句；条款
clay	黏土
cleft	裂缝；劈开的
clemency	温和；仁慈，宽厚
clement	仁慈的；温和的
climax	顶点，高潮
clinch	钉牢；最后确定
cling	紧抓住；舍不得放弃
clinical	临床的；冷静客观的
clip	夹子，别针；修剪
clipper	大剪刀；快速帆船
clique	朋党派系，小集团
clog	障碍；阻塞
cloister	修道院
closet	壁橱；秘密的
clot	凝块；使凝结成块
cloture	辩论的终结
cloudburst	大暴雨，豪雨
clout	用手猛击；权力，影响力
clown	小丑；扮小丑
cloying	甜得发腻的
clumsy	笨拙的
cluster	串，束，群；成群，成串
coagulant	凝结剂；凝血剂
coagulate	使凝结
coalesce	联合，合并
coalition	结合，联合
coarse	粗糙的；低劣的；粗俗的
coarsen	使某物变粗糙
coax	哄诱，巧言劝诱
cob	玉米棒子；雄天鹅
cobbler	补鞋匠
cocoon	茧
coda	乐曲的尾声
coddle	溺爱；细心照料
code	密码；法典；将某事物变成密码
codify	将法律、规则等编成法典
coerce	强迫
coercion	强迫，高压统治
coeval	同年代的
cogent	有说服力的
cogitate	慎重思考，思索
cognizance	认识，察识
cognizant	知道的，认识的
cohabit	共栖
coherent	连贯的，一致的
cohesion	内聚力；凝聚力
cohesive	凝聚的
coincide	巧合；一致
colander	滤器，漏勺
cold-blooded	冷血的；残酷的
collaborate	合作，协作
collage	拼贴画
collapse	坍塌，塌陷；虚脱，晕倒
collar	衣领；戴在动物颈部的项圈
collate	对照，核对
collateral	平行的；旁系的；担保品
collected	泰然自若的
collection	收藏品
collision	碰撞，冲突
colloquial	口语的，口头的
colloquium	学术讨论会
collude	串通，共谋
colon	冒号
colonize	建立殖民地
colonnade	柱廊
colony	菌群；殖民地
coloration	着色法，染色法；颜色，色泽
colossal	巨大的，庞大的
colossus	巨人
coltish	似小马的；不受拘束的
coma	昏迷状态
comatose	昏迷的
combat	格斗，搏斗
combustible	易燃的；易激动的
comedienne	说笑话、演滑稽剧等的女演员
comely	动人的，美丽的
comic	可笑的；喜剧的；喜剧演员
comity	礼让，礼仪
comma	逗号
commemorate	纪念
commence	开始，着手
commencement	开始；毕业典礼
commensurate	同样大小的；相称的
commentary	实况报道；集注
commingle	掺和，混合
commission	委托；佣金
commit	托付；承诺；犯罪
committed	尽忠的
commodious	宽敞的
commodity	商品
commonplace	平常的
commonwealth	共和国，联邦
commotion	骚动，动乱
communal	全体公用的，共享的
commune	公社；与某人亲密地交谈
communicate	传送信息，沟通
commute	交换；坐公交车上下班
compact	结实的；简洁的；合同，协议
companion	同伴，同伙；受雇的陪伴人
comparison	比较，对照；比喻
compartment	隔间；车厢
compass	指南针，罗盘；界限，范围
compassion	同情，怜悯
compatible	和谐共处的，相容的
compatriot	同胞，同国人
compel	强迫
compelling	引起兴趣的
compendium	简要，概略
compensate	补偿，赔偿
competence	胜任，能力
compile	汇集；编辑
