complacency	满足，安心
complaisance	彬彬有礼，殷勤，柔顺
complaisant	顺从的，讨好的
complementary	互补的
compliant	服从的，顺从的
complicate	使某事复杂化
compliment	恭维，称赞
component	成分，零部件
compose	写，创作
composed	镇定的，沉着的
compost	混合肥料
composure	镇静，沉着；自若
compound	复合物
comprehend	理解；包括
comprehensible	能充分理解的
comprehensive	全面的，综合的
compress	压缩，浓缩的
compromise	妥协；危害
compulsion	强迫；难以抗拒的冲动
compunction	懊悔，良心不安
concatenate	连结；连锁
concave	凹的
conceal	隐藏，隐瞒
concede	承认；让步
conceit	自负，自大
conceive	想象，构想；怀孕
concentrate	聚集，浓缩
conception	观念
concerto	协奏曲
concession	让步
conciliate	安抚，驯服
conciliatory	抚慰的，调和的
concise	简洁的
conclave	秘密会议
conclusive	最后的，结论的；确凿的，消除怀疑的
concomitant	伴随而来的
concord	公约；和睦
concrete	具体存在的；混凝土
concur	意见相同，一致
concussion	脑震荡；强烈振荡
condemn	极力谴责；判刑
condense	浓缩
condescend	轻慢，怀着优越态度对待人
condone	宽恕，原谅
conducive	有助于…的
conduct	品德，行为；领导，引导
conduit	渠道，引水道；水管
cone	松果；圆锥体
confection	甜食，糖果
confederacy	联盟或同盟
confer	讨论，商谈
conference	讨论会，协商会
confess	承认，公认
confide	吐露；倾诉
confidence	新人，自信，信心
confidential	机密的
configuration	结构，配置；轮廓
confine	限制，禁闭
confirm	证实，证明
confiscate	没收；充公
conflagration	建筑物或森林大火
conflate	合并
conflict	斗争，战斗；冲突，抵触
conformist	遵奉传统者，遵守习俗者
confound	使迷惑，搞混
confront	面临；对抗
congeal	冻结，凝固
congenial	意气相投的；性情好的
congest	使拥挤；充血
conglomerate	集聚成团
congregate	聚集，集合
congruent	全等的，一致的
congruous	一致的，符合的；全等的
conifer	针叶树
conjecture	推测，臆测
conjoin	使结合
conjunction	联合；连词
conjure	召唤，想起；变魔术，变戏法
connive	默许；纵容共谋
connoisseur	鉴赏家，行家
connotation	言外之意，内涵
conquer	以武力征服
conquest	征服；战利品
conscience	良心，是非感
conscientious	尽责的；小心谨慎的
conscript	强行征兵，征召
consensus	意见一致
consent	同意，允许
consequence	结果；后果；重要性；价值
consequential	傲慢的，自以为是的
conservative	保守的，守旧的
conservatory	温室；音乐学院
conserve	保全，保存
considerable	相当多的；值得考虑的
consign	托运；托人看管
consistent	前后一致的
console	安慰，抚慰
consolidate	巩固；坚强；合并
consolidation	合并，巩固
consonant	调和的，一致的
conspicuous	显著的，显而易见的
conspire	阴谋，共谋
constant	稳定的，不变的；常数
constellation	星座，星群
consternation	大为吃惊，惊骇
constituent	成分；选区内的选民
constitute	组成，构成；建立
constitution	宪法；体质
constitutional	章程的，法规的；素质上的，本质的
constrain	束缚，强迫；限制
constraint	强制，强迫；对感情的压抑
constrict	压缩，收缩
construct	建造，构成
construe	解释；翻译
consul	领事
consummate	完全的，完善的；完成
contact	接触；互通信息
contagious	传染的；有感染力的
contain	包含，含有；控制；阻止，遏制
containment	阻止，遏制
contaminate	使…受污染
contemplate	深思
contempt	轻视，鄙视
contemptible	令人轻视的
contemptuous	鄙视的，表示轻蔑的
contend	竞争，争夺；据理力争，主张
