content	知足的，满意的；内容；满意
contented	心满意足的
contention	争论；论点
contentious	好辩的，善争吵的
contest	竞争；对…表示怀疑
context	上下文
contiguous	接壤的，接近的
continent	自制的；大陆
contingent	意外的；视情况或条件而定的
contort	扭曲；歪曲
contraband	违禁品，走私货
contract	合同；订合同；收缩
contradict	反驳，驳斥
contrast	对比；对比，对照
contravene	违背
contrite	悔罪的，痛悔的
contrive	计划，设计
contrived	不自然的，做作的
control	实验对照组
controversial	引起或可能引起争论的
controvert	反驳，驳斥
contumacious	违抗的，不服从的
conundrum	谜语，难题
convalesce	康复，复原
convalescent	康复中的
convenience	便利，有益；方便
conventional	因循守旧的，传统的
converge	会聚，集中于一点
convergent	会聚的
conversant	精通的，熟知的
converse	谈话；逆向的；相反的事物
convert	使改变；改变信仰的人
convertible	可转换的；敞篷车
convey	运载，运送；表达
convict	定罪；罪犯
conviction	判罪；坚信
convince	是某人确信；说服
convivial	欢乐的，狂欢的
conviviality	欢乐；爱交际的性格
convoke	召集
convoluted	旋绕的；费解的
convulse	使震动，震惊
convulsion	骚动；痉挛
coop	笼，栏
cooperate	与他人合作
coordinate	同等物，坐标；使各部分协调；同等的
copious	丰富的，多产的
cord	考得；绳索
core	果心；核心；去掉某物的中心部分
cornucopia	象征丰收的羊角
coronation	加冕
corporate	团体的
corporeal	肉体的，身体的；物质的
corpuscle	血球，细胞
corral	畜栏
correspondent	符合的；记者
corroborate	支持或证实；强化
corrode	腐蚀，侵蚀
corrosive	腐蚀性的，蚀坏的
corrugate	起波浪形，起皱纹
corrupt	堕落的，腐败的；文体有错误的
cosmic	宇宙的
cosmopolitan	世界主义者，四海为家的人
cosmopolitanism	世界性，世界主义
cosmos	宇宙
cosset	宠爱，溺爱
costume	服装；剧装
coterie	小团体
coterminous	毗连的，有共同边界的
cougar	美洲豹
countenance	支持，赞成；容忍；表情
counteract	消除，抵消
counterbalance	起平衡作用
counterfeit	伪造，仿造
countermand	撤回，取消
counterpart	相对应或具有相同功能的人或物
counterproductive	事与愿违的
coup	意外而成功的行动
court	法庭，法院；宫廷，朝廷；献殷勤
covenant	契约；立书保证
covert	秘密的，隐秘的
covet	贪求，妄想
cow	威胁
coward	胆小鬼
cower	萎缩，蜷缩
coy	腼腆的，忸怩的
cozen	欺骗，哄骗
crab	蟹，螃蟹；抱怨，发脾气
crabbed	暴躁的
crack	爆裂声；裂缝；裂开；破解，破译
craft	行业；手艺
cram	填塞，塞满；临时抱佛脚，为考试而学习
cramp	铁箍，夹子；把…箍紧
cranky	怪癖的，任性的
crass	愚钝的；粗糙的
crate	篓，板条箱
crater	火山口；弹坑
cravat	领巾，领结
craven	懦弱的，畏缩的
craving	强烈的愿望
crayon	彩色蜡笔或其绘画
crease	折缝，皱痕
credence	相信，信任
credible	可信的，可靠的
credit	赊购；信任；片头字幕
credulous	轻信的，易信的
creek	小湾，小溪
creep	匍匐前进；悄悄地移动
crescendo	渐强；高潮
crest	山顶，浪尖；羽冠
crestfallen	挫败的，失望的
cringe	畏缩；谄媚
cringing	谄媚，奉承
criteria	评判标准
criterion	评判的标准，尺度
critic	批评者
critical	挑毛病的；关键的；危急的
critique	批评性的分析
croak	蛙鸣声；发牢骚，抱怨
crochet	钩针织物；用钩针编织
crockery	陶器，瓦器
cronyism	任人唯亲；对好朋友的偏袒
crook	使弯曲；钩状物
cross	生气的
crouch	蹲伏，弯腰
crucial	决定性的
crudity	粗糙，生硬
crumb	饼屑，面包屑；碎裂的东西
crumble	弄碎；崩毁
crumple	弄皱；破裂
crusade	维护理想、原则而进行的运动或斗争
crust	硬的表面；地壳
crutch	拐杖；支撑
crux	关键，症结所在
cryptic	秘密的，神秘的
cub	幼兽；年轻无经验的人
cubicle	大房间中隔出的小室
cue	暗示，提示；暗示，提示
cuisine	烹饪
culinary	厨房的；烹调的
culmination	顶点；结果
culpable	有罪的，该受谴责的
cult	宗派；崇拜
cultivate	种植；向…讨好
cultivated	耕种的，栽植的；有修养的
