cumbersome	笨重的
cumulus	积云
cunning	善于骗人的；灵巧的；欺诈行为
cupidity	贪婪
curator	馆长
curb	路缘，镶边石；马勒；控制
curdle	使凝结，变稠
curmudgeon	脾气暴躁之人
curriculum	课程
cursory	粗略的，草率的
curt	简略而草率的
curtail	削减，缩短
cushion	坐垫；缓冲
custodian	管理员，监护人
custody	监管，保管
customary	合乎习俗的
cuticle	表皮
cutlery	餐具
cyclical	循环的
cyclone	气旋，飓风
cylinder	圆柱
cynic	犬儒主义者，愤世嫉俗者
cypress	柏树
cytology	细胞学
dabble	涉足，浅尝
daft	傻的
dagger	短剑，匕首
daguerreotype	银版照相
dainty	量少而味美的食物；娇美的；挑剔的
dally	闲荡，嬉戏
damp	减弱，抑制；潮湿的
damped	减震的；压低的
dampen	潮湿；使沮丧，泼凉水
dandy	花花公子，好打扮的人
dapper	整洁漂亮的；动作敏捷的
dappled	有斑点的，斑驳的
daredevil	胆大的，冒失的
dart	飞镖；疾驰；投射
daunt	使胆怯，使畏缩
dawdle	闲荡，虚度
deaden	减低某物的力量或强度
deadlock	相持不下，僵局
deadpan	无表情的
dealing	生意行为；作风
dearth	缺乏，短缺
debacle	解冻；崩溃
debark	下船，下飞机，下车；卸载
debase	贬低，贬损
debate	正式的辩论，讨论
debilitate	使衰弱
debouch	流出，进入
debrief	向…询问情况，听取汇报
debris	废墟，残骸
debunk	揭穿真相，暴露
debut	初次登台，初次露面
decadence	衰落，颓废
deceit	欺骗，欺诈
decency	正派，端庄
deception	欺骗手段
decibel	分贝
deciduous	非永久的；短暂的；脱落的；每年落叶的
decimate	毁掉大部分；大量杀死
decipher	解开；破译
declaim	高谈阔论
declamation	雄辩，高调
decline	拒绝；变弱，变小；消减
decode	译解
decompose	腐烂
decomposition	分解，腐烂；崩溃
decorate	装饰某事物
decorum	礼节，礼貌
decrepit	衰老的；破旧的
decry	责难；贬低
dedication	对某事业或目的的忠诚
deduce	演绎，推断
deduct	减去，扣除
deductive	推理的，演绎的
deed	行为；转让契约、证书
deface	损坏
default	拖债；未履行的责任
defeatist	失败主义者
defect	缺点，瑕疵；变节，脱党
defendant	被告
defense	防御，防护
defer	推延
deference	敬意，尊重
deferential	顺从的，恭顺的
defiance	挑战；违抗，反抗
deficiency	缺陷；不足
deficit	不足；赤字
defile	弄污，弄脏；小道
definitive	明确的，有权威的；最终的
deflated	灰心丧气的
deflect	偏离，转向
defoliator	落叶剂
defraud	欺骗某人
deft	灵巧的，熟练的
defuse	从中卸除引信；缓和紧张状态或危急局面
defy	违抗，藐视
degradation	降低身份，受辱
dehydrate	除去水分，脱水
deify	奉为神；崇拜
deign	屈尊；惠允
dejected	沮丧的，失望的
delectable	赏心悦目的
delegate	代表；委派…为代表，授权
deleterious	有害的，有毒的
deliberate	深思熟虑的；故意的；慎重考虑
delicacy	细嫩；精致，优雅
delicate	娇嫩的；精致的，优美的
delimit	定界，划界
delineate	描画
delinquency	失职，过失
delinquent	疏忽职务的
delirious	精神错乱的
delirium	精神错乱
delta	三角洲
delude	欺骗，哄骗
deluge	大洪水；暴雨
delusion	欺骗，幻想
delve	深入探究，钻研
demagogue	蛊惑民心的政客
demand	要求，苛求
demean	贬抑，降低
demise	死亡；财产转让
demography	人口统计，人口学
demolish	破坏；拆除
demolition	破坏，毁坏
demonstrate	证明，论证；示威
demonstrative	证明性的；喜怒形于色的
demoralize	使士气低落
demote	降级，降职
demotic	民众的，通俗的
demur	表示异议，反对
demystify	弄清楚
den	兽穴，窝
denigrate	污蔑，诽谤
denizen	居民；外籍居民
denomination	命名
denote	表示；指示意义
denouement	结尾，结局
denounce	指责
