dent	缺口，凹痕；弄凹
denture	假牙
denude	脱去；剥蚀；剥夺
depict	描绘，描画
deplete	大量减少；耗尽，枯竭
deplore	悲悼，哀叹
deport	驱逐出境
depose	免职；作证
deposition	免职；沉积；作证
depraved	堕落的，腐化的
depravity	堕落，恶习
deprecate	反对；轻视
depreciate	轻视；贬值
depressed	消沉的；凹陷的
depression	沮丧，消沉；降低，削弱
deprivation	剥夺；缺乏
deputy	代表；副警长
deracinate	根除，杜绝
derelict	荒废的；玩忽职守的；被遗弃的人
dereliction	遗弃，弃置
deride	嘲弄，愚弄
derivation	发展，起源；词源
derivative	派生的；无创意的
dermatologist	皮肤病学家
derogate	贬低，诽谤
descendant	后代，后裔
descent	降落；侵袭；血统
descry	远远看到，望见
desecrate	玷辱，亵渎
desert	放弃，离弃
desiccate	完全干涸，脱水
designation	指定；名称，称呼
desirable	值得要的
desperate	绝望的；特别强烈的；渴望至极乃至痛苦绝望的
despicable	可鄙的，卑劣的
despise	鄙视，藐视
despot	暴君
destitution	匮乏，穷困
desultory	不连贯的；散漫的
detach	分离，分遣
detached	分开的；超然的
detain	拘留；使延迟
detection	查出，探获
deter	威慑，吓住；阻止
detergent	净化的；清洁剂
deteriorate	变坏，恶化
detest	厌恶，憎恨
detonation	爆炸，爆炸声
detour	弯路；绕行之路
detraction	贬低，诽谤
detrimental	损害的，造成伤害的
detritus	碎屑；废墟
devastate	摧毁，破坏
deviant	越出常规的
deviate	越轨，脱离
deviation	背离
devious	不正直的；弯曲的
devise	发明，设计；图谋；遗赠给
devoid	空的，全无的
devoted	投入的，热爱的
devotee	爱好者
devotional	献身的，崇拜的
devour	吞食；如饥似渴地读
devout	虔敬的；忠诚的，忠心的
dexterity	纯熟，灵巧
dexterous	灵巧的，熟练的
diabetes	糖尿病
diabolical	恶毒的，狠毒的
diagnose	判断，诊断
diagonal	对角线的；对角线
diagram	图解，图表
dialect	方言
diameter	直径
diaphanous	精致的，透明的
diatribe	抨击
dictate	口述；命令
didactic	教诲的；说教的
die	金属模子，印模
die-hard	顽固分子
diffident	缺乏自信的
diffuse	散布，漫射；漫射的，散漫的；简洁的
digestion	消化，吸收
digit	手指，脚趾；数字，数码
dignity	尊严，尊贵
digress	离题
dilapidate	荒废，毁坏
dilapidated	破旧的，倒塌的
dilate	张大，扩大
dilatory	慢吞吞的，磨蹭的
dilemma	困境，左右为难
dilettante	半瓶醋，业余爱好者
diligence	勤勉，勤奋
dilute	把弄稀，弄淡
dim	使暗淡，使模糊
dimension	维度，尺寸
diminution	减少，缩减
dimple	酒窝，笑靥
din	喧闹声，嘈杂声
dingy	肮脏的；褪色的
diplomatic	 外交的，圆滑的
dire	可怕的；悲惨的
dirge	哀歌
disabuse	打消错误念头；纠正
disaffect	使不满；使不忠
disagreeable	讨厌的 ；乖戾的
disarm	缴某人的械；使缓和
disarray	混乱，漫无秩序
disaster	灾难，大不幸
disbar	取消律师资格
disburse	支付，指出
discard	扔掉，抛弃
discern	识别，看出
discernible	可识别的，依稀可辨的
discerning	识别力强的
discharge	流出；释放；解雇；履行义务
disciple	信徒，弟子
discipline	训练，训导；纪律；惩罚，处分
disclaim	放弃权利；拒绝承认
disclose	使某物显露
discography	唱片分类目录；录音音乐研究
discombobulate	扰乱，使困惑
discombobulated	扰乱的，打乱的
discomfit	使懊恼；使难堪
discompose	使失态，慌张
disconcert	使…尴尬
discord	不合，纷争
discount	折扣
discourse	演讲，论述
discredit	怀疑；丧失名誉
discreet	小心的，言行谨慎的
discrepancy	不同，矛盾
discrete	个别的；不连续的
discretion	谨慎，审慎
discretionary	自由决定的
discriminate	区分；歧视
discriminatory	歧视的，差别对待的
discursive	散漫的，无层次的
disdain	轻视，鄙视
disembodied	无实体的，空洞的
disenchant	对…不再抱幻想，使清醒
disengage	脱离，解开
disentangle	解决；解脱，解开
