disfigure	毁容
disfranchise	剥夺选举权
disgorge	呕出；流走
disgruntle	使不满意
disguise	假扮；掩饰
disgust	反感，厌恶
disillusion	梦想破灭，醒悟
disinfect	杀菌，消毒
disinfectant	消毒剂
disinter	挖出，挖掘
disinterested	公正的，客观的
disjunction	分离，分裂
disjunctive	分离的；相反的
dislocate	使脱臼；把…弄乱
dislodge	逐出，取出
dismal	使人悲伤的，阴沉的
dismantle	拆除
dismay	沮丧，气馁；使气馁
disparage	贬抑，轻蔑
disparate	迥然不同的
dispassionate	平心静气的
dispatch	派遣；一下子做完；吃完；迅速
dispel	驱散，消除
dispensable	不必要的，可有可无的
dispense	分配，分发
disperse	消散，驱散
displace	换置；使某人某物离开原位
disposable	一次性使用的；可动用的
disposal	清除，处理
dispose	使倾向；处理掉
disposed	愿意的，想干的
disposition	处理；天性，气质
disproof	反证，反驳
disprove	证明…有误
dispute	争论
disregard	疏忽，漠视
disrepute	名声不好
disrupt	弄乱，扰乱
disruptive	制造混乱的
dissect	解剖
dissemble	隐藏，掩饰
disseminate	散布，传播
dissent	不同意，持异议
dissertation	专题论文
dissident	唱反调者
dissimulate	隐藏，掩饰
dissipate	驱散；浪费
dissociation	分离，脱离关系
dissolute	放荡的，无节制的
dissolve	使固体溶解
dissonant	不和谐的，不一致的
dissuade	劝阻，阻止
distant	疏远的，冷淡的
distend	膨胀，胀大
distension	膨胀
distill	蒸馏
distinct	清楚的，明显的
distinction	区别，差别；知名
distinctive	出众的，有特色的
distinguished	著名的，卓越的
distort	扭曲，弄歪
distract	分心，转移；使发狂
distracted	心烦意乱的，精神不集中的
distraught	心神狂乱的
distress	痛苦，悲痛
distribute	分发，分配某事物
district	地区，行政区，众议院选区
ditty	小曲，小调
diurnal	白昼的，白天的
diva	歌剧中的女主角
diver	潜水员
diverge	分歧，分开
diverse	不同的；多样的
diversity	多样，千变万化
divert	使某事物转向
divest	卸下盛装；剥夺
divestiture	脱衣，卸下装饰；剥夺财产
divine	推测，预言
divulge	泄露，透露
docile	驯服的，听话的
doctrinaire	空论家；教条的，迂腐的
doctrine	教条，主义；学说
document	文件，公文；为…提供书面证明
dodder	蹒跚，摇摆
dodge	闪开，躲避
doff	脱掉
dogged	顽强的
doggerel	歪诗，打油诗
dogma	教条，信条
dogmatism	教条主义，武断
doldrums	赤道无风带；情绪低落
doleful	忧愁的，消沉的
dolorous	悲哀的，忧愁的
dolt	傻瓜
domain	领土；领域
dome	圆屋顶
domesticate	驯养
domicile	住处，住所
dominant	显性的；优势的
dominate	控制，支配
donate	捐赠，赠送
donor	捐赠者，赠送者；献血者
doodle	胡画；混时间
dormant	冬眠的；静止的
dorsal	背部的
dose	剂量，一剂
dossier	卷宗，档案
dote	溺爱；昏聩
doting	溺爱的
dour	严厉的，脸色阴沉的
douse	把…浸入水中；熄灭
down	羽毛；汗毛
downplay	贬低，不予重视
downpour	暴雨
down-to-earth	实际的
doyen	老前辈
drab	土褐色的；无聊的
draconian	严厉的，严酷的
draft	草稿，草案
draftsmanship	起草术，制图术
drain	排出沟外；喝光
drainage	排水，排水系统
drastic	猛烈的，激烈的
drawbridge	吊桥
drawl	慢吞吞地说
dreary	沉闷的，乏味的
dregs	糟粕，沉淀，废物
drench	使湿透
drill	钻；钻床
drivel	废话
drizzle	下毛毛雨
drizzly	毛毛细雨的
droll	古怪的，好笑的
drone	嗡嗡地响，单调地说；单调的低音
droop	低垂；沮丧
droplet	小水滴
dross	浮渣；渣滓
drought	干旱；干旱时期
drove	畜群；人群
drudgery	苦工；苦活
dual	双重的
dubious	可疑的；名声不大好的
duckling	雏鸭，小鸭
duct	管道，槽
duel	决斗
duet	二重唱
dull	不鲜明的；迟钝的；变迟钝
dummy	人体模型，假人
dune	沙丘
dupe	上当者
duplicitous	搞两面派的，奸诈的；双重的
duplicity	欺骗，口是心非
duration	持续的时间
duress	胁迫
dutiful	恭敬顺从的；尽职的
dwarf	侏儒；矮小的动物或植物；使变矮小
dwelling	住处
dwindle	变小
dynamic	动态的
