dynamo	发电机
dyslexia	诵读困难
dyspeptic	消化不良的；不高兴的
earnest	认真的
earplug	耳塞
earring	耳环，耳饰
earshot	听力所及之范围
earsplitting	震耳欲聋的
earthly	现世的，尘世的
earthy	粗俗的，粗陋的
easel	黑板，画架
eavesdrop	偷听，窃听
ebb	退潮；衰退
ebullience	精力充沛；洋溢；奔放
eccentric	古怪的，反常的；没有共同圆心的；古怪的人
eclectic	折衷的，综合性的
eclecticism	折衷主义
ecologist	生态学家，生态学着
economical	经济的，节约的
ecstasy	狂喜；激情状态
ecstatic	狂喜的，心花怒放的
eddy	涡，涡流
edifice	宏伟的建筑
edify	陶冶，启发
efface	擦掉，抹去
effervesce	冒泡；热情洋溢
effete	无生产力的；虚弱的
efficacy	功效，有效性
effluvia	气味；恶臭；废料
effrontery	厚颜无耻，鲁莽
effulgent	灿烂的
egalitarian	主张人人平等的
egocentric	利己的
egotist	自私自利者
egregious	过分的，惊人的
egress	出去，出口
elaborate	精致的，复杂的；详尽地说明，阐明
elaboration	详细的细节，详尽阐述
elated	得意洋洋的，振奋的
elbow	肘
elegy	哀歌，挽歌
elementary	初级的
elephantine	笨拙的；庞大的
elevate	将某人或某物举起
elicit	引出，探出
eligible	合格的
eliminate	除去，淘汰
elite	精华，中坚
ellipsis	省略
elliptical	椭圆的；晦涩的；省略的
elocution	演说的艺术
elongate	延长，伸长
eloquence	雄辩，口才
elucidate	阐明，说明
elude	逃避；搞不清
elusive	难懂的
emaciate	使瘦弱，使憔悴
emanate	散发，发出；发源
emancipate	解放，解除
embargo	禁运令，封港令
embarrass	使忸怩，使难堪
embed	牢牢插入，嵌于
embellish	装饰，润饰
embezzlement	贪污，盗用
emblematic	作为象征的
embody	表达，体现
embolden	壮胆，鼓励
emboss	加浮雕花纹于，使凸出
embrace	拥抱；包含
embroider	刺绣，修饰
emend	订正，校订
emergency	紧急事件，紧急情况
emigrate	移居外国
eminence	卓越，杰出
eminent	著名的，显著的
emissary	密使，特使
emit	放射，发出
emollient	润肤剂
emote	激动地表达感情
empathy	同感；感情移入；全神贯注
emphatic	重视的，强调的
empirical	经验的，实证的
empiricism	经验主义
empower	授权采取行动
empyreal	天空的
emulate	努力赶上或超越
emulsify	使乳化
enact	制定；扮演
enamel	珐琅，瓷釉
enamored	珍爱的，喜爱的
encapsulate	装入胶囊；概括，摘要
enchant	使陶醉；施魔法于
enclosure	圈地；围占；附件
encomiast	赞美者
encomium	赞颂，颂辞
encompass	包围，围绕
encounter	遭遇；邂逅
encroach	侵占，侵害，侵入
encumber	妨害，阻碍
encyclopedia	百科全书
endearing	讨人喜欢的
endemic	地方性的
endorse	背书；赞同
endow	资助，捐助
endure	忍受，忍耐
enduring	持续的
enervate	使衰弱，使无力
enfeeble	使衰弱，使无力
enfetter	给…上脚镣；舒服，使受制于
enflame	使愤怒或激动
engaged	忙碌的，使用中的
engaging	迷人的，吸引注意力的
engender	产生，引起
engrave	在上雕刻；牢记，铭记
engross	全神贯注于
engulf	吞噬
enhance	提高，增加，改善
enjoin	命令，吩咐
enlighten	启发，开导，教导，授予…知识 
enlightening	有启迪作用的；令人领悟的
enlist	入伍从军，征募
enliven	使…更活跃
enmesh	绊住，陷入网中
enmity	敌意，仇恨
ennui	倦怠；无聊；使…无聊
enormity	极恶；暴行；巨大
enormous	极大的，巨大的
enrage	激怒，触怒
enrapture	使狂喜，使高兴
ensconce	安置，安顿
ensemble	全体，整体；大合唱
ensign	舰旗
ensue	继而发生；接着
ensure	确保，担保
entail	需要，需求，必须
entangle	使纠缠，卷入
enterprise	公司，事业单位；进取心
enthralling	迷人的，吸引人的
entice	怂恿，引诱
entirety	整体，全面
entitle	使有权
entity	实体，统一体
entrance	使出神，使入迷
entreat	恳求
entreaty	恳求，哀求
entrée	主菜；获准进去的权利或特权
entrepreneur	企业家，创业人
