entrust	委托；托付
entry	条目；记录；报关手续；入口
enumerate	列举，枚举
enunciate	发音；表达，阐明
environ	包围，围绕
envision	想象，预想
enzyme	酵素，酶
epaulet	肩章
ephemeral	朝生暮死的；生命短暂的
epic	叙事诗，史诗；英雄的；大规模的
epicure	美食家
epidemic	传染性的，流行性的
epidermis	表皮，外皮
epigram	讽刺短句，警句
epilogue	收场白；尾声
episodic	偶然发生的；分散性的
epitaph	墓志铭
epithet	短语或形容词；绰号，别称
epitome	典型；梗概，摘要
epitomize	概括，摘要
epoch	纪元；重大的事件
equable	稳定的，不变的；温和的
equanimity	镇定，沉着
equate	认为…相等或相仿
equation	等式；等同，相等
equator	赤道
equilibrium	平衡
equine	马的，似马的
equity	公平，公正
equivalent	相等的，等值的
equivocate	模棱两可地说，支吾其词，说谎
eradicate	根除
erase	擦掉，抹去
erasure	擦掉；消除；消灭
erect	竖立的，笔直的，直立的
err	犯错误，出错
errand	差使；差事
erratic	反复无常的；古怪的
ersatz	代用的；假的
erstwhile	从前的，过去的
erudite	博学的
erupt	爆发；喷出
escalate	升级；扩大，上升
escapism	逃避现实
eschew	避开；戒绝
esophagus	食道，食管
esoteric	秘传的；神秘的
espionage	间谍活动
espousal	拥护，支持
espouse	支持，拥护
espy	突然看到
essential	本质的；要素，实质
estimable	值得尊敬的
estranged	疏远的；分开的，分离的
etch	蚀刻；铭记
etching	蚀刻术；蚀刻板画
eternal	永久的，永恒的
ethereal	太空的；轻巧的
ethics	伦理学；道德规范
ethnic	民族的；种族的
ethnology	人种学，人类文化学
ethos	道德风貌，思潮，信仰
etiquette	礼仪；礼节
etymology	语源学
eulogistic	颂扬的，歌功颂德的
eulogize	称赞，颂扬
eulogy	颂词，颂文
euphemism	婉言，委婉的说法
euphonious	悦耳的
euphoria	极度愉快的心情
evacuate	撤退；撤离
evade	逃避；规避
evaluation	评价，评估
evanescent	迅速消失的；短暂的
evaporate	蒸发掉
evasion	躲避，借口
evasive	回避的，逃避的，托辞的
even	平的
evenhanded	公平的，不偏不倚的
evict	驱逐
evince	表明，表示
evocative	唤起的，激起的
evoke	引起；唤起
evolve	使逐渐形成，进化
ewe	母羊
ewer	大口水罐
exacerbate	加重，恶化
exact	精确的；强求，强索付款
exacting	苛求的；要求严格的
exactitude	正确性；精确性
exaggerate	夸张；夸大
exalt	赞扬，歌颂
exaltation	得意，高兴
exasperate	激怒，使恼怒
excavate	挖掘
exceed	超过；超出
exceptional	特别的
excess	过分，过度
excise	切除，删去
excitability	易兴奋性，易激动性
exclaim	惊叫，呼喊
exclamation	惊叹词；惊呼
exclude	排斥；排除
exclusive	孤僻的；专用的
excoriate	撕去皮；严厉批评
excrete	排泄，分泌
exculpate	开脱；申明无罪
excursion	短途旅游
excursive	离题的，随意的
execrable	极坏的
execrate	憎恶；咒骂
execute	执行，履行；将某人处死
exemplary	可作楷模的
exemplify	是…的典型
exempt	被免除的；使免除
exert	运用
exhale	呼出
exhaust	废气，蒸气；使非常疲倦
exhaustive	彻底的；无遗漏的
exhilarate	使高兴
exhilaration	高兴，活跃
exhort	力劝；勉励
exigent	紧急的，迫切的
existential	有关存在的，存在主义的
exodus	大批离去，成群外出
exonerate	免除责任
exorbitant	过分的，过度的
exorcise	驱魔；去除
exotic	珍奇的；来自异国的
expand	扩大，膨胀
expansive	健谈的，开朗的；可扩大的，可伸展的
expediency	方便；权宜之计
expedient	权宜之计，临时手段
expeditious	迅速的，敏捷的
expel	排出；开除
expend	花费；用光
expenditure	消耗，支出
expertise	专门技术，专业知识
