expiate	赎罪，补偿
expiration	期满，终止
expire	期满；去世
explicate	详细解说
explicit	清楚明确的；成熟的，成形的
exploit	剥削；开发利用；英勇行为
explosive	炸药；爆炸性的；使人冲动的
exponent	说明者，支持者；指数
exponentially	指数地；迅速增长地
exposition	阐释；博览会
expository	说明的
expostulate	争论，抗议；告诫
exposure	暴露，显露，曝光
expound	解释；阐释
expressly	清楚地；特意地
expunge	删除
expurgate	删除；使纯洁
exquisite	精致的；近乎完美的
extant	现存的
extemporaneous	即席的，没有准备的
extemporize	即席演说
extend	延展，延长
extenuate	掩饰；减轻罪过
exterminate	消灭，灭绝
externalize	使…表面化
extinct	绝种的，不存在的
extinguish	使…熄灭；使…不复存在
extirpation	根除，铲除
extol	赞美
extort	勒索，敲诈
extract	拔出；强索
extraneous	外来的；无关的
extrapolate	预测，推测
extravagance	奢侈，挥霍
extremist	极端主义者
extricable	可解救的，能脱险的
extricate	摆脱，脱离；拯救，救出
extrovert	性格外向者
exuberance	愉快；茁壮
exuberant	充满活力的；茂盛的
exude	使慢慢流出；四溢
exult	欢腾，喜悦
fabric	纺织品；结构
fabricate	捏造；制造
facade	建筑物的正面；外表
facet	小平面
facetious	轻浮的，好开玩笑的
facile	容易做的
facilitate	使容易，促进
facilities	设备，工具
faction	派系；派系斗争
factorable	能分解成因子的
factotum	杂工，打杂
factual	真实的，事实的
faculty	全体教员；官能
fad	狂热，时尚
faddish	流行一时的，时尚的
fade	褪色，消失，凋谢
falcon	猎鹰；隼
fallacious	欺骗的；谬误的
fallacy	谬误，错误
fallibility	易于出错的，出错性
fallible	会犯错的，易犯错的
fallow	休耕地；休耕的
falsehood	谎言
falter	摇晃，蹒跚；支吾地说
familiarity	精通；亲近；不拘礼仪
famine	饥荒
famish	使饥饿
fanatic	狂热者
fang	毒牙
fantasy	想象；幻想
farce	闹剧；荒谬，胡闹
farewell	再会，再见；辞行，告别
far-reaching	影响深远的
fast	绝食，斋戒；很快地，紧紧地
fasten	固定某物
fastidious	难以取悦的；爱挑剔的
fastness	要塞，堡垒
fatal	致命的；灾难性的
fathom	英寻；彻底明白，了解
fatigue	疲乏，劳累
fatten	使长肥；使土壤肥沃
fatuity	愚蠢，愚昧
fatuous	愚昧而不自知的
faucet	水龙头
fault	错误；断层
faultfinder	喜欢挑剔的人
favorable	有利的；赞成的
fawn	未满周岁的小鹿
faze	使狼狈，折磨
feasible	可行的，可能的
feat	功绩，壮举
feature	特色，特点，特征
feckless	效率低的，不负责的
fecundity	多产，富饶；繁殖力，生殖力
feeble	虚弱的
feign	假装，伪装
feigned	假装的；不真诚的
feint	佯攻，佯击
felicitous	适当的，得体的
fell	兽皮；砍伐；凶猛的，毁灭性的
felon	重罪犯
felony	重罪
feminist	女权主义者
fender	挡泥板；护舷的垫子
feral	凶猛的；野的
ferment	发酵；骚动
fern	羊齿植物，蕨
ferret	雪貂；用雪貂猎取；搜寻
ferrous	含铁的
fertile	多产的；肥沃的
fertilize	受精，受粉；施肥
fertilizer	肥料，化肥
fervid	炽热的，热情的
fervor	热诚，热心
fester	溃烂，化脓
festive	欢乐的
fetid	有恶臭的
fetter	脚镣；束缚
fetus	胎儿
feud	宿怨，不和
fiasco	大失败，惨败
fiat	命令
fickle	易变的，不坚定的
fictitious	假的；虚构的
fidget	坐立不安；烦躁之人
fig	无花果；毫不理会；一点儿
figment	虚构的东西
figurative	比喻的，借喻的
figurehead	名义领袖；傀儡
figurine	小塑像，小雕像
file	锉刀；锉平
filibuster	妨碍议事，阻挠
filigree	金银丝做的工艺品
filings	锉屑
filly	小母马
filter	滤纸
filth	肮脏；粗语
finale	最后，最终；乐曲的最后部分
finesse	技巧；计谋；手段
finicky	苛求的，过分讲究的
finite	有限的
firearm	枪支
firefly	萤火虫
fiscal	国库的，财政的
fissure	裂缝
fixate	使固定；使不变；注视，凝视
flaccid	松弛的；软弱的
flag	减弱，衰弱；枯萎
flagging	下垂的；衰弱的
flaggy	枯萎的；松软无力的
flail	连枷；打，打击
flak	高射炮；指责
flamboyant	艳丽的，炫耀的
flammable	易燃的
