flange	凸缘，轮缘
flare	摇曳，闪耀
flask	烧瓶，细颈瓶
flatcar	平台型铁路货车
flatten	变平
flatter	恭维，奉承
flaw	瑕疵；生裂缝；有瑕疵
flax	亚麻
fledge	小鸟长飞羽，变得羽毛丰满
fledgling	幼鸟；无经验的人
fleeting	短暂的；飞逝的
flexible	易弯曲的，灵活的
flight	飞行，飞翔；逃跑
flimsy	轻而薄的；脆弱的
flinch	畏缩，退缩
flint	打火石，燧石
flip	无礼的；冒失的；轻率的
flirt	挑逗，调戏
flit	掠过，迅速飞过
flock	羊群；鸟群
floodgate	闸门
flora	植物群
florid	华丽的；红润的
flounder	挣扎；艰苦地移动；比目鱼
flourish	昌盛，兴旺；活跃而有影响力
flout	蔑视，违抗
fluctuate	波动；变化
fluffy	有绒毛的；空洞的
fluke	侥幸成功；意想不到的事
fluorescent	荧光的，发光的
flush	脸红；奔流；冲洗
flustered	慌张的
flutter	拍翅
fluvial	河流的，坐在河中的
flux	不断的变动；动荡不定
foible	小缺点，小毛病
foil	钝剑；箔，锡箔纸
fold	羊栏，畜栏；折叠
folder	文件夹，纸夹
foliage	叶子
folklore	民间传说；民俗学
folly	愚蠢；愚蠢的行为、思想或做法
foment	煽动；助长
foodstuff	食料，食品
foolproof	容易懂的，简单而不会误用的
foppish	纨绔子弟的；浮华的，俗丽的
forage	饲料，粮草；搜寻，翻寻
forager	为动物寻找饲料的人
forbearance	自制；忍耐
forbid	不许，禁止；妨碍，阻止
forbidding	冷淡的 ；形势险恶的
ford	浅滩，水浅可涉处；涉水
forebode	预感，凶兆
forecast	预报，预测
foreknowledge	预知
forerunner	预兆，前兆；先驱
foreshadow	预示
foresight	远见，深谋远虑
forestall	预先阻止；阻止
forestry	森林学；林产；林地
forfeit	丧失，被罚没收；丧失的东西
forge	铁匠铺；锤炼；伪造
forger	伪造者；打铁匠
forgery	伪造
forgo	放弃，抛弃
formality	遵循的规范；拘泥形式；正式
formation	组织，形成；编队
formidable	可怕的；难以克服的
formula	分子式；公式；套语，惯用语
forsake	遗弃，放弃
forte	长处，擅长的事；强音的
forthright	直率的
fortify	加强防卫
fortitude	坚毅，坚忍不拔
fortuitous	偶然发生的，巧合的；幸运的
forum	辩论的场所，论坛
forward	过激的；莽撞的
fosse	护城河
fossilize	成为化石；过时
foster	培养，鼓励；领养
foul	恶臭的；邪恶的；弄脏；犯规
founder	沉默；失败；摔倒，绊
four-poster	四柱大床
foyer	门厅，休息室
fracas	喧嚷，吵闹
fraction	碎片；小部分
fractious	易怒的，好争吵的
fracture	骨折；折断
fragile	易碎的，易坏的
fragment	碎片；分裂
fragrance	香料；香味
fragrant	芳香的
frail	脆弱的；不坚实的
frantic	疯狂的，狂乱的
fraud	欺诈，欺骗
fraudulent	欺骗的，不诚实的
fraught	充满…的
freckle	雀斑，斑点
freelancer	自由职业者
freight	货物；装货于
frenetic	狂乱的，发狂的
frenzy	极度激动的状态；狂暴
frequency	频率
frequent	时常来访；惯常的
fresco	壁画
fret	烦躁，焦虑
friable	易碎的
friction	摩擦；矛盾，冲突
frieze	横条，饰带
frigid	寒冷的；冷淡的
frigidity	寒冷；冷淡
fringe	须边；边缘
frisky	活泼的，快活的
frivolous	轻薄的，轻佻的
frond	蕨类或棕榈等的叶子
frothy	起泡的；空洞的
frugal	节约的，节俭的
fruition	实现，完成
frustrate	挫折，使沮丧
fulcrum	杠杆支点，支柱
fulfil	履行；满足，符合
full-blown	盛开的
full-bodied	浓郁而强烈的
full-fledged	羽毛丰满的；成熟的
fulminate	猛烈抨击，严厉谴责
fulsome	虚情假意的；充足的
fumble	摸索，笨拙搜寻；弄乱，搞糟
fume	愤怒；冒烟
fumigate	以烟熏消毒
functional	起作用的，能运转的
functionary	小官，低级公务员
fundamental	最根本的，基本的；十分重要的
fungi	菌类，蘑菇
fungicide	杀真菌剂
furnace	锅炉
furor	轰动；盛怒
furrow	犁沟；皱纹
furtive	偷偷的，秘密的
fusillade	齐射，连发
fusion	融合；聚变
fuss	大惊小怪
fussy	爱挑剔的
fusty	陈腐的；霉臭的
futile	无效的，无用的；没出息的；琐细的
futility	无用，无益
gadfly	虻，牛虻
gadget	小工具，小机械
gaffe	失言，失态
gaggle	鹅群
gainsay	否认
gait	步法，步态
galaxy	星群；显赫的人群
gall	胆汁；怨恨；激怒
gallant	勇敢的；献殷勤的
galley	船上的厨房
gallon	加仑
galvanize	电镀；通电；激励
gamble	赌博；孤注一掷
gambol	雀跃；嬉戏
gangway	跳板
gape	裂开；目瞪口呆地凝视
garble	曲解，篡改
garbled	引起误解的；篡改的
gardenia	栀子花
gargantuan	巨大的，庞大的
