gargoyle	滴水嘴；面貌丑恶的人
garish	俗丽的；过于艳丽的
garment	衣服
garner	收藏，积累
garnish	装饰
garrulity	唠叨，饶舌
garrulous	唠叨的，饶舌的
gaseous	似气体的
gash	深长的伤口；裂缝
gasification	气化
gaucherie	笨拙
gaudy	俗丽的
gauge	标准规格；测量仪；测量
gavel	槌，小木槌
gaze	凝视，注视
gazetteer	地名词典，地名表
gear	齿轮；装备；仪器
gem	宝石，珠宝；精华
gene	基因
genealogy	家谱学
generality	概述
generalize	归纳
generate	造成；产生
generation	一代人；代；产生，发生
generator	发电机
generic	种类的，类属的
generosity	慷慨，大方
genesis	创始，起源
genetic	遗传的；起源的
genetics	遗传学
genial	愉快的，脾气好的
genome	基因组，染色体组
genre	类型
genteel	上流社会的；装作彬彬有礼的
gentle	温和的，慈祥的
gentry	绅士，上等人
genuine	真的；真诚的
genus	属
geometrician	几何学家
germ	胚芽，芽孢；微生物，细菌
germane	有密切关系的；贴切的
germicide	杀菌剂
germinate	发芽；发展
gerontocracy	老人统治的政府
gerontology	老人病学
gerrymander	不公正地将划成选区
gesture	姿势，手势，姿态
geyser	天然热喷泉
gibe	嘲笑，讥笑
giddy	轻浮的，不严肃的
giggle	咯咯笑
gild	镀金，虚饰
gimmick	吸引人的花招，噱头
ginger	姜；活力
gingerly	小心的；谨慎的
girder	大梁
girth	腰身；周长
gist	要点，要旨
glacial	冰期的，冰河期的；寒冷的
glade	林中的空地
gladiator	角斗士，与野兽搏斗者
glance	一瞥
glare	发出炫目光芒；怒目而视
glaze	装玻璃于；上釉彩；釉
glean	拾落穗；收集
glib	流利圆滑的，善辩的
glide	滑行，滑动
glimmer	发微光；摇曳的微光
glisten	闪烁，闪耀
glitch	小故障
gloat	幸灾乐祸地看，窃喜
gloom	黑暗；忧郁
gloomy	阴暗的；没有希望的；阴郁的
gloss	光泽；注解
glossary	词汇表；难词表
glossy	光泽的，光滑的
glow	光亮，发热；红
glower	怒目而视
glowing	热情赞扬的
glucose	葡萄糖
glut	过多；供过于求
glutinous	粘的，胶状的
gluttonous	贪吃的，贪嘴的
gnarled	多节的；粗糙的
gnaw	啃，咬
goad	赶牛棒；刺激，激励
gobble	贪婪地吃；吞没
goblet	高脚酒杯
goldbrick	逃避责任，偷懒
goodwill	友好
gospel	教义，信条
gossamer	蛛丝；薄纱；轻而薄的
gouge	半圆凿；挖出；敲竹杠
gourmand	嗜食者
gourmet	美食家
grace	优美
gracious	大方的，和善的
gradation	渐变；阶段，等级
graduated	按等级分的
graft	嫁接
grain	谷物；小的硬粒
grandeur	壮丽，伟大
grandiose	宏伟的；夸大的
grandstand	大看台；哗众取宠
granite	花岗石
grant	同意给予
graphic	图表的
graphite	石墨
grasping	贪心的，贪婪的
grate	吱嘎磨碎；使人烦躁
grateful	感激的
gratification	满足，喜悦
gratify	使高兴，使满足
grating	刺耳的；恼人的
gratitude	感激
gratuitous	无缘无故的
gratuity	赏钱，小费
grave	严峻的；墓穴
gravel	碎石，砂砾
gravitational	万有引力的
gravity	严肃，庄重
graze	吃草；放牧
grease	动物油脂；滑脂
green	新鲜的，未成熟的；无经验的
greenhouse	花房，温室
gregarious	群居的；爱社交的
gregariousness	群居；合群
grief	忧伤，悲伤
grievance	委屈，抱怨
grieve	使某人极为悲伤
grievous	严重伤害的
grill	烤；拷问；烤架
grim	冷酷的，可怕的
grimace	做鬼脸，面部歪曲
grin	露齿而笑
grind	枯燥乏味的工作；磨碎，碾碎
gripe	抱怨
gripping	紧紧抓住注意力的
grisly	恐怖的，可怕的
gristle	软骨；肉中难吃的硬组织
grit	沙粒；决心，勇气；下定决心，咬紧牙关
groan	呻吟，叹息
groom	马夫；新郎
groove	凹线；线条；习惯
grope	摸索，探索
gross	总的；粗野的；整个，全部
grotto	洞穴
grouch	牢骚，不满
grounded	有理由的；地面上
group	使…集合；群，集
grouse	松鸡；发牢骚，诉苦
grove	小树林，树丛
grovel	摇尾乞怜，奴颜婢膝
grueling	繁重而累人的
grumble	喃喃诉苦，发怨言
guarantee	保证，担保
guffaw	哄笑，大笑
guile	欺诈；狡猾
guileless	厚道的，老实的
guillotine	断头台
guilt	罪行；内疚
guilty	有罪的
guise	外观，装束
gullible	易受骗的
gulp	吞食，咽下
gum	树胶，橡皮
guru	古鲁；教师或权威
gush	涌出；滔滔不绝地说
gusher	滔滔不绝的说话者
gust	阵风；一阵
gustation	品尝；味觉
gustatory	味觉的，品尝的
gutter	水槽；街沟
guy	支索，牵索
guzzle	大吃大喝
gyrate	旋转的；旋转
habitat	自然环境，栖息地
habituate	使习惯于
