hack	乱劈，乱砍；雇佣文人
hackneyed	陈腐的，不新奇的
hail	冰雹；致敬
halcyon	平静的；愉快的
hale	健壮的，矍铄的
halfhearted	不认真的，不热心的
hallmark	纯度印记；特征
hallow	把…视为神圣，尊敬
hallowed	神圣的
hallucination	幻觉
halo	晕；神像之光环
halting	踌躇的，吞吞吐吐的
hammer	锤子，槌
hamper	妨碍，阻挠；有盖提篮
handle	柄，把手；处理
hangar	飞机库
hangdog	忧愁的；低贱的
hankering	渴望
haphazard	任意的，偶然的
harangue	长篇指责性演说
harass	侵扰，烦扰
harbinger	先驱，先兆
harbor	港，避难所；包庇，隐匿
harden	变硬，变坚强
hardheaded	现实的，精明的
hardy	耐寒的；强壮的
harmony	相符，一致；协调，匀称
harness	马具；束以马具；利用
harp	竖琴；喋喋不休地说或写
harpsichord	键琴
harridan	凶恶的老妇，老巫婆
harrow	耙；使痛苦
harrowing	悲痛的，难受的
harry	掠夺；袭扰；折磨
harsh	严厉的；粗糙的；刺耳的
harshly	严酷地，无情地
hasten	催促，促进
hasty	急急忙忙的
hatch	船舱盖；孵化
haughty	傲慢的，自大的
haunt	常到；鬼魂出没；萦绕心头；常去的地方
hauteur	傲慢的，自大的
haven	安息所，避难所
havoc	大破坏，混乱
hawk	隼，鹰
hazard	危险
hazardous	危险的
headlong	轻率的，迅猛的
headstrong	刚愎自用的
headway	进步，进展
heal	治愈
hearken	倾听
hearten	鼓励，激励
heartrending	令人心碎的
heavy-handedness	笨拙，粗劣
heckle	诘问，困扰
hectic	兴奋的；繁忙的
hector	凌辱，威吓
hedge	树篱；限制
hedonist	享乐主义者
heed	注意，留心；关心
hegemony	霸权，领导权
heinous	十恶不赦的，可憎的
heir	继承人
heirloom	传家宝
helmet	头盔，钢盔
hem	包围；吞吞吐吐地说；袖边，边缘
hemisphere	半球
hemophilia	血友病，出血不止
hemorrhage	出血
hemostat	止血器；止血剂
herbaceous	草本植物的
herbicide	除草剂
herbivorous	食草的
herd	兽群；聚集
hereditary	祖传的，世袭的
heresy	异端邪说
heretic	异教徒
heretical	异端邪说的
hermetic	密封的；深奥的
hermit	隐士，修道者
herpetologist	爬行动物学家
heterodox	异端的，非正统的
heterogeneous	异类的，不同的
hew	砍伐；遵守
hexagon	六角形，六边形
hiatus	孔隙，裂缝
hibernate	冬眠，蛰伏
hide	兽皮
hidebound	顽固的，心胸狭窄的
hideous	讨厌的，丑恶的
hie	疾走；催促
hierarchy	阶层；等级制度
hieroglyph	象形文字，图画文字
hieroglyphic	象形文字，图画文字
highbrow	自以为文化修养很高的人
hike	高涨，上升；徒步旅行
hilarious	充满欢乐的；引起大笑的
hinder	阻碍，妨碍
hinge	铰链；关键
hirsute	多毛的
hiss	作嘘声；发出嘶嘶声
histology	细胞组织学
histrionic	演戏的；剧院的
hitherto	到目前为止
hive	蜂房；忙碌之地
hoard	贮藏，秘藏
hoary	灰白的；古老的
hoax	骗局，欺骗
hodgepodge	混淆；杂烩
hoe	锄头
hoist	吊高，升起；起重机
hold	货舱
holster	手枪皮套
homage	效忠，崇敬
homeostasis	体内平衡
homiletics	讲道术，说教术
homogeneity	同种，同质
homogeneous	同类的，相似的
homogenize	使均匀，使一致
hone	磨刀石；磨刀
honorarium	酬劳金，谢礼
hoodwink	蒙混，欺骗
hoof	蹄
hoop	箍，铁环
horizontal	水平的
hormone	荷尔蒙，激素
horn	角，角质；喇叭
horrific	可怕的，令人恐惧的
hortative	激励的
horticulture	园艺学
hospitable	思想开放的，善于接受的
hostile	敌对的，敌意的
hostility	敌对，不友好；憎恨
hovel	茅舍；肮脏的小屋
hover	翱翔；徘徊
hub	轴心
hubris	过分自傲，目中无人
huckster	叫卖小贩，零售商
hue	色彩，色泽
hulk	废船，船壳；笨重的人或物
hull	外壳；荚；船身；剥去外壳
humane	人道的，慈悲的
humble	卑微的；使谦卑
humdrum	单调的，乏味的
humid	湿润的
humidity	湿度，湿气
humiliate	使屈辱
humility	谦逊，谦恭
humor	纵容，迁就
hunch	直觉，预感
hurdle	跳栏；障碍；克服
hurl	猛投；大声叫骂
hurricane	飓风
husband	妥善而又节约地管理
husbandry	耕种，务农；节俭；管理
hush	肃静，安静
husk	外壳；皮，荚
husky	声音沙哑的
hybrid	杂种；混血人
hydrant	水龙头；消防栓
hydrate	水化物；水化
hymn	赞美诗
hyperactivity	活动过强，极度亢奋
hyperbole	夸张法
hypertension	高血压
hyphen	连字号
