hypnotic	催眠的
hypocrite	伪善者，伪君子
hypocritical	虚伪的
hypotenuse	斜边
hypothesis	假设，假说
hypothetical	假设的
hysteria	歇斯底里症；过度兴奋
icicle	冰柱，冰垂
icon	圣像，偶像
iconoclast	攻击传统观念或风俗的人
ideology	思想体系，思想意识，意识形态
idiom	习语，语言的习惯用法；特色
idle	无所事事；无效的；懒散，无所事事
idolater	神像崇拜者
idyll	田园生活；田园诗
igneous	火的，火绒的
ignite	发光；点燃，燃烧
ignoble	卑鄙的
ignominious	可耻的；耻辱的
ignominy	羞耻，屈辱
ignorant	无知的，愚昧的
illegal	违法的
illegitimate	不合法的；私生的
illicit	违法的
illiterate	文盲的
illuminate	阐明，解释；照亮
illuminati	先觉者，智者
illusion	假象，错觉
illusive	迷惑人的，迷幻的
illusory	虚幻的
illustrate	为…做插图或图表；说明，阐明
imbibe	饮；吸入
imbroglio	纠纷，纠葛
imbue(with)	灌输强烈的情感或意见
imitation	赝品；效法，冒充
imitative	模仿的
immaculate	洁净的，无暇的
immanent	内在的；普遍存在的
immemorial	太古的，极古的
immense	极大的；无限的
immensity	巨大之物；无限
immerse	浸入；沉浸于
imminent	即将发生的，逼近的
immolate	牺牲，焚祭
immune	免疫的；免除的
immunity	免疫；豁免
immunize	使免疫
immure	监禁
imp	小鬼；顽童
impact	冲击，影响
impair	损害，使弱
impale	刺入，刺中
impalpable	无法触及的；不易理解的
impart	传授，告知
impartial	公平的，无私的
impasse	僵局；死路
impassioned	慷慨激昂的
impassive	无动于衷的，冷漠的
impeach	指责；弹劾
impeccable	无瑕疵的
impecunious	一文不名的，贫困的
impede	妨碍
impediment	妨碍；阻碍物
impel	推进；驱使
impending	行将发生的，逼近的
impenetrable	不能穿透的；不可理解的
impenitent	不悔悟的
imperative	急需的
imperial	帝王的，至尊的
imperious	傲慢的，专横的
impermanent	暂时的
impermeable	不可渗透的，透不过的
impersonate	模仿；扮演
impertinence	无礼，粗鲁
imperturbable	冷静的，沉着的
impervious	不能渗透的；不为所动的
impetuous	冲动的，鲁莽的
impetus	推动力；刺激
impinge	侵犯；撞击
implant	注入；灌输
implausible	难以置信的
implement	工具，器具；实现，实施
implicate	牵连；暗示
implication	暗示
implicit	含蓄的，不言而喻的
implode	内爆；剧减
implore	哀求，恳求
impolitic	不智的，失策的
imponderable	无法衡量的
import	进口，输入；意义
importune	强求，不断请求
impose	征；加于；强加于
imposing	壮丽的，雄伟的
impostor	冒充者，骗子
imposture	冒充者，骗子
impoverish	使成赤贫
impregnable	攻不破的，征服不了的
impresario	经理人，主办者
impressed	被打动的；被感动的
impression	印象，感想；盖印，压痕
impressionable	易受影响的
imprint	盖印，刻印
impromptu	即席的，即兴的
improvident	不节俭的，无远见的
improvise	即席而坐
imprudent	轻率的；不智的
impudent	鲁莽的，无礼的
impugn	指责，对…表示怀疑
impuissance	无力，虚弱
impulse	冲动；刺激
impunity	免除惩罚
inadvertence	漫不经心
inalienable	不可剥夺的
inane	无意义的；愚蠢的；空洞的
inanimate	无生命的
inappreciable	微不足道的
inaugural	就职的，开幕的
inaugurate	举行就职典礼；开创
inborn	天生的，天赋的
incandescence	白炽，炽热发光
incantation	咒语
incarcerate	下狱，监禁
incarnate	具有肉体的；化身的
incendiary	防火的，纵火的
incense	香，香味；激怒
incentive	刺激，鼓励；刺激因素
inception	开端，开始；取得学位
incessant	无间断的，连续的
inch	慢慢前进，慢慢移动
inchoate	刚开始的；未发展的
incidence	事情发生；发生率
incinerate	焚化，毁弃
incipient	初期的，刚出现的
incise	切，切割
incision	切口；切割
incisive	一针见血的
incite	激发，刺激
inclement	严酷的；严厉的
inclusive	包含一切的，范围广的
incogitant	无思维能力的，考虑不周的
incommensurate	不成比例的，不相称的
incompatible	不能和谐共存的
incompetent	无能力的，不能胜任的
incongruity	不协调，不相称的
inconsequential	不重要的，微不足道的
