inconstancy	反复无常
incontrovertible	无可辩驳的
incorporate	合并，并入
incorrigible	积习难改的，不可救药的
incorruptible	不受腐蚀的
incredulity	怀疑，不相信
increment	增值，增加
incriminate	连累，牵连
incubate	孵化；潜伏
incubation	孵卵期；潜伏期
incubator	孵卵器；早产婴儿保育箱
incubus	噩梦；梦魇般的精神压力，负担
inculcate	谆谆教诲，灌输
inculpate	连累；控告；归咎于
incumbent	在职者，现任者；义不容辞的
incur	招惹
indebted	感激的，感恩的
indecipherable	无法破译的
indecisive	非决定性的，迟疑不决的
indefatigable	不知疲倦的
indelible	擦拭不掉的，不可磨灭的
indemnify	赔偿，偿付
indemnity	赔偿；保障
indent	切割成锯齿状
indenture	契约，合同
indicate	显示，指出；象征
indict	控诉，起诉
indifferent	不感兴趣的，漠不关心的
indigence	贫穷
indigenous	土产的，本地的；天生的
indigent	贫穷的；贫困的
indignant	愤慨的，愤愤不平的
indignation	愤慨
indignity	侮辱，轻蔑；侮辱性的言行
indispensability	不可缺少
individual	单独的，特有的；个人，个体
indoctrinate	教导；灌输思想
indolent	懒惰的
indubitable	不容置疑的
induce	诱导；引起
induct	使就职；引起
induction	就职，入伍仪式；归纳
indulge	放纵；满足
indurate	使坚硬；使巩固
industrious	勤劳的，勤勉的
ineffable	妙不可言的
ineffectual	无效的，徒劳无益的
inelasticity	无弹性，无伸缩性
ineluctable	不能逃避的
inept	无能的；不适当的
ineptitude	无能，不称职
inequity	不公正，不公平
inert	惰性的；行动迟钝的
inertia	惰性；懒惰
inexhaustible	用不完的，取之不竭的
inexorable	不为所动的；坚决不变的
inexplicable	无法解释的
infant	婴儿
infantry	步兵
infatuation	迷恋
infection	传染，感染
infelicitous	不幸的，不妥当的
infelicity	不幸；不恰当
infer	推断，推定
inferior	下级的，低等的，质次的，较差的
inferno	火海，地狱般的场所
infest	骚扰，扰乱
infiltrate	渗透，渗入
infinitesimal	极微小的；极小量
infinity	无限的时间或空间
infirm	虚弱的
inflame	使燃烧；激怒
inflamed	发炎的
inflate	使充气，使膨胀
inflict	遭受
influx	注入，涌入
informed	见多识广的；消息灵通的
infraction	违法的
infringe	违反，侵害
infuriate	使极为愤怒
infuse	灌输；鼓励
ingenious	聪明的，有法明天才的
ingenue	天真无邪的少女
ingenuity	巧思，聪敏
ingenuous	淳朴的，单纯的
ingest	咽下，吞下
ingestion	摄取，吸收
ingrained	根深蒂固的
ingrate	忘恩负义的人
ingratiate	逢迎，讨好
ingratiating	讨好的，谄媚的
ingredient	成分；原料
inhabit	栖居于，占据
inhabitant	居民；栖息的动物
inherit	继承
inhumane	不近人情的
inimical	敌意的，不友善的
inimitable	无法仿效的，不可比拟的
iniquitous	邪恶的，不公正的
iniquity	邪恶，不公正
initial	开始的，最初的；首字母
initiate	发起，创始；接纳或介绍某人加入某团体等
initiative	主动；首创精神
injection	注射；注射剂
injunction	命令，强制令
injurious	有害的
inkling	暗示，迹象；略知，模糊概念
innate	生来的，天赋的
innocence	无辜，清白
innocuous	无害的
innovative	革新的
innuendo	含沙射影，暗讽
inoculate	预防注射
inordinate	过度的，过分的
inquiry	询问
inquisitive	过分好问的；好奇的
inroad	袭击
insatiable	不能满足的，贪心的
inscribe	在某物上写，题写
inscrutable	高深莫测的，神秘的
insecticide	杀虫剂
insensate	无感觉的；蠢笨的
insentient	无知觉的，无生命的
insider	局内人，圈内人
insidious	隐藏诡计的
insignia	徽章，袖章
insincerity	伪善
insinuate	暗指，暗示
insipid	乏味的，枯燥的
insolent	粗野的，无礼的
insoluble	不溶解的；不能解决的
insolvency	无力偿还；破产
insomnia	失眠症
insouciant	漫不经心的
inspection	检查，细看
inspiration	启示，灵感
inspired	有创见的，有灵感的
install	安装，装置；使就职
instantaneous	立即的；瞬间发生的
instate	任命，安置
instigate	发起，煽动
instill	滴注；逐渐灌输
instinctive	本能的
institute	制定，创立；学院，协会
institution	公共机构，协会；制度
institutionalized	制度化的，有组织的
instructive	传授知识的，启蒙的
instrumental	有帮助的，有作用的
