instrumentalist	乐器演奏者
insular	岛屿的；心胸狭窄的
insularity	岛国状态，与外界隔绝的生活状况；褊狭
insulate	使绝缘；使隔离
insulin	胰岛素
insurgent	叛乱的，起事的；叛乱分子
insurrection	造反，叛乱
intact	完整的，未动过的
intangible	不可触摸的
integral	构成整体所必需的；完整的
integrate	使成整体
integrity	正直，诚实；完整
intellect	智力，思维能力
intellectual	智力的，理智的；知识分子
intelligible	可了解的，清晰的
intensify	加剧
intent	专心的，渴望的；目的，意向
intentional	存心的，故意的
inter	埋葬
interaction	相互作用
intercede	说好话，代为求情
intercept	中途拦截，截取
intercessor	仲裁者
interchangeable	可互换的
interdict	禁止；切断
interference	干涉，妨碍
interim	中间时期，过渡时期；暂时的
interjection	插入语；感叹词
interlock	连锁，连串
interlocking	连锁的
interlude	暂时休息
intermediary	仲裁者；中间物；中间的，媒介的
interminable	无尽头的
intermingle	混合，掺杂
intermission	暂停，间歇
intermittent	断断续续的，间歇的
intern	拘禁，软禁；实习生
internecine	内讧，两败俱伤的
interplay	相互影响
interpolate	插入；篡改
interpose	置于…之间；介入
interregnum	无王时期
interrogate	审问，审讯
interrogative	疑问的
interrupt	暂时中止；打断，打扰
intersect	横截，横断
intersperse	散步；点缀
intertwine	纠缠，缠，绕
intervene	干涉，介入
intimate	亲密的；密友；暗示
intimidate	恐吓；胁迫
intoxicate	沉醉，欣喜若狂；喝醉
intractable	倔强的；难管的
intransigent	不妥协的
intrepid	无畏的，刚毅的
intricacy	错综，复杂，纷乱
intricate	复杂难懂的
intrigue	密谋；引起极大兴趣
introspective	自省的
intrude	把强加于；闯入
intuition	直觉；由直觉获知的知识
intuitive	直觉的
inundate	淹没；泛滥
inured	习惯的
invade	侵犯，侵入
invective	猛烈抨击，痛骂
inveigh	痛骂，抨击
inveigle	诱骗，诱使
inventory	详细目录；存货清单
inverse	相反的；倒转的
invert	上下倒置
invertebrate	无脊椎的
investigate	调查
inveterate	积习已深的
invidious	惹人反感的，导致伤害和仇恨的，招人嫉妒的
invigorate	鼓舞，激励
invigorating	使人有精神的，使人健壮的
inviolable	不可侵犯的；不可亵渎的
invoke	祈求；恳求；实施生效
involuntary	无意的
invulnerable	无法伤害的
iodine	碘；碘酒
iota	极小量，极少
irascible	易发怒的
irate	发怒的
ire	愤怒；激怒
iridescent	闪彩光的，现晕光的
irk	使苦恼，厌烦
irksome	令人苦恼的，讨厌的
ironclad	装铁甲的；坚固的
ironic	挖苦的；出乎意料的
irony	反话；出人意料的事情或情况
irradicable	不能根除的
irreconcilable	不能协调的，矛盾的
irredeemable	无法挽回的
irreducible	不能约的
irremediable	无法治愈的，无法纠正的
irrepressible	无法约束或阻止的
irrevocable	无法取消的
irrigate	灌溉；冲洗伤口
irritable	易怒的；易受刺激的
irritate	激怒；刺激
isolate	孤立，将…从某种群中隔离
issue	出来，流出；分给，分发；期
isthmus	地峡
itinerant	巡回的，流动的
itinerary	行程表；旅行路线
ivory	象牙，长牙
jabber	快而不清楚地说
jade	疲惫的老马；玉，翡翠
jaded	疲惫的；厌倦的
jagged	锯齿状的，不整齐的
jamb	门窗的侧柱
jar	冲突，抵触；震惊；发刺耳声
jargon	暗语；行话
jarring	声音刺耳的
jaundice	偏见；黄疸
jaunt	短程旅游
jaunty	愉快的，满足的
jazz	爵士乐；喧闹
jealousy	猜忌，嫉妒
jeer	嘲笑
jejune	空洞的；不成熟的
jerk	突然猛拉
jeopardize	危及，危害
jeopardy	危险
jesting	说笑，玩笑
jettison	向外抛弃东西；抛弃的货物
jibe	与…一致，符合
jigsaw puzzle	拼图游戏
jingoism	沙文主义；侵略主义
jockey	骑师；用计谋获取
jocular	滑稽的，诙谐的；嬉戏的
jocund	快乐的，高兴的
jog	慢而平静地前进
jolt	颠簸着移动；震动，摇晃
jot	摘要记录
jovial	愉快的，满足的
jubilation	欢快，欢庆
judicial	法庭的，法官的
judicious	有判断力的；明智的
juggernaut	摧毁一切的强大力量
jumble	混杂，掺杂；混杂，掺杂
