junction	交叉路口；连接
justifiable	有理由的，无可非议的
justification	正当理由，好的原因；辩护
justify	证明…正当
juvenile	少年的；似少年的
juxtapose	并排，并置
kaleidoscope	万花筒；产生有趣的对称效果
kangaroo	袋鼠
ken	视野范围；知识范围
kennel	狗舍，狗窝
kernel	果仁；核心
kidnap	诱拐，绑架，勒赎
kidney	肾
killjoy	令人扫兴的人
kin	亲属
kindle	着火，点燃
kinetic	运动的
knack	特殊能力；窍门
knave	流氓，恶棍
knead	揉制，捏制
knit	编织；密接，结合
knotty	有节疤的；困难的
know-how	专业技能，知识
kudos	荣誉
labile	不稳定的
labored	吃力的；不自然的
labyrinth	迷宫
lace	鞋带,系带；网眼花边,透孔织品
lacerate	撕裂；深深伤害
lachrymose	好流泪的；引人落泪的
lackadaisical	无精打采的；无兴趣的
lackluster	无光泽的；呆滞的
laconic	简洁的
lactic	乳汁的
lag	落后，滞留
lair	野兽的巢穴；躲藏处
laity	俗信徒，俗人阶级；外行
lambaste	痛打；痛骂
lament	悲伤；哀悼
lampoon	讽刺文章；讽刺
lance	长矛；鱼叉
lancet	手术刀
landfill	垃圾堆
landlocked	被陆地包围的
landmark	陆标；里程碑
landslide	山崩；压倒性的胜利
languid	没精打采的，倦怠的
languish	变得消瘦；衰弱
languor	身心疲惫
lank	瘦削的；长而软的
lap	舔食
lapse	失误；流逝
larder	食品室
largess	赠送，赏赐；赠品；贺礼
lark	玩乐，嬉耍
larva	幼虫
lash	鞭子；鞭打；捆住
lassitude	无力；没精打采
lasso	套索
lasting	持久的，永久的
latency	潜伏期
latent	潜伏的
lateral	侧面的
latitude	言行自由；纬度
lattice	格子架
laud	称赞
lava	熔岩
lave	洗浴；慢慢冲刷
lavish	浪费的；丰富的
laxative	通便的；放松的；倾泻药
leak	泄漏；泄漏；泻出量，漏洞
leakage	渗漏，漏出
lease	租约；租期；出租
leaven	发酵剂；影响力；发酵；影响
lectern	教堂里的读经台
ledger	账簿
leer	斜眼看，送秋波
leery	机警的；怀疑的
legacy	遗产；遗留之物
legend	地图里的说明文字或图例
legerdemain	手法；戏法
legion	兵团；一大群
legislate	制定法律
legitimate	合法的；正当的
leisureliness	悠然，从容
leniency	温和，宽容
lenient	宽大的；仁慈的
lethal	致命的
lethargic	昏睡的
lethargy	昏睡；倦怠；呆滞懒散
levee	防洪堤；堤岸
levelheaded	头脑冷静的，稳健的
lever	杠杆；撬动
levity	轻率；轻浮
levy	征税；征兵
lexicographer	词典编纂人
liability	责任；债务
liaison	联系；暧昧关系
libel	诽谤，中伤
liberality	慷慨；心胸开阔
liberate	释放，解放
libertine	性行为放纵者，浪荡的人
liberty	随意，冒失
libretto	歌词；剧本
license	放肆；自由；许可证，执照
licentious	纵欲的；放肆的
lien	扣押权；留置权
ligneous	木质的，木头的
liken	把…比作…
limb	肢，翼
limber	易弯曲的，敏捷的
limerick	五行打油诗
limestone	石灰岩
limn	描写；画
limousine	大型轿车，大客车
limp	跛行；软弱的；松软的
limpid	清澈的；透明的
lineage	宗系，血统
linen	亚麻织品，亚麻布
linger	逗留，留恋
linguistics	语言学
lionize	崇拜，看重
liquefy	液化，溶解
liquid	清澈的；透明的
liquidate	清算；清偿
lissome	姿态优雅的，柔软的
list	倾斜
listless	无精打采的；无兴趣的
literal	字面上的；忠实原义的；精确的
literate	有读写能力的；有文化修养的
literati	文人；学者
lithe	柔软的，易弯曲的；敏捷的，轻快的
litigant	诉讼当事人
litigation	诉讼
litter	垃圾；一窝
loaf	一条；虚度光阴
loathe	憎恨，厌恶
lobby	大厅，休息厅
lobe	耳垂；叶
locale	事件发生的现场、地点
locomotion	运动，移动
locomotive	移动的；机车，火车头
locus	地点，所在地
lode	矿脉
lofty	崇高的，高尚的
log	日志，记录；一段大木头；圆木
logistics	后勤学；后勤
loll	懒洋洋地坐或卧
longevity	长寿
longing	渴望
long-winded	冗长的
loom	织布机；隐约出现
loon	愚人；疯子
loop	圈，金属线圈
loophole	枪眼，小窗，换气孔
loosen	变松，松开
lope	轻快的步伐；使大步慢跑
lopsided	倾向一方，不平衡的
loquacious	多嘴的，饶舌的
lot	签；命运；抽签，划分
lottery	彩票，抽彩给奖法
lounge	懒散地斜靠；休息室
loutish	粗鲁的
low	牛叫
loyal	忠诚的，忠贞的，忠心的
