lubricant	润滑剂
lubricate	润滑
lucid	表达清楚的，明白易懂的
lucrative	赚钱的，有利可图的
ludicrous	荒唐可笑的
lug	拖，拉
lukewarm	微温的，不热心的
lull	活动的暂停；使平静
lullaby	摇篮曲
lumber	蹒跚而行，笨拙地走；杂物；木材
lumberjack	伐木工
lumen	流明
luminary	杰出人物，名人
lump	一块，肿块；形成块状
lunar	月亮的
lunatic	疯子；极蠢的
lurch	突然向前或旁边倒；蹒跚而行
lurid	耀眼的；骇人听闻的
lurk	潜伏，埋伏
lush	繁茂的，茂盛的
lust	强烈的欲望
lustrous	有光泽的
luxuriant	繁茂的；肥沃的
luxurious	奢侈的，豪华的
luxury	奢侈的，豪华的
lyric	抒情的；抒情诗；歌词
macabre	骇人的，可怖的
macerate	浸软；使消瘦
machination	阴谋
maculated	有斑点的
madrigal	抒情短诗，情歌；合唱曲
maelstrom	大漩涡；大混乱
magenta	紫红色的；紫红色，紫红色的染料
magisterial	有权威的；威风的
magnanimity	慷慨
magnanimous	宽宏大量的，慷慨的
magnate	财主，巨头
magnificent	壮丽的，宏伟的；高尚的
magnify	放大；赞美
magnitude	重要；星球的光亮度
magpie	鹊；饶舌的人
maintenance	维持，维护
maize	玉米
majestic	雄伟的，庄严的
maladroit	笨拙的
malaise	不适，不舒服
malapropism	字的误用
malcontent	不满的；不满分子，反抗者
malevolent	有恶意的，恶毒的
malfeasance	不法行为，渎职
malfunction	发生故障；故障，障碍
malicious	恶意的，怨毒的
malign	诽谤，中伤；邪恶的
malinger	装病以逃避工作
malleable	可塑的，易改变的
malpractice	玩忽职守，渎职
mammoth	巨大的
mandate	命令，指令
mandatory	命令的，强迫的
mangle	毁损；撕成碎片，压碎
mania	癫狂；狂热
manifest	显然的；旅客名单，载货清单
manifesto	宣言，声明
manifold	繁多的；多种的
manipulate	操纵
manipulative	操纵别人的，老于世故的
mannered	做作的
mansion	公馆；大厦
mantle	披风，斗篷；覆盖
manumit	解放
manure	粪肥；给…施肥
manuscript	手稿；手抄本
maple	枫树
mar	破坏，损伤
marble	大理石
mare	母马，母驴
margarine	人造黄油
margin	页边空白，边缘
marine	海的；海中的
marionette	木偶
marital	婚姻的
maritime	沿海的；海上的
marked	明显的；被监视的
maroon	栗色
marsh	沼泽地，湿地
marshal	整理，安排，设置
marsupial	有袋动物
martial	战争的，军事的
martyr	烈士，殉道者
marvel	对…感到惊异；奇迹
mash	捣成糊状
mask	假面具；隐藏
mason	泥瓦匠，石匠
masquerade	化装舞会；伪装
massacre	大屠杀
massive	巨大的，厚重的
mast	船桅，旗杆
masticate	咀嚼；把…磨成浆
mate	伙伴；配偶；交配
materialize	赋予形体，使具体化；实现
maternal	母性的
matrix	模子；矩阵
mattress	床垫
mature	成熟的；深思熟虑的
maudlin	感情脆弱的，爱哭的
maul	撕裂皮肉，伤害
mauve	淡紫色的
maven	专家，内行
maverick	想法与众不同的人
mawkish	自作多情的；淡而无味的，令人作呕的
maximize	使增至最大限度
maze	迷宫
meager	贫乏的；瘦削的
mean	卑贱的；吝啬的
meander	蜿蜒而流；漫步
measly	患麻疹的；小得可怜的
measured	精确的；慎重的
mechanical	机械的，机械制造的；机械似的，呆板的，体力的
mechanics	力学
mechanism	结构，机制
medal	奖牌，勋章
meddle	干涉，干预
meddlesome	爱管闲事的
mediate	调停
medieval	中世纪的，中古的
mediocrity	平庸，碌碌无为
meditate	沉思，反省
medium	媒介；生存环境
medley	混合歌曲；混杂；各种各样的集团
meek	温顺的，顺服的
meet	合适的
melancholy	忧郁的；令人悲伤的
meld	混合，合并
mellifluous	柔美流畅的
melodrama	情节剧；音乐喜剧
melon	甜瓜
membrane	薄膜；膜
memoir	回忆录，自传；记事录
memorial	纪念碑，纪念物；纪念的，悼念的
menace	威胁，恐吓
mend	修改，改进
mendacious	不真的；撒谎的
mendicant	行乞的；乞丐
menthol	薄荷醇
mentor	导师
mercantile	贸易的，商业的
mercenary	惟利是图的；雇佣兵
mercurial	善变的；活泼的
meretricious	华而不实的，俗艳的
merit	值得
merited	该得的，理所当然的
meritorious	值得赞赏的
mesa	高台地，平顶山
mesh	用网捕捉；齿合
metabolism	新陈代谢
metamorphose	变形
metaphor	隐喻，暗喻
metaphysics	形而上学，玄学
mete	给予，分配；测量；边界
meteoric	流星的；昙花一现的
methodical	细心的，有条不紊的
meticulous	细心的，一丝不苟的
metrical	测量的；韵律的
metropolis	大城市
