metropolitan	大都市的，首都的
mettle	勇气，斗志
mettlesome	精神抖擞的
microbe	微生物
microorganism	微生物，细菌
microscopic	极小的；显微镜的
miff	小争吵
mighty	强有力的，强大的
migratory	迁移的，流浪的
milestone	里程碑；转折点
militia	民兵
milk	榨取
mill	磨坊；压榨机；制造厂
mime	哑剧表演；哑剧
mimic	模仿，戏弄；模仿他人言行的人
minaret	清真寺的尖塔
minatory	威胁的，恫吓的
mince	切碎；小步走路
mingle	混合
miniature	小画像；缩影
minimize	把…减至最低数量或程度
minion	奴才，底下之人
minnow	鲦鱼，小淡水鱼
mint	大量；巨额；造币厂
minuet	小步舞
minuscule	极小的
minutes	会议记录
minutia	细枝末节，细节
miracle	奇事，奇迹
mirage	幻影，海市蜃楼
mire	泥沼；困境；使…陷入困境
mirth	欢乐，欢笑
misanthrope	愤世嫉俗者
mischievous	淘气的；有害处的
miscreant	恶棍，歹徒
miser	守财奴，吝啬鬼
miserly	吝啬的，贪婪的
misgiving	担心，疑虑
misinform	向…提供错误信息
misnomer	名字的误用
misperceive	误解
misrepresent	误传，歪曲
misshapen	畸形的，奇形怪状的
missile	发射物；导弹
mite	极小量；小虫
mitigate	减轻，缓和
mitten	连指手套
mnemonics	记忆法，记忆规则
moan	呻吟；抱怨
moat	壕沟，护城河
mobile	易于移动的
mobility	可动性，流动性
mock	嘲笑；模仿以嘲弄
mode	样式，时尚；模式
modest	谦虚的，谨慎的；适度的
modicum	少量
modify	修改，变更
modish	时髦的
modulate	调整
mogul	显要人物，权势之人
molar	臼齿
mold	模子；霉；塑造
molding	装饰线条；铸造物
moldy	发霉的
molecule	分子
mollify	安慰，安抚
mollycoddle	过分爱惜，娇惯；娇生惯养之人
molt	换羽，脱毛；换羽，脱毛
molten	熔化的
moment	瞬间；重要
momentous	极重要的，严重的
momentum	推进力，势头
monarch	君主，帝王
monarchy	君主制
monetary	货币的
mongrel	杂种动植物；混血儿
monochromatic	单色的
monochrome	单色的，单色画的
monocle	单片眼镜
monogamy	一夫一妻制
monolithic	巨石的，巨大的
monologue	独白；个人长篇演说
monomania	偏狂症，狂热病
monopoly	专利权，垄断
monotonous	单调的，无聊的
monotony	单调，千篇一律
monsoon	季雨，季风
montage	蒙太奇；拼集画
monumental	极大的；纪念碑
morale	士气，精神力量
moralistic	道学气的
moratorium	停止偿付；禁止活动
morbid	病态的，不正常的
mordant	讥讽的，尖酸的
mores	风俗习惯，道德观念
moribund	即将结束的；垂死的
morose	阴郁的
morsel	一小块；小量
mortality	死亡率
mortar	臼，研钵；迫击炮
mortgage	抵押贷款；抵押证书；用…作抵押
mortification	耻辱，屈辱
mortify	使屈辱，使痛心
mortuary	停尸间，太平间
mosaic	马赛克；镶嵌细工
mosque	清真寺
mosquito	蚊子
mote	微粒，微尘
motif	主题，主旨
motility	运动性
motley	混杂的；杂色的
mottled	有杂色的，斑驳的
motto	座右铭；箴言
mountainous	多山的；巨大的
mourn	哀悼，哀伤
mournful	悲伤的
movement	乐章
muffle	使声音降低；裹住
mulish	骡一样的，执拗的
multiple	多样的，多重的
multiplicity	多样性
multiply	乘；增加；繁殖
mumble	咕哝，含糊不清地说
mundane	现世的，世俗的
municipality	市；市政当局
munificence	慷慨，宽宏大量
munition	军火，弹药
mural	墙壁的；壁画
murky	黑暗的；朦胧的
murmur	柔声地说，抱怨
muse	沉思，冥想
musicologist	音乐学者
musket	旧式步枪
muster	召集，聚集
mutate	变异
mute	沉默的；减弱声音；弱音器
muted	减弱的，变得轻柔的
mutineer	反叛者，背叛者
nutter	咕哝，嘀咕
myopia	近视；缺乏远见
myopic	近视眼的；缺乏辨别力的
myriad	许多的，无数的
mystic	神秘的，不可思议的
nadir	最低点
nag	唠叨，烦扰，不断找茬，抱怨
naivety	天真的，纯朴的
narcissism	自恋，自爱
narcissist	自负的人，自恋者
narcotic	催眠药；催眠的
narrative	叙述的，讲故事的
nascent	初生的，萌芽的
natal	出生的，诞生时的
natty	整洁的；潇洒的
nausea	作呕，恶心
nauseate	使作呕，使厌恶
nautical	船员的，航海的
navigate	航海，导航
naysay	拒绝，说不
nebulous	模糊不清的；云状的
needle	针；针叶
needlework	缝纫，刺绣
needy	贫穷的
nefarious	邪恶的
negate	取消；否认
negation	否定，拒绝
negligence	粗心，疏忽
negotiable	可商量的
negotiate	商议，谈判，交涉
neolithic	新石器时代的
