neologism	新字，新义
neophyte	初学者，新手
nepotism	裙带关系
nerve	勇气；鼓起勇气
nettle	荨麻；烦扰，激恼
neurology	神经学
neutralize	使无效；中和
neutron	中子
nexus	联系，连结
nib	钢笔尖
nibble	一点点地咬，慢慢啃
nice	精密的
nick	小伤口，刻痕
nightmare	噩梦；可怕的事
nil	无，零
nip	小口啜饮
nitpick	挑剔，吹毛求疵
nocturnal	夜晚的，夜间发生的
noisome	恶臭的；令人不快的
nomad	流浪者；游牧部落的人
nomadic	游牧的
nominal	名义上的，有名无实的
nominate	提名；任命，指定
nonchalance	冷漠，缺少关怀；沉着
noncommittal	态度暧昧的；不承担义务的
nonentity	不重要的人或事
nonflammable	不易燃的
nonplus	使窘困迷惑；迷惑，窘境
nonporous	 无孔的，不渗透的
nonradioactive	非放射性的
nonsensical	荒唐的，无意义的
nonthreatening	不威胁的
nonviable	无法生存的
norm	规范，准则
nostalgia	怀旧之情；思乡病
nostrum	家传秘方，江湖药；万灵丹
notable	明显的，出众的，重要的
notch	V字形刻痕
notorious	臭名昭著的
nourish	滋养，怀有
nova	新星
novelty	新奇
novice	生手，新手
noxious	有害的，有毒的
nuance	细微的差异
nubile	到婚嫁年龄的；吸引人的，性感的
nucleate	使成核；有核的
nucleus	核
nudge	轻触，轻推
nugatory	无价值的，琐碎的
nullify	使无效，取消
numb	麻木的
numerous	许多的，很多的
numismatist	钱币学家，钱币收藏家
nurture	抚育，给…营养物，教养；养育，营养物；环境因素
nutrient	滋养物质
nutrition	营养；营养学
oafishness	痴呆
oak	橡树
oasis	绿洲
oath	誓言；咒骂
obdurate	固执的，顽固的
obedient	服从的，顺从的
obeisance	鞠躬，敬礼
obese	极肥胖的
obfuscate	使困惑，使迷惑
obituary	讣闻，讣告
objection	厌恶，反对
objective	客观的；目标
obligation	责任；债务，欠的人情
obligatory	强制性的，义务的
oblige	束缚；恩惠于…
obliging	恳切的，热心助人的
oblique	间接的；斜的
obliterate	涂掉，擦掉
oblivious	遗忘的，疏忽的
obloquy	大骂，斥责
obnoxious	令人不愉快的；可憎的
obscure	难理解的；不清楚的；隐藏；使…模糊
obscurity	费解；不出名
obsequious	逢迎的，谄媚的
observatory	天文台
obsess	迷住；使…困窘，使…烦扰
obsolete	废弃的；过时的
obstacle	障碍，干扰
obstinacy	固执，倔强，顽固
obstinate	固执的，倔强的
obstreperous	吵闹的；难管束的
obstruct	阻塞，截断
obtainable	能得到的
obtuse	愚笨的；不锐利的
obverse	正面
obviate	排除，消除
obvious	明显的，显而易见的
occlude	使闭塞
occult	秘密的，不公开的
occupation	工作，职业；占领
occurrence	事件；发生
octogenarian	80至89岁的人
odds	机会，可能性
ode	长诗，颂歌
odious	可憎的，讨厌的
odium	憎恶，反感
odometer	里程表
odyssey	长途的冒险旅行
offbeat	不规则的，不平常的
offence(offense)	得罪；错事
offend	得罪，冒犯
offensive	令人不快的，得罪人的
offhand	事先无准备地；随便地
officious	爱发命令的，好忠告的；过度殷勤的
offish	冷淡的
off-key	走调的，不和谐的
offset	补偿，抵消
offspring	儿女，后代
offstage	台后，幕后
ogle	送秋波；媚眼
ointment	油膏，软膏
olfaction	嗅觉
oligarchy	寡头政治
omelet	煎蛋卷
ominous	预兆的，不详的
omit	省略，遗漏；疏忽
omnipotent	全能的，万能的
omnipresent	无处不在的
omniscient	无所不知的，博识的
onerous	繁重的，麻烦的
onset	开始发作
opacity	不透明性，晦涩
opalescence	乳白光
opaque	不透明的；难懂的
operative	实施中的；生效的
operetta	小歌剧
opine	想，以为
opinionated	固执己见的
opponent	对手，敌手
opportune	合适的，适当的
oppose	反对
oppress	压迫，压制
opprobrious	辱骂的，恶名声的
optimism	乐观主义
optimist	乐观主义者
optimum	最好的，最有利的
optional	可自由选择的
opulent	富裕的；充足的
oracle	代神发布神谕的人
oration	正式演说，演讲
oratorio	清唱剧
oratory	演讲术
orchard	果园
orchestra	管弦乐队
ordain	任命；颁发命令
ordeal	严峻考验，痛苦经验
ordinance	法令，条例
ordnance	大炮；军械
ore	矿，矿石
organism	生物；有机体
orient	确定方向；使熟悉情况
original	最初的，原始的；有创意的
originality	创造性，独特性
ornate	华美的；充满装饰的
ornithologist	鸟类学家，鸟类学者
ornithology	鸟类学家，鸟类学者
orthodontics	畸齿矫正学
orthodox	正统的
