oscillate	摆动；犹豫
osmosis	渗透；潜移默化
osseous	骨的，多骨的
ossify	硬化，骨化；使僵化
ostensible	表面上的
ostentation	夸示，夸耀
ostracism	放逐，排斥
ostracize	放逐，排斥
ostrich	鸵鸟；不接受现实的人
other-directed	受人支配的
otter	水獭
oust	驱逐；把…赶走
outgoing	友善的；即将离去的
outgrowth	自然结果；副产品
outlandish	古怪的
outlet	出口
outline	轮廓；梗概
outmaneuver	以策略制胜
outmoded	不再流行的
outrage	暴行
outset	开始，开头
outshine	比…更好
outskirts	郊区，郊外
outspoken	直言不讳的
outstrip	超过；跑过
outwit	以机智胜过
ovation	热烈的欢迎、鼓掌
overbearing	专横的，独断的
overdose	过大的剂量
overdue	过期未付的；逾期的
overexposure	过分暴露，曝光过度
overflow	溢出；充满
overhaul	彻底检查；大修
overlap	重叠
overlook	忽视；俯视
overpowering	压倒性的，不可抗拒的
overreach	做事过头
override	不理会；蹂躏，践踏
overriding	最主要的，优先的
overrule	否决
oversee	监督
overshadow	遮蔽，使失色
overstate	夸张，对…言过其实
overt	公开的，非秘密的
overthrow	推翻；终止；推翻；终止
overture	前奏曲，序曲
overturn	翻倒；推翻
overwhelm	泛滥；压倒
overwrought	紧张过度的，兴奋过度的
owl	猫头鹰
oxidize	氧化，生锈
pacifist	和平主义者，反战主义者
pacify	使安静，抚慰
pack	狼群；一群动物
packed	充满人的，拥挤的
pact	协定，条约
padding	衬垫，填料
paean	赞美歌，颂歌
pagan	没有宗教信仰的人；异教徒
pageant	壮观的游行；露天历史剧
painkiller	止痛药
painstaking	煞费苦心的
palate	上颚；口味；爱好
palatial	宫殿般的；宏伟的
palette	调色板，颜料配置
pall	令人发腻，失去吸引力
palliate	减轻；掩饰
palliative	缓释剂；减轻的，缓和的
pallid	苍白的，没血色的
palmy	繁荣的；棕榈的
palpable	可触知的，明显的
palpitate	极速而不规则地跳动
palter	含糊其词
paltry	无价值的，微不足道的
pamphlet	小册子
pan	严厉批评
panacea	万灵药
panache	炫耀；羽饰
pancreas	胰腺
pandemic	大范围流行的
pandemonium	喧嚣，大混乱
panegyric	颂词，颂扬
panel	专门小组；仪表板
pang	一阵剧痛
panic	恐慌的；恐慌，惊惶
panorama	概观，全景
panther	黑豹
pantomime	哑剧
pantry	食品室
papyrus	莎草；莎草纸
parable	寓言，比喻
parabola	抛物线
paradigm	范例，示范
paradox	似非而可能是的理论；与通常见解相反的观点
paragon	模型，典范
parallel	平行的；类似的；平行线；与…相似
parallelism	平行，类似
parameter	参量，变量
paramount	最重要的，最高权力的
paranoia	偏执狂；多疑症
paranoid	偏执狂的，过分怀疑的
paraphrase	解释，释义
parasite	食客；寄生虫
parch	烘烤；烤焦
pare	削；修剪；削减，缩减
pariah	贱民，被社会遗弃者
parity	同等，相等
parka	派克大衣
parlance	说法，用语，词汇
parody	模仿性嘲弄文章或表演；拙劣的模仿
paroxysm	突发
parquet	镶木地板
parry	挡开，避开
parse	对…做语法分析
parsimony	过分节俭，吝啬
partial	局部的；偏袒的
partiality	偏袒，偏心
particular	事实，细节
particularize	详述，列举
partisan	党派支持者；党徒
partition	隔开；隔墙
passionate	充满激情的
passive	被动的，缺乏活力的
pastel	彩色粉笔或蜡笔画；柔和的色彩
pasteurize	加热杀菌，消毒
pastiche	混合拼凑的作品
pastoral	田园生活的；宁静的
pastry	糕点，点心
patch	补丁；一小片
patent	显而易见的；专利权
pathogen	病原体
pathology	病理学
patina	绿锈；光亮的外表
patrician	贵族
patrimony	祖传的财产
patriot	爱国者，爱国主义者
patriotism	爱国主义，爱国心
patronage	赞助，惠顾
patronize	以高人一等的态度对待；光顾，惠顾
paucity	小量，缺乏
paunchy	大肚子的
pauper	贫民，乞丐
peak	憔悴，消瘦
pecan	山核桃
peccadillo	小过失
peck	啄食；轻啄
pedagogue	教师，教育者
pedagogy	教育学，教育法
pedal	踏板，脚蹬；骑脚踏车
pedant	迂腐之人，书呆子
pedestal	基座
