pedestrian	徒步的；缺乏形象的；行人
pediatrics	小儿科
peel	削去…的皮；剥落；外皮
peer	同等之人，同辈
peerless	无可匹敌的
peeve	使气恼，怨恨
peevish	坏脾气的，易怒的
pejorative	带有轻蔑意义的，贬低的
pelf	钱财；不义之财
pell-mell	混乱地
pellucid	清晰的，清澈的
pen	围栏；监禁；母天鹅
penalize	置于不利地位；处罚
penalty	惩罚，处罚
penance	自我惩罚
penchant	爱好，嗜好
pending	即将发生的；未决的
pendulum	摆，钟摆
penetrate	刺穿；渗入；了解
peninsula	半岛
penitent	后悔的，忏悔的
pennant	信号旗
penultimate	倒数第二的
penury	贫穷；吝啬
perambulate	巡视；漫步
perception	感觉；洞察力
perch	栖息
percussionist	敲击乐器的乐师
peregrination	游历
peremptory	不容反抗的；专横的
perennial	终年的；永久的
perfervid	非常热心的
perfidious	不忠的，背信弃义的
perfidy	不忠，背叛
perforate	打洞
perfunctory	草率的，敷衍的
peril	危险
perilous	危险的，冒险的
perimeter	周长
periodical	期刊
peripatetic	巡游的
peripheral	不重要的，外围的
periphery	不重要的部分；外围
periscope	潜望镜
perish	死，消亡
perishing	严寒的
perjure	作伪证，发假誓
perjury	作伪证，发假誓
perky	神气的；活泼的
permanent	长久的，永久的
permeable	可渗透的
permeate	扩散；渗透
permissive	过分纵容的
pernicious	有害的，致命的
perpendicular	垂直的
perpetual	连续不断的；永久的
perpetuate	使永存，使永记不忘
perquisite	固定津贴；利益
persecute	迫害
persiflage	挖苦，嘲弄
personable	英俊的，风度好的
personification	典型，化身，完美榜样
personnel	全体人员，员工
perspective	角度，方法；透视法
perspicacious	独具慧眼的
perspicuity	明晰；聪明睿智
perspicuous	明晰的；明了的
perspire	流汗
pertain	属于；关于
pertinacious	固执的；无法驾驭的；不妥协的
pertinent	有关的，相关的
peruse	细读，精读
pervade	弥漫，普及
pervious	可渗透的
pessimism	悲观；悲观主义
pest	害虫；讨厌的人或物
pester	纠缠，强求
pesticide	杀虫剂
pestilent	致死的；有害的
pestle	杵，乳钵槌
petal	花瓣
petition	请愿；请愿书
petitioner	请愿人
petrify	石化；吓呆
petroglyph	岩石雕刻
petroleum	石油
petrology	岩石学
petty	琐碎的；小心眼儿的
petulance	发脾气，性急，暴躁
petulant	性急的，暴躁的
phantom	鬼怪，幽灵；幻像
pharmaceutical	制药的
phenomena	现象；科学研究的现象
phenomenal	显著的，非凡的
philanthropic	博爱的
philatelist	集邮家
philately	集邮
philistine	佣人，市侩
phlegmatic	冷静的，冷淡的
phoenix	凤凰，永生或再生的象征
phonetic	语音的
photosynthesis	光合作用
physiological	生理的；生理学上的
piano	轻柔的
pictorial	绘画的；有图片的，用图片表示的
piddling	琐碎的，微不足道的
pied	杂色的
pierce	刺透；穿过
piercing	刺骨的；敏锐的
pigment	天然色素；干粉颜料
pilgrim	朝圣客，香客
pillar	柱子
pillory	颈手枷；示众，嘲弄
pilot	飞行员；领航员；领导人
pinch	捏，掐；一撮，一点
pine	松树；憔悴
pinnacle	尖塔；山峰，顶峰
pinpoint	精确地找出或描述；非常精确的
pious	虔诚的，尽责的
piquant	辛辣的，开胃的；兴奋的
pique	不悦，愤怒；冒犯
pirate	海盗，剽窃者；盗印；掠夺
pirouette	脚尖着地的旋转
pistol	手枪
pitch	沥青，柏油；音调
pitcher	有柄水罐
pitfall	陷阱，未料到的危险或困难
pith	精髓，要点
pithiness	简洁
pithy	简练的
pitiful	值得同情的，可怜的
pittance	微薄的薪俸，少量的收入
placate	抚慰，平息
placebo	安慰剂
placid	安静的，平和的
plagiarism	剽窃，抄袭
plagiarize	剽窃，抄袭
plague	瘟疫；讨厌的人或物；烦扰
plain	简单的；清楚的；平原
plaintiff	原告
plaintive	可怜的，伤心的
plait	发辫；编成辫
plane	刨子；平面；刨
plangent	轰鸣的；悲哀的
plankton	浮游生物
plaster	灰泥，石膏；抹灰泥
plateau	高原；平稳的状态
platitude	陈词滥调
platonic	理论的；纯精神上的，没有感官欲望的
plaudit	喝彩，赞扬
plausible	表面上看起来有道理的
plead	恳求，提出…为理由
pleat	褶
pledge	誓言，保证；发誓
plenitude	完全；大量
plethora	过量，过剩
pliable	易弯的，柔软的
pliant	易受影响的；易弯的
