plight	困境，苦境
plinth	柱脚，底座
plod	重步走；吃力地干
plot	情节；阴谋；策划
plough	犁；犁地
ploy	花招，策略
pluck	在困难面前足智多谋的勇气，胆量；精力；拔毛；弹拉
plumb	精确地；深入了解；测水深；垂直的
plumber	管子工，铅管工
plume	羽毛；整理羽毛；搔首弄姿
plummet	垂直或突然坠下
plunder	抢劫，掠夺
plunge	投入；俯冲
plush	豪华的
plutocracy	财阀统治
pod	豆荚；剥掉
podiatrist	足病医生
podium	讲坛，指挥台
poignant	伤心的；尖锐的
poise	使相等，使平衡；泰然自若，镇定
poisonous	有毒的；有害的
poke	刺，戳，贯穿
polar	地极的，两极的；磁极的
polarity	极端性，两极分化
polarize	使…两极分化
polemic	 争论，论战
polemical	挑起论战的
polish	把…擦光亮，抛光；上光剂；优雅
poll	民意测验；选举投票
pollen	花粉
pollinate	给…授粉
pollster	民意测验家
pomposity	自大的行为，傲慢，自命不凡
pompous	自大的行为，傲慢，自命不凡
poncho	斗篷；雨衣
ponder	仔细考虑
ponderable	可估量的
ponderous	笨重的，笨拙的
pontifical	自以为是的；武断的
pontificate	自大武断地做或说
populace	民众，老百姓
populous	人口稠密的
porcelain	瓷；瓷器
porcupine	豪猪，箭猪
pore	毛孔，气孔
porous	可渗透的；多孔的
portentous	凶兆的，有危险的
portfolio	文件夹；股份单
portray	描绘，描述
pose	摆姿势；造作
poseur	装模作样的人
posit	断定，认为
posse	武装团队
possessed	着迷的；疯狂的
poster	海报，招贴画
postpone	使延期，推迟
postulate	假定；要求
posture	姿势，体态；态度；故作姿态
potable	适于饮用的
potation	畅饮；饮料
potentate	统治者，当权者
potential	潜在的，有可能性的
potentiate	加强
potpourri	混杂；杂文集
pottery	制陶；陶器
pout	撅嘴，板脸
practitioner	开业者；从事某种手艺者
pragmatic	实际的，实用主义的
prank	恶作剧，玩笑
prate	瞎扯，胡说
preach	传教，讲道
preamble	前言，序言；先兆
precarious	根据不足的，靠不住的；不稳的，危险的
precede	在…之前，早于
precept	箴言，格言
precipice	悬崖
precipitant	沉淀剂
precipitate	加速，促成；鲁莽的
precipitation	降水
precis	摘要，大纲
precise	精确的
preclude	避免，排除
precocious	早熟的
precursor	先驱，先兆
predator	食肉动物
predecessor	前任，前辈；原先的东西
predestine	注定
predicament	困境，窘境
predilection	偏袒，爱好
predisposition	倾向，癖性
predominant	有势力的
predominate	支配，统治；占优势
preeminent	出类拔萃的
preempt	以先买权取得；取代
preen	整理羽毛；打扮修饰
preface	序言
pregnant	怀孕的；充满的
prehistoric	史前的
prejudice	偏见，成见；使产生偏见
preliminary	预备的；初步的，开始的
preliterate	文字出现以前的
prelude	序幕，前奏
premature	过早的，早熟的
premeditate	预先想过，预谋
premeditated	预谋的，事先计划的
premiere	首次公演
premise	前提
premium	保险费；奖金
premonition	预感，预兆
preoccupation	全神贯注；使人专注的东西
preponderate	压倒，超过
preposition	介词，前置词
preposterous	荒谬的
prerequisite	先决条件
prerogative	特权
presage	预感；预示
prescience	预知，先见
prescribe	开处方；规定
prescription	处方
presentation	表演，介绍，描述
presenter	主持人
preservation	防腐的；防腐剂
preside	担任主席；负责；指挥
press	挤压
pressing	紧迫的，迫切的；恳切要求的
prestige	威信，威望，声望
prestigious	有名望的，有威信的
presume	假定，认定
presumption	冒昧，专横
presupposition	预先假定，臆测
pretend	假装；装扮
pretension	自命不凡，夸耀
pretentious	自抬身价的
preternatural	异常的；超自然的
pretext	借口
prevail	战胜；盛行
prevaricate	支吾其词，说谎
preview	预演，预展
previous	在先的，以前的
prey	被捕食的动物
prim	端庄的，整洁的
primate	灵长类
prime	全盛时期；最初的；原始的；最好的
primp	刻意打扮
principal	主要的，重要的
principle	原则，原理；道德准则
priority	在先，居前；优先权
pristine	太古的；纯洁的；新鲜的
