queue	排队；长队
quibble	遁词；吹毛求疵的反对意见
quiescent	不动的，静止的
quill	刺
quirk	奇事；怪癖
quisling	卖国贼，内奸
quiver	箭筒，箭囊
quixotic	不切实际的空想的
quota	定额，配额
quote	引用，引述
quotidian	每日的；平凡的
rabble	乌合之众；下等人
rabid	患狂犬病的；失去理性的
rabies	狂犬病；恐水病
raconteur	善于将故事的人
racy	活泼的，生动的
radius	半径
raffish	粗俗的；俗艳的
raffle	抽奖售物
rafter	椽子
rag	旧布，碎步；破旧衣服
ragged	破烂的
raid	突然袭击
rail	栏杆；铁轨；咒骂，猛烈指责
raisin	葡萄干
rakish	潇洒的；放荡的
rally	召集，集会；召集；集会
ram	公羊；撞击，猛击
ramble	漫步；漫步
rambunctious	骚乱的；控制不了的
ramify	分支，分叉
rampage	狂暴地乱冲；暴怒
rampant	蔓生的，猖獗的
rampart	壁垒；城墙
ramshackle	摇摇欲坠的
rancid	不新鲜的，变味的
rancor	深仇，怨恨
random	没有明确目的、计划或者目标的；偶然的，随便的
ranger	森林管理员；巡逻骑警
rankle	怨恨；激怒
ransom	赎金；赎身；赎回
rant	咆哮；口出狂言
rapacious	强夺的；贪婪的
rapids	急流，湍流
rapport	和睦，意见一致
rapprochement	和好，和睦
rapt	专心致志的，全神贯注的
rarefaction	稀薄
raspy	刺耳的；恼人的
ratification	正式批准
ratiocination	推理；理论
ration	定量配给；配给
rational	理性的；合理的
rattle	使咯咯作响，使慌乱
raucous	沙哑的；粗糙的
ravage	摧毁，使荒废
rave	热切赞扬；狂语
ravel	纠缠，纠结；拆开，拆散
ravenous	饿极了的；贪婪的
ravishing	令人陶醉的
raze	彻底破坏
razor	剃刀，刮胡刀
reactant	反应物
reactionary	保守的，反动的
readily	不迟疑地；迅速地，轻易地
ready	机敏的，迅速的
reagent	试剂
realign	重新组合
realm	王国；领域，范围
ream	令人陶醉的
reap	收割，收获
rebate	折扣，回扣
rebellious	反抗的；难控制的
rebuff	断然拒绝的
rebuke	指责，谴责
rebus	字谜，画谜
rebuttal	反驳，反证
recalcitrant	顽抗的
recall	回想，回忆起；收回；唤回
recant	改变，放弃
recantation	改变宗教信仰
recapitulate	扼要重述
recast	重铸；更换演员
recede	后退；收回
receipt	收到，接到；发票，收据
receptacle	容器
receptive	善于接受的；从善如流的
recess	壁凹；休假
recession	经济萧条时期；撤回，退回
recessive	后退的；隐形的
recipe	食谱
recipient	接受者，收受者
reciprocal	相互的，互惠的
reciprocate	回报，答谢
recital	独奏；吟诵
reclaim	纠正；开垦
recluse	隐士；隐居的
recoil	退却，退缩
recollection	记忆力；记忆中的往事
recombine	重组，再结合
recompense	报酬，赔偿
reconcile	和解，调和
recondite	深奥的
reconnaissance	侦察，预先探索
reconstitute	再组成；用水泡
recourse	求助，依靠
recruit	新兵；新成员；征募
rectangle	长方形，矩形
rectify	改正，调正；提纯
rectitude	诚实，正直；公正
recumbent	侧卧的；休息的
recuperate	恢复，复原
redeem	赎罪
redemptive	赎回的，救赎的，救世的
redirect	改寄；改变方向
redistribution	重新分配
redolent	芬芳的，芳香的
redoubtable	可敬畏的
redress	改正，修正
redundancy	过剩；备份
redundant	累赘的；多余的
reed	芦苇；簧片
reek	发臭味；冒烟
reel	卷轴，旋转；卷…于轴上
refectory	餐厅，食堂
referee	裁判员；仲裁者
refinery	提炼厂，精炼厂
reflect	反射；仔细考虑
refraction	折射
refractory	倔强的；反应迟钝的
refrain	抑制；歌曲的反复句，叠句
refresh	消除…的疲劳，使精神振作
refugee	难民，流亡者
refulgent	辉煌的，灿烂的
refurbish	刷新，擦亮
refute	驳斥
regale	款待；使…享受
regime	政权，政治制度
regress	使倒退，复原，逆行
regressive	退步的，退化的
regulate	管制；调整
rehabilitate	修复，恢复
rehearsal	排演，演习
rehearse	排练，预演；详述
reign	统治时期；王朝；领域
reimburse	偿还
rein	缰绳；控制
reinforce	加强力量，增援
reinstate	恢复，复原
reiterate	重申，反复地说
rejoice	喜欢，高兴
rejuvenate	使返老还童
relapse	旧病复发；再恶化；旧病复发，再恶化
