riot	参加暴动
riotous	暴乱的；骚动的；喧闹的
ripen	使成熟
ripple	起涟漪；细浪，涟漪
rite	仪式
ritual	仪式，例行习惯
rival	竞争者，对手；与…匹敌
rivalry	竞争，对抗
rive	撕开，分裂
riven	撕裂的，分裂的
rivet	铆钉；吸引
riveting	非常精彩的
rivulet	小溪，小河
robe	长袍，礼服
robust	健壮的
roe	鱼卵
roil	煽动；搅浑
rookie	新兵，新手
roster	值班表，花名册
rostrum	讲台，讲坛
rotate	旋转，转动；轮流，交替
rotten	腐败的；糟糕的
roughen	变得粗糙，变得不平
royalty	版税
rubicund	红润的，红色的
rudder	船舵；领导者
rudimentary	初步的，未充分发展的
rue	后悔，遗憾
ruffian	恶棍，歹徒；残暴的
ruffle	弄皱；激怒；皱边
ruminant	反刍的；沉思的
rumple	弄皱，弄乱
rung	梯子横档，梯级
runic	北欧古代文字的；神秘的
rupture	破裂，断裂
rural	乡村的
ruse	骗术，诡计
rustic	乡村的，乡土气的
ruthlessness	无情，残忍
sabotage	阴谋破坏，颠覆活动
saboteur	从事破坏活动者
saccharin	糖精
sacred	神圣的，庄严的
sacrifice	牺牲；宰牲祭神
sacrilege	亵渎，冒犯神灵
sacrilegious	亵渎神圣的
sadden	使伤心，使悲哀
saddle	鞍，马鞍
safeguard	防范措施
sagacious	聪明的，睿智的
sage	智慧的；智者
saintly	圣徒似的，极为圣洁的
salient	显著的，突出的
saliva	唾液，口水
salmon	大麻哈鱼；鲜肉色
salubrious	有益健康的
salutary	有益的，有益健康的
salutation	招呼，致意，敬礼
salute	行举手礼；向…致敬；行军礼
salvage	抢救，海上救助
salve	药膏；减轻，缓和
sampler	刺绣花样；取样员
sanctify	使神圣
sanctimonious	假装神圣的
sanction	批准，认可
sandal	凉鞋，拖鞋
sane	神志清楚的，明智的
sanguine	乐观的
sanity	神志清楚的，明智的
sap	树液；活力；消弱，耗尽
sapient	有智慧的
sapphire	青石，蓝宝石；天蓝色的
sarcastic	讽刺的
sartorial	裁缝的，缝制的
sash	肩带
sate	使心满意足，使厌腻
satiated	充分满足的；厌倦的，生腻的
satire	讽刺
satirize	讽刺
saturate	浸透；使充满
saturnine	忧郁的，阴沉的
saunter	闲逛，漫步
savage	凶猛的，野蛮的
savant	博学之士，大学士
savvy	有见识和精明能干的
sawdust	锯屑
scabbard	鞘
scad	许多，大量
scaffold	脚手架
scalding	滚烫的
scale	鱼鳞；音阶
scalpel	外科手术刀，解剖刀
scandal	丑闻；恶意诽谤
scant	不足的，缺乏的
scarcity	不足，缺乏
scarf	围巾，披肩
scathing	苛刻的，严厉的
scatter	散开，驱散
scenario	剧本提纲；剧本
schematic	纲要的，图解的
schematize	扼要表示
scheme	阴谋；体系，结构
schism	组织分裂
school	鱼群
scion	嫩芽；子孙
scissor	剪刀
scoff	嘲笑；狼吞虎咽；嘲笑，笑柄
scoop	小铲，勺子；取出，舀出
scope	眼界；范围
scorch	烤焦，烧焦
score	乐谱
scorn	轻蔑；轻蔑，瞧不起
scorpion	蝎子
scotch	镇压，粉碎
scourge	鞭笞；磨难；鞭笞，磨难
scowl	怒容；生气地皱眉，怒视
scrap	小片，碎屑；废弃
scrappy	碎片的；好斗的；坚毅的
scrawl	潦草地写，乱涂
screw	螺丝钉，螺旋；吝啬鬼
screwdriver	螺丝起子；改锥
scribble	乱写，乱涂
script	剧本，脚本
scripture	经文，圣典
scroll	卷轴，纸卷；画卷
scrub	矮树丛；身体矮小的人；用力擦洗
scruple	顾忌，迟疑；顾忌
scrutable	可以理解的
scrutinize	详细检查；细读
scuff	拖着脚走
sculpt	雕刻
scurrilous	下流的
scurry	急跑，疾行
scurvy	卑鄙的，可鄙的
scythe	大镰刀
seam	缝，接缝
seamy	肮脏的，恶劣的
sear	烧灼
seasoned	有经验的，训练有素的
seasoning	调味品，作料
secede	正式脱离或退出
secrete	隐藏；分泌
secretive	守口如瓶的
secular	世俗的，尘世的
secure	安全的；稳固的；固定；使安全
securities	证券
sedate	镇静的
sedative	镇静的；镇静剂
sedentary	久坐的
sediment	沉淀物，渣
sedulity	勤奋，勤勉
sedulous	聚精会神的，勤勉的
seedling	幼苗
seemly	得体的，适宜的
seep	渗漏
seethe	沸腾；汹涌
segment	部分
seine	拉网，大捕鱼网
seismic	地震的
semblance	外貌；相似
seminal	有创意的
seminary	神学院
sensation	知觉；轰动
sensible	明智的；可感觉到的
sensitive	敏感的
sensitivity	敏感，灵敏性
sensitization	敏化
sentient	有知觉的；知悉的
sentiment	多愁善感；思想感情
sentinel	哨兵，卫兵
separate	使分开；不同的；独自的
septic	受感染的，腐败的
sepulchral	坟墓的；阴森的
sequential	连续的，一连串的
sequester	隐退；隔离
seraphic	如天使般的，美丽的
sere	干枯的，枯萎的
