serene	清澈的；晴朗的；安静的
serial	连续的，一系列的
sermon	布道；说教，训诫
serrated	呈锯齿状的
serried	密集的
serviceable	可用的，耐用的
servile	奴性的，百依百顺的
servitude	奴役，劳役
setback	挫折
settle	安置于；决定；栖息
settled	固定的
sever	切断，脱离
severe	严格的；凶猛的
sewer	排水沟，下水道
sextant	六分仪
shackle	脚镣，枷锁
shale	页岩
sham	虚假；伪装
shambles	凌乱景象，杂乱无章
shard	碎片
shattered	粉碎的；破坏的
shavings	刨花
shear	剪，剪发
sheath	鞘，套
sheathe	将插入鞘
shed	流出；脱落
sheer	完全的；陡峭的；极薄的
shell	贝壳；炮弹；剥去…的壳
shelter	掩蔽处，掩蔽；庇护，保护
shelve	搁置
sheriff	警长，县治安官
shield	盾；掩护，遮挡
shiftiness	奸诈
shiftless	没有决断力的；偷懒的；无能的
shingle	木瓦，屋顶板；木质小招牌
shipshape	整洁的，井然有序的
shirk	逃避，规避
shoal	浅滩，浅水处；一群；水浅的
shoddy	劣质的，冒充好货的
shoot	嫩芽，新芽
shoplift	在商店里偷窃货品
shopworn	在商店中陈列旧了的
shoulder	肩；路肩
shove	推挤，猛推
shrewd	判断敏捷的，精明的
shriek	尖叫
shrine	神龛；圣地
shrink	收缩，皱缩
shroud	寿衣；遮蔽物；覆盖
shrub	灌木
shrug	耸肩
shuck	壳，夹；无用之物
shudder	战栗，发抖
shun	避免，闪避
shunt	使转到另一轨道，转移方向
sibilant	发出咝咝声的
sibling	兄弟或姊妹
sibyl	女预言家，女先知
sidereal	恒星的
sideshow	杂耍，穿插表演
sidestep	横跨一步以躲避；回避
siege	包围，围攻
sift	筛，过滤
signal	信号；发信号；显著的
significant	相当数量的；意义重大的
signify	表示；有重要性
sill	门槛；窗台
silt	淤泥，淤沙
silversmith	银匠
simper	痴笑，傻笑
simpleton	笨蛋
simulate	假装，模仿
simultaneous	同时发生的
sincere	诚实的，正直的；真挚的，纯净的
sinecure	挂名差事，闲职
sinew	腱，肌肉；力量
singe	烧焦，烫焦
singularity	独特；奇点
sinuous	蜿蜒的，迂回的
sip	啜饮
siren	汽笛，警报器
skeleton	骨架，骨骼；提纲
sketchy	概略的，粗略的
skew	不直的，歪斜的
skewer	穿肉扦；用扦穿好
skiff	轻舟，小船
skillet	煎锅
skim	从液体表面撇去；浏览，略读
skimp	节省花费
skinflint	吝啬鬼
skirmish	小战，小争吵
skirt	环绕，逃避
skit	幽默讽刺短剧
skyscraper	摩天大楼
slab	厚板，厚块
slack	懒散的，懈怠的；松弛的；松懈，怠惰
slacken	松弛，放松
slag	炉渣，矿渣
slake	解渴，消渴
slander	诽谤，诋毁
slanderous	诽谤的
slant	倾斜；斜面；看法
slate	石板；候选人名单；提名
slaughter	屠杀，屠宰
sleigh	雪橇
slew	旋转；大量
slice	切成片；薄片
slick	熟练的；圆滑的；光滑的
slight	微小的；轻蔑
slippage	滑动，下降
slippery	滑的；狡猾的
slipshod	马虎的，草率的
slither	滑动，扭动前进
sliver	长条；裂成细片
sloppy	邋遢的，不整洁的
slot	狭孔
sloth	懒惰；树懒
slouch	没精打采的样子；没精打采地坐
slough	蜕皮；蜕皮
sluggard	懒鬼
sluice	水门，水闸；冲洗
slumber	睡眠，安睡；安睡
slur	含糊不清地讲
slurp	大声地啜饮
sly	狡猾的，鬼鬼祟祟的
smarmy	虚情假意的
smart	痛苦；时髦的；聪明的
smattering	略知；少数
smear	油渍，污点；弄脏，玷污
smirk	假笑，得意地笑
smooth	光滑的；平稳的；弄平，使光滑；消除
smother	覆盖；闷死
smudge	渍痕；弄脏
smug	自满的，自命不凡的
smuggle	走私，私运
snare	罗网，陷阱
snarl	纠缠，混乱
snatch	强夺，攫取
sneaking	秘密的，不公开的
sneer	嘲笑，鄙视
snide	讽刺的，含沙射影的
snip	剪断
snitch	告密；偷
snobbish	势利眼的；假充绅士的
snowdrift	雪堆
snub	冷落，不理睬
snug	温暖的，舒适的
soak	浸泡，渗透
soar	高飞，翱翔；猛增
sober	清醒的；庄重的
sobriety	节制，庄重
sock	重击，痛打
sod	草地，草坪
sodden	浸透了的
soggy	湿透的
soil	弄脏，污损
solace	安慰，慰藉
solder	焊接，焊合
solemn	严肃的，庄严的；黑色的
solemnity	庄严，肃穆
solicit	恳求；教唆
solicitous	热切的；挂念的
solicitude	关怀，牵挂
solidarity	团结，一致
solidify	巩固，凝固，团结
solitary	孤独的；隐士
solitude	孤独
solo	单独的；独唱
soluble	可溶的；可以解决的
solvent	有偿债能力的；溶剂
somatic	肉体的
somber	忧郁的；阴暗的
sonata	奏鸣曲
sonnet	十四行诗
soot	黑烟灰，油烟
soothe	抚慰；减轻
sop	泡过的食品；安慰剂
sophism	诡辩；诡辩法
sophisticated	老于世故的；精密的
