sophistication	诡辩，强词夺理；久经世故，老练，精明
sophistry	诡辩
soporific	催眠的；安眠药
sopping	浑身湿透的
sorcery	巫术，魔法
sordid	卑鄙的；肮脏的
souvenir	纪念品
sovereign	最高统治者，元首
sovereignty	主权，统治权
sow	母猪；播种
spackle	填泥料
span	跨度；两个界限间的距离
spank	打，拍打
sparing	节俭的
spark	火花，火星
sparring	拳击，争斗
sparse	稀少的，贫乏的
spartan	简朴的；刻苦的
spat	口角，小争论
spate	大批，大量；泛滥
spatial	有关空间的，在空间的
spatula	抹刀
spawn	卵子；大量生产
spear	矛；嫩叶；刺戳
specialize	专门研究
specifics	细小问题，细节
specimen	范例，样品，标本
specious	似是而非的；华而不实的
speck	斑点；少量
spectacular	壮观的，引人入胜的
spectator	观众，观看者
specter	鬼魂，幽灵；恐惧
spectral	幽灵的
spectrum	光谱；范围
speculate	沉思，思索；投机
speculative	投机的；推理的，思索的
spell	连续的一段时间
spendthrift	挥金如土的
spike	长钉，大钉
spin	旋转；纺，纺纱；旋转
spindly	细长的，纤弱的
spineless	没骨气的，懦弱的
spiny	针状的；多刺的，棘手的
spire	尖顶
spiritual	精神的
spite	怨恨，恶意
spleen	怨怒
splendor	壮丽；辉煌
splice	接合，衔接
splint	夹板，托板
split	分裂，裂开
splurge	炫耀，摆阔
spoil	损坏，破坏；溺爱
spoke	辐条
spongy	像海绵的；不坚实的
spontaneity	自然，自发
spontaneous	自发的；自然的
spoof	揶揄，嘲讽
sporadic	不定时发生的
sport	炫耀，卖弄
sprain	扭伤
sprawling	植物蔓生的；无计划地扩展的
sprig	嫩枝，小枝
sprightly	愉快的，活泼的
sprout	长出，萌芽；嫩芽
spruce	云杉；整洁的
spur	刺激，激励；用马刺刺马
spurious	假的；伪造的
squabble	争吵
squalid	污秽的，肮脏的
squall	短暂、突然且猛烈的风暴；短暂的骚动
squalor	不洁，污秽
squander	浪费，挥霍
square	一致，符合
squash	压碎，挤压；南瓜
squat	蹲下；矮胖的
squeeze	压，挤；压榨；紧握
squelch	压制，镇压
squint	斜视
squirrel	松鼠
staccato	断音的，不连贯的
stagnant	停滞的
staid	稳重的，沉着的
stain	玷污；染色
stake	柱状；赌注
stale	不新鲜的，陈腐的
stalemate	和棋局面；僵局
stalk	隐伏跟踪
stall	使停止，使延迟
stalwart	健壮的，坚定的
stammer	口吃，结巴
stamp	跺脚；在…上盖印
stance	站姿；立场
stanch	制止，止住
stanza	节，段
staple	主要产品
starchy	含淀粉的；刻板的
stark	僵硬的；完全的
startle	使吃惊
stasis	停滞
static	静态的；呆板的
stationary	静止的，不动的
statuary	雕像；雕塑艺术
stature	身高，身材
status	身份，地位
statute	法规，法令
statutory	法定的；受法令所约束的
steadfast	忠实的；不变的
stealth	秘密的行动
steep	浸泡，浸透
steer	操舵，驾驶；公牛，食用牛
stellar	星的，星球的
stem	茎，叶柄；阻止，遏制
stench	臭气，恶臭
stencil	模板；用模板刻写
stentorian	极响亮的
stereotype	固定形式，老套
sterile	贫瘠且无植被的；不孕的；无细菌的
sterilize	使不育；杀菌
stern	船尾
stethoscope	听诊器
stickler	坚持细节之人
stiff	僵直的，呆板的；严厉的
stifle	感到窒息；抑止
stigma	耻辱的标志，污点
stigmatize	污蔑，玷污
stilted	不自然的；夸张的
stimulant	兴奋剂，刺激物
stimulus	刺激物，激励
sting	刺痛；叮螫；螫刺
stinginess	小气
stingy	吝啬的，小气的
stint	吝惜，节省
stipple	点画，点描
stipulate	要求以…为条件；约定
stipulation	规定，约定
stir	刺激
stitch	一针，一钩；缝合
stock	普通的，惯用的；存货
stockade	栅栏，围栏
stocky	矮胖的，粗壮的
stodgy	乏味的
stoic	坚忍克己之人
stoke	给…添加燃料
stolid	无动于衷的
stomach	容忍
stonewall	拖延议事，设置障碍
stout	肥胖的；强壮的
stowaway	偷乘者
straightforward	正直的；易懂的；直截了当的
strand	绳线的一股；搁浅
stranded	搁浅的，进退两难的
stratagem	谋略，策略
stratify	层化
stratum	地层；社会阶层
stray	偏离，迷路；迷了路的；零落的
streak	线条，条纹；加线条
stream	小溪；水流；倾注；涌流
stretch	变长；伸展
strew	撒，播散
striate	在…加上条纹
striated	有条纹的
stricture	严厉谴责；束缚
stride	大步行走
strident	尖声的，刺耳的
strife	纷争，冲突
striking	引人注目的，明显的
stringent	严格的，苛刻的；缺钱的
strip	剥去；狭长的一片
strive	奋斗，努力
