stroke	抚摸；击，打；一笔
stroll	漫步，闲逛
strut	趾高气扬地走；支柱
stubborn	固执的；难以改变的
studied	慎重的；认真习得的
stuffy	不新鲜的，闷人的
stultify	使变得荒谬可笑历史无用
stunning	极富魅力的
stunt	阻碍；特技，绝技
stupor	昏迷，不省人事
sturdy	强健的；结实的
stutter	口吃，结巴
stygian	阴暗的，阴森森的
stylus	铁笔
stymie	妨碍，阻挠
subdue	政府；压制；减轻
subdued	柔和的，缓和的
subject	受支配的人
subjective	主观的，想象的
subjugate	征服，镇压
sublime	崇高的
subliminal	潜意识的
submission	从属，服从
submit	屈服；提交，呈递
suborn	收买，贿赂
subpoena	传票；传讯
subsequent	随后的，后来的
subside	下陷；平息
subsidiary	辅助的；次要的
subsidy	补助金
subsistence	生存，生计；存在
substance	大意；根据；实质；物质
substantial	坚固的，结实的；实质的
substantiate	证实，确证
substantive	根本的；独立存在的
substitute	代替品；代替
subsume	包含，包容
subterfuge	诡计，托辞
subterranean	地下的
subtle	微妙的，精巧的
subtract	减去，减掉
subversive	颠覆性的，破坏性的
subvert	颠覆，推翻
succinct	简明的，简洁的
succor	救助，援助
succumb	屈从；因…死亡
suffice	足够，满足
sufficient	足够的
suffocate	窒息而死
suffrage	选举权，投票权
suffragist	参政权扩大论者；妇女政权论者
suffuse	弥漫，染遍
suitcase	手提箱，箱子
sulky	生气的
sullen	忧郁的
sultry	闷热的；风骚的
summarily	概括地；仓促地
summary	摘要，概要；摘要的，简略的
summation	总结，概要；总数，合计
summon	召见；召集
sumptuous	豪华的，奢侈的
sunder	分裂，分离
superb	上乘的，出色的
supercilious	目中无人的
superficial	表面的，肤浅的
superficiality	浅薄
superfluity	多余的量
superfluous	多余的，累赘的
superimpose	加在上面
superintend	监督
superiority	优越
supernova	超新星
supersede	淘汰，取代
supervise	监督，管理
supine	仰卧的；懒散的
supplant	排挤，取代
supple	伸曲自如的
supplement	增补，补充
suppliant	恳求的，哀求的；恳求者
supplicant	乞求者，恳求者
supplicate	恳求，乞求
supremacy	至高无上，霸权
supreme	至高的；极度的
surcharge	对…收取额外费用；附加费
surfeit	过量，过度；使过量
surge	波涛汹涌，波动
surgeon	外科医师；军医，船上的医生
surly	脾气暴躁的；阴沉的
surmise	推测，猜测
surmount	克服，战胜
surpass	超过
surplus	过剩的；盈余的
surrealism	超现实主义
surrender	投降；放弃；归还
surreptitious	鬼鬼祟祟的
surrogate	代替品；代理人
surveyor	测量员
survive	幸存
susceptibility	易感性
susceptible	易受影响的，脆弱的
suspect	怀疑；嫌疑犯；可疑的
suspend	暂缓，中止；吊，悬
suspense	悬念；挂念
suspicion	怀疑，觉察，嫌疑
suspicious	怀疑的
sustain	承受；支撑
sustained	持久的，经久不衰的
sustenance	食物，粮食；生计
suture	锋线；缝合
svelte	体态苗条的
swagger	大摇大摆地走
swallow	吞下，咽下；忍受
swamp	沼泽；使陷入；淹没
sway	摇动，摇摆；影响使改变；摇动
swell	肿胀，增强
sweltering	酷热的
swerve	突然改变方向
swift	迅速的；敏捷的
swill	冲洗；痛饮
swindle	诈骗
swine	猪
swing	摇摆；旋转；秋千
swirl	旋转；漩涡
sybarite	奢侈逸乐的人
sybaritic	放纵的
sycophant	马屁精
syllabus	教学纲要
symbiosis	共生
symmetry	对称；均衡
symphony	交响乐，交响曲
synchronous	同时发生的
syndrome	综合症状
synergic	协同作用的
synopsis	摘要，概要
synoptic	摘要的
synthesis	综合，合成
syringe	注射器
table	搁置，不加考虑
taboo	讳忌的；禁忌
tacit	心照不宣的
taciturn	沉默寡言的
tackiness	胶黏性
tackle	处理；滑车
