tact	机智；圆滑
tactic	手段；战术
tactile	有触觉的
tadpole	蝌蚪
taking	楚楚动人的
talisman	避邪物，护身符
tally	一致，符合
talon	猛禽的锐爪
tambourine	铃鼓，手鼓
tame	驯服的；沉闷的
tamp	捣实，砸实
tamper	损害；篡改
tan	鞣
tangential	切线的；离题的
tangible	可触摸的
tangle	缠结；纷乱
tango	探戈舞
tangy	强烈的，扑鼻的
tantalize	挑逗，使干着急
tantamount	与…相等的
tantrum	发脾气，发怒
taper	细蜡烛；逐渐变细
tapestry	挂毯
tardy	缓慢的，迟缓的
tare	莠草，杂草
tariff	关税
tarnish	失去光泽，晦暗
tarpaulin	防水油布
tart	酸的；尖酸的
tasty	味道好的
tatty	简陋的，不整洁的
taut	绷紧的
tauten	拉紧，绷紧
tawdry	华而不实的，俗丽的
taxing	繁重的
taxonomist	分类学家
tear	撕裂
tease	逗乐，戏弄；强求；揶揄，戏弄，取笑
technocrat	技术管理人员
tedious	冗长的，沉闷的
tedium	单调乏味
teeter	摇摆
telling	有效的，显著的
temerity	鲁莽，大胆
temp	做临时工作
temper	锤炼；缓和；脾气
tempest	暴风雨；骚动
tempestuous	狂暴的
tempo	步调，速度
temporal	时间的；世俗的
temporize	拖延；见风使舵
temptation	诱惑，诱惑物
tenable	站得住脚的，无懈可击的
tenacious	坚韧不拔的
tenacity	坚持，固执
tenant	房客
tend	照料，看顾
tendentious	有偏见的
tender	提出
tenet	信念，信条；教义
tenor	男高音；要点，要旨
tension	紧张，焦虑；张力
tentative	试探性的，尝试性的
tenuous	细薄的；稀薄的，空洞的
tenure	任期；终身职位
tepid	微温的
terminal	末端的
terminate	终止，结束
termination	终点
terminology	术语，术语学
terminus	终点站
termite	白蚁
terrace	一层梯田；阳台
terrain	地势，地形
terrestrial	地球的；陆地的
terse	简洁的，简明的
testament	遗嘱；证明
testator	立遗嘱的人
testify	见证，证实
testimony	证言，证明
testiness	易怒
testy	性急的，暴躁的
tether	用绳或链拴住；绳或链；限度，范围
texture	质地；结构
thatch	以茅草覆盖；茅草屋顶；茅草
thaw	解冻，溶化
thematic	主题的
theocracy	神权政治
theoretical	不切实际的；理论的
therapeutic	治病的
thermal	热的，热量的；温暖的；热气流
theses	论题，论文
thicket	树丛，灌木丛
thorn	刺；荆棘
thread	螺纹
threadbare	磨破的；陈腐的
threat	威胁，恐吓；凶兆
thrive	茁壮成长
throne	宝座
throng	一大群；拥挤
throwback	返祖现象，复旧
thrust	猛力推；刺，戳
thwart	阻挠，使…受挫
tickler	棘手的问题，难题
ticklish	怕痒的；易怒的
tidy	整齐的，整洁的
tiff	吵嘴，怄气
tightfisted	吝啬的
tilt	倾斜；倾斜；斜坡
timber	木材；品质
timbre	音色，音质
timely	适时的，及时的
timid	胆怯的
timidity	胆怯
timorous	胆小的，胆怯的
tinder	火绒，火种的
tined	尖端的
tinker	补锅工人；拙劣修补
tint	色泽；给…淡淡地着色
tirade	长篇的攻击性讲话
tire	轮胎；疲劳
tissue	细胞组织；薄纸，棉纸
titanic	巨人的，力大无比的
titular	有名无实的，名义上的
toady	谄媚者，马屁精
toil	辛苦，辛勤劳作
tolerance	容许量，公差；容忍，忍受
toll	过路费；伤亡人数，损失；敲
tombstone	墓碑，墓石
tongs	夹子，钳子
tonic	增进健康之物，补品；滋补的
tonsorial	理发师的，理发的
topple	倾覆，推倒
torment	折磨，痛苦
tornado	飓风，龙卷风
torpid	懒散的，死气沉沉的
torpor	死气沉沉
torque	转矩；项圈
torrent	洪流，急流
tortuous	弯弯曲曲的
toss	投，掷；使摇动
totalitarian	极权主义的
totem	图腾，徽章
totter	摇摇欲坠；步履蹒跚
touchy	敏感的，易发脾气的
toupee	男用假发
tournament	比赛；骑士比武大会
tourniquet	止血带
tout	招徕顾客；极力赞扬
toxic	有毒的，中毒的
toxin	毒素，毒质
toy	不认真考虑，玩弄
traceable	可追踪的
track	足迹，踪迹；轨道；小道；跟踪
tract	传单；大片土地
tractability	温顺
tractable	易于驾驭的，温顺的
tragedy	悲剧，惨事，灾难
trait	人的显著特性
traitor	卖国贼，叛徒
trajectory	弹道轨道
trample	踩坏，践踏
trance	恍惚，昏睡状态
tranquility	宁静，安静
transaction	办理，交易
transcend	超越，胜过
transcendent	超越的，卓越的，出众的
transcendental	超越经验的
transcribe	抄写，转录
transfer	转移；传递；调任；转让
transfigure	美化，改观
transgress	冒犯，违背
transgression	违法，罪过
transience	短暂
transient	短暂的，转瞬即逝的
transition	过渡时期，转变
transitory	短暂的
translucent	透明的
