transmit	传送，传播
transmute	变化，变作
transparent	透明的；直率的
transplantation	移植
transport	运输的；狂喜
transpose	变换位置，调换
trapeze	空中秋千
traverse	横穿过，横跨
travesty	歪曲模仿，曲解
treacherous	背叛的，叛逆的，奸诈的
treason	叛国罪
treatise	论文
treaty	条约；协议
tremendous	惊人的
tremor	震动，地震
trenchant	一针见血的
trend	趋势，倾向
trepidation	恐惧，惶恐
trespass	侵犯，闯入私人领地
tribunal	法庭，裁判所
tribute	赞辞；贡物
trickle	一滴滴地流
trifle	微不足道，琐事
trigger	扳机；引发，导致
trilogy	三部曲
trim	修剪；井井有条的
trinket	小装饰品；不值钱的珠宝
trio	三重奏，三重唱；三人一组
tripod	画架，三脚架
trite	陈腐的，陈词滥调的
triumph	凯旋，胜利，欢欣
trivial	琐细的
trophy	奖品，战利品
troupe	歌唱团，剧团
trowel	泥刀，小铲子
truancy	逃学，旷课
truce	停战，休战
truculent	残暴的，凶狠的
trudge	跋涉
trumpet	喇叭，小号
truncate	把截短，去尾
trunk	树干；大衣箱
truss	桁架，支架；干草的一捆
trustworthy	值得信赖的，可靠的
tuber	块茎，球根
tumult	乱哄哄
turbulent	导致动乱的；骚乱的
turgid	浮肿的，肿胀的；浮夸的
turmoil	混乱，骚乱
turncoat	背叛者，变节者
turpitude	邪恶，卑鄙
turquoise	绿松石；碧绿的
turret	塔楼，角塔
tusk	长牙
tussle	扭打，搏斗；争辩
tutor	助教；监护人；辅导
tuxedo	礼服，无尾礼服
twig	小枝，嫩枝
twinge	剧痛
typo	排印错误
typographical	印刷上的
tyranny	暴政，专制统治；暴行
tyrant	暴君
tyro	新手
ubiquitous	无所不在的
ugly	难看的，可怕的
ulcer	溃疡；腐烂物
ultimate	最后的
umbrage	不快，愤怒
umpire	裁判；对…进行仲裁
unaffected	自然的，不矫揉造作的
unanimous	全体意见一致的
unassuming	不摆架子的，不造作的
unbecoming	不合身的；不得体的
unbend	弄直；放松
uncanny	神秘的，不可思议的
uncommitted	不受约束的，不承担责任的
unconscionable	无节制的，过度的
unconscious	不省人事的；未意识到的
uncouth	粗野笨拙的
unctuous	油质的；油腔滑调的
underbid	要价过低
undercut	削价与抢生意
underdog	失败者，受压迫者
underestimated	低估的
undergird	加强，巩固…的底部
underhanded	不光明的，卑鄙的
underling	下属，手下
underlying	在下面的；根本的
undermine	破坏，损坏
underplay	淡化…的重要性；表演不充分
underrate	低估，轻视
underscore	在…之下画线；强调
understate	掩饰地说，轻描淡写地说
understated	不完全陈述的，轻描淡写的
understatement	轻描淡写的陈述，不充分的陈述
understudy	预备演员，替角；充当…的替角
underutilized	未充分利用的
underwrite	同意负担…的费用；为…保险
undeserved	不应得的
undesirable	令人不悦的，讨厌的
undirected	未受指导的
unearth	挖出；发现
unearthly	奇异的
unenlightened	愚昧无知的；不文明的
unexceptionable	无可非议的
unfailing	无尽的，无穷的
unfasten	解开
unfeigned	真实的；不作假的
unflappable	不惊慌的，镇定的
unfold	展开，打开；逐渐呈现
unfounded	无事实根据的
ungainly	笨拙的
ungrudging	慷慨的
unguent	药膏，软膏
unicorn	独角兽
unidimensional	一方面的；一维的
unification	统一，一致
uniform	制服；相同的，一致的
unify	统一，使成一体；使相同
unimpassioned	没有激情的
unimpeachable	无可指责的，无可置疑的
uninitiated	外行的，缺乏经验的
unique	独一无二的，独特的；无与伦比的
univocal	意思明确的，单一意思的
unjustified	未被证明为正当的，无法解释的
unjustly	不义地，不法地
unkempt	不整洁的
unleash	发泄，解释
unmitigated	未缓和的，未减轻的；全然的
unmoved	无动于衷的，冷漠的；镇定的
unnoticed	不引人注意的
unobtrusive	不引人注目的
unpalatable	令人讨厌的
unprecedented	前所未有的
unpremeditated	非预谋的
unprepossessing	不吸引人的
unpretentious	不炫耀的
unprincipled	肆无忌惮的；不道德的
unproductive	徒然的，无成效的
unprovoked	无缘无故的
unqualified	无资格的；无限制的，绝对的
unravel	解开，拆散
unregenerate	不知悔改的
unregulated	未受管理的，未受约束的
unremitting	不间断的，持续的
unrepentant	不悔悟的，不后悔的
unrequited	无报答的
unreserved	无限制的；未被预订的
unscathed	未受损伤的，未遭伤害的
unscented	无气味的
unscrupulous	肆无忌惮的
unscrupulousness	狂妄，肆无忌惮
unseemly	不适当的，不宜的
unsettle	使不安宁，搅乱
unsettling	令人不安的，扰乱的；使窘困的
unsound	不结实的，不坚固的；无根据的
unspoiled	未损坏的；未宠坏的
unspotted	清白的，无污点的
unstinting	极为慷慨的，大方的
unsubstantiated	未经证实的，无事实根据的
untapped	未开发的，未利用的
unthreatening	不威胁的
untimely	过早的；不适时的
untold	无数的，数不清的
untoward	不幸的；没料到的
untutored	未经教育的
unwarranted	没有根据的
unwieldy	笨重的，笨拙的
