unwitting	无心的，不经意的
unwonted	不寻常的，不习惯的
unworldly	非世俗的；精神上的
upbraid	斥责，责骂
upgrade	提升，给…升级
upheaval	动乱，大变动
uphold	维护，支持
upright	垂直的；正直的
uproar	喧闹，骚动
uproarious	骚动的，喧嚣的；令人捧腹的
upstage	骄傲的，高傲的
upswing	上升，增长
urgent	迫切的，紧急的
usurp	篡夺，霸占
usury	高利贷
utilitarian	功利的，实利的
utilize	利用，使用
utopia	理想国，理想的完美境界
utopian	乌托邦式的，梦想的
utter	完全的
vaccinate	给……接种疫苗
vaccine	牛痘苗，疫苗
vacillate	游移不定，踌躇
vacuous	发呆的；愚笨的
vagary	奇想，异想天开
vagrancy	游荡，流浪
vagrant	飘泊的；流浪汉，无赖
vague	模糊的
vain	自负的；徒劳的
valediction	告别演说
valedictory	告别的，离别的
valiant	勇敢的，英勇的
validate	使…生效
valorous	勇敢的
valve	活门，阀门
vandalism	恶意破环
vandalize	肆意破坏
vanilla	香草，香子兰
vanity	虚荣，自负
vanquish	征服
vantage	优势，有利地位
vapid	索然无味的
vaporization	蒸发
vaporize	蒸发
vaporous	无实质的
variance	矛盾的；不同
variegate	使…多样化
variegation	杂色，斑驳
varnish	清漆；涂上清漆
vascular	血管的，脉管的
vault	拱顶；地窖
veer	转向，改变
vehicle	交通工具；传播媒介
veil	面纱；遮蔽物，掩蔽物；以面纱掩盖
velocity	速度
venal	惟利是图的，贪赃枉法的
vendetta	世仇，宿怨
vendor	小贩
veneer	镶面板；外表
venerate	崇敬，敬仰
vengeance	报仇，报复
vengeful	报复的，复仇心理的
venial	轻微的，可原谅的
venom	毒液；恶毒，痛恨
vent	发泄；开孔；孔，口
ventilate	使…通风，透风
ventriloquist	口技表演者，会口技的人
veracious	诚实的，说真话的
veracity	真实性；诚实
verbal	口头的
verbiage	啰嗦，冗长
verbose	冗长的，啰嗦的
verdant	青葱的，翠绿的
verdict	判决，决定
verdigris	铜锈，铜绿
verified	检验的，核实的
verify	证明，证实
verisimilar	好像真实的；可能的
veritable	确实的 ，名副其实的
vernacular	本国语，地方语
versatile	多才多艺的；多用途的
verse	诗歌
vertex	顶角；顶点
vertical	垂直的
vertigo	眩晕
verve	神韵；生机
vessel	血管；容器；船只
vestige	痕迹，遗迹
vestigial	退化的
vestment	法衣，官服
veteran	老兵，老手；经验丰富的
veterinary	兽医的
veto	否决；禁止
vex	恼火
vexation	困扰；苦恼
viability	生存能力，存活力
viable	可行的；能活下去的
viaduct	高架桥
vibrancy	生机勃勃，活泼
vibrant	振动的；明快的
vibrate	颤动，振动
vicar	教区牧师
vicarious	替代的，代理的
vicinity	附近；接近
vicious	残酷的，凶猛的
vicissitudinous	有变化的，变迁的
victimize	使受害，迫害
vie	竞争
vigilant	机警的，警惕的
vigorous	精力旺盛的，健壮的
vile	恶劣的，卑鄙的
vilify	辱骂，诽谤
vindicate	为…平凡
vindictive	报复性的
vintner	酒商
violate	违反，触犯
violet	紫罗兰的；紫罗兰
viral	病毒性的
virtual	实质上的，实际上的
virtuosity	精湛技巧，高超
virtuoso	演艺精湛的人
virtuous	有美德的；自命清高的
virulent	剧毒的；恶毒的
virus	病毒
viscid	黏性的
viscous	黏的
visionary	有远见的；幻想的；空想家
vista	远景；展望
vital	极其重要的；充满活力的
vitalize	激发活力
vitiate	削弱，损害
vitrify	使成玻璃
vitriolic	刻薄的
vituperate	痛斥，辱骂
vituperative	辱骂的
vivacious	活泼的，快活的
vivid	清晰的，鲜艳的；大胆的；活泼的；逼真的
vocalist	流行歌手，声乐家
vocation	擅长；工作，职业
vogue	时髦，时尚
void	空的，缺乏的；空隙，空处；空虚感
volatile	反复无常的；挥发性的
volition	决断力，意志
volley	齐发，群射；齐发，群射；截击
voluble	健谈的；易旋转的
voluminous	长篇的；多产的
voluptuous	撩人的；沉溺于酒色的
voracious	狼吞虎咽的，贪婪的
voracity	贪婪
votary	崇拜者，热心支持者
vouch	担保，证明
vulgar	无教养的
vulnerable	易受攻击的
vulture	秃鹰
vying	竞争的
waddle	摇摇摆摆地走
waffle	蛋奶烘饼；胡扯，唠叨
waft	飘浮，飘荡
wag	摆动；诙谐幽默者
wage	开始，进行
waggish	诙谐的，滑稽的
walrus	海象
wan	虚弱的；病态的
wanderlust	漫游癖，旅游热
wane	减少，衰微
want	缺乏，需要
wardrobe	衣橱；全部衣服
warehouse	仓库，货栈
warmonger	好战者，战争贩子
