warp	翘起，弯曲
warrant	正当理由；许可证
warranted	保证的；凭正当理由的
warranty	保证；辩解；有正当理由；批准
wary	谨慎的，小心翼翼的
waste	使身体消瘦，损耗
wastrel	挥霍无度的人
watershed	分水岭，转折点
waver	摇摆，犹豫
wax	蜡；给…打蜡；盈，增大
wean	断奶；戒掉
wearisome	使人感到疲倦或厌倦的
weary	疲劳的，令人厌倦的；厌烦
weasel	黄鼠狼，鼬；逃避
weather	经受住，平安渡过危难
weed	杂草，野草；除草
weld	焊接，熔接；结合
well-groomed	非常整洁的
welter	混乱，杂乱无章
wheedle	哄骗
whet	磨快；刺激
whiff	轻吹；轻风
whim	多变，怪念头
whimsical	古怪的，异想天开的
whimsy	古怪，异想天开
whine	哀号，号哭
whirlpool	漩涡
whisper	耳语，低声说话
whistle	口哨，口哨声；汽笛声；吹口哨
whittle	削；削减
wholesome	促进健康的
wick	蜡烛芯；灯芯
wicked	极坏的；淘气的
wield	支配，掌权
willful	任性的；故意的
willow	柳树
willowy	苗条的
wilt	使…凋谢，枯萎
wily	狡猾的
wince	避开，畏缩
windbag	饶舌之人
winding	蜿蜒的，迂回的
windy	有风的；长篇累牍的
wink	使眼色
winnow	把的杂质吹掉，扬去
winsome	媚人的，漂亮的
wistful	惆怅的；渴望的
wit	智力；机智
withdraw	撤退，收回；隐居
wither	枯萎，凋零
withhold	扣留，保留
withstand	顶住；经受住
witness	目击者；目击
witticism	妙语，俏皮话
wizened	干皱的，干巴巴的
wobble	动摇；犹豫
woe	悲痛，苦难
woo	向求爱；争取…的支持
worship	崇拜，敬仰
wrangler	口角者，争论者
wrench	扭，拧；扳钳，扳手
wretched	可怜的
wrinkle	皱纹；窍门
wrist	腕，腕关节
writ	命令状，书面命令
wrought	做成的，精炼的
wry	扭曲的；冷嘲性幽默的
xenophobe	惧外者
xerophyte	旱生植物
yacht	帆船，游艇
yarn	纱线
yawn	打呵欠
yearn	盼望，渴望
yeast	酵母；兴奋
yielding	弯曲自如的；柔顺的
yoke	牛轭；把…套上轭
yokel	乡巴佬
zealotry	狂热行为
zenith	天顶；极点
zephyr	和风；西风
zest	刺激性；热心，兴奋
zigzag	之字形；弯弯曲曲地行进
zone	分成区
