abase	降低自己，贬抑，使卑下
abduct	绑架，拐走
abnegation	放弃；自我牺牲
aboriginal	原始居民，土著
abortive	无结果的，失败的
abound	充满；富于
abrupt	突然的，意外的；唐突的
abstinent	饮食有毒的，有节制的，禁欲的
acarpous	不结果实的
acerbity	涩，酸，刻薄
achromatic	非色彩的，无色的
acronym	首字母缩略表
actuarial	精算的，保险计算的
actuate	驱使，激励
addle	使腐坏；使混乱
adduce	给予；举出
adjudicate	充当裁判；判决
adlib	临时讲话，即兴表演
advert	注意，留意
aeronautics	航空学
aftermath	事件的后果，余波
agape	大张着的
aghast	惊骇的，吓呆的
ailment	疾病
albino	白化病者，白化变种
alliterate	押头韵
almond	杏树，杏仁
alms	施舍物，救济品
ambience	环境，气氛
ambrosial	芳香的，特别美味的
ambulatory	步行的
amethyst	紫水晶
amiss	有毛病地，出差错地
amoral	与道德无关的
amputate	截肢
anemic	贫血的，患贫血病的
anodyne	止痛药
antedate	写上较早日期；早于
anthropoid	像人类的；类人猿
aperture	孔隙，窄的缺口
apothegm	格言，警句
apotheosis	神话；典范
appendage	附加物
aquiline	鹰的，似鹰的
arachnid	蜘蛛类节肢动物
archer	弓箭手，射手
arraign	传讯；指责
artillery	大炮；炮兵
asinine	愚笨的
askance	侧目而视，瞟
askew	歪斜的
asphyxia	窒息
astigmatic	散光的，乱视的
atheism	无神论，不信神
atone	赎罪，补偿
attire	穿着；装饰；好衣服
attrition	摩擦，磨损
auger	螺丝钻，钻孔机
augmentation	增加
aureole	日冕，光轮
auricular	耳的
automation	自动装置
avowal	声明
avuncular	伯父的
azure	天蓝色；蔚蓝的
bacchanal	狂欢会
backslide	故态复萌
backwater	死水；闭塞地区
baffle	使困惑，难倒
balky	停止不前的；倔强的
bamboozle	欺骗，隐瞒
bandy	来回抛球；轻率谈论
baron	贵族；巨头
barrister	讼务；律师
bassoon	低音管，巴松管
bather	入浴者，浴疗者
bauble	花哨的小玩意儿；没价值的东西
bawl	大叫，大喊
beatific	祝福的，快乐的
beckon	召唤某人，示意
bedizen	把…装饰得艳丽而俗气
bedraggled	弄湿的；凌乱不堪的
beet	甜菜
befuddle	使迷惑，使为难；使酒醉昏迷
beget	产生，引起
beguile	欺骗，诱骗
behold	目睹，看见
beholden	感激某人的；欠人情的
belch	打嗝；喷出
belongings	所有物，财产
bemused	茫然的，困惑的
bereave	丧亲，夺去
berserk	狂怒的，疯狂的
betoken	预示，表示
bibulous	高度吸收的；嗜酒的
biennial	两年一次的
bilious	胆汁质的；坏脾气的
billow	巨浪；翻腾
blackball	投反对票以阻止
blackmail	敲诈，勒索
blare	高声鸣叫
blase	厌倦享乐的，冷漠的
bleachers	露天座位
bloated	肿胀的；傲慢的
blossom	花；开花
bludgeon	大头棒
bluff	虚张声势
bode	预示
boding	凶兆，前兆，预感；凶兆的
bohemian	放荡不羁的
bombardment	炮炸，炮轰
bonhomie	好性情，温和，和蔼
boo	作嘘声，嘘，用嘘声表示不满、蔑视或反对
botch	弄坏某事
bottleneck	瓶颈口，交通易阻塞的狭口
bough	粗大的树枝或树干
bounteous	慷慨的；丰富的
bovine	牛的；迟钝的
bowdlerize	删除，删改
bower	凉亭，树荫下凉快之处
brackish	略咸的；不好吃的
brattish	讨厌的，宠坏的，不礼貌的
brawny	强壮的
bray	大声而刺耳地发出
breezeway	有屋顶的通路
brim	边，缘；盈满
brindled	有棕色斑纹的
brocade	织锦
broil	烧烤
brooch	胸针
browse	吃嫩叶或草；嫩叶；嫩芽
