bubble	起泡；气泡，水泡
buckle	皮带扣环；扣紧
buffer	缓冲，为…充当缓冲器
bugaboo	吓人的东西；妖怪
buggy	轻型马车；婴儿车
bullion	金条，银条
bumble	说话含糊；拙劣地做
bump	碰撞；碰撞声
burrow	挖掘，钻进，翻寻
buxom	体态丰满的
cachet	赞同的标志，优越的标志；印章；胶囊
cactus	仙人掌
cadaver	尸体
cadence	抑扬顿挫；节奏，韵律
calibre	口径；品德，才能
callus	老茧，胼胝
canard	谣言，假新闻
canker	溃疡病；祸害
cantata	清唱剧，大合唱
capacious	容量大的，宽敞的
caper	雀跃，欢蹦
capitalize	资本化，获利，利用
capitation	人头税
capsize	使船翻；倾覆
carat	克拉；开
careen	倾斜；使倾斜
carnage	大屠杀，残杀
carpentry	木工工作
cascade	小瀑布
cautionary	劝人谨慎的，警戒的
cavalcade	骑兵队伍
celerity	快速，迅速
celibate	独身者
cemetery	坟墓，公墓
centrifugal	离心的
centripetal	向心的
cephalic	头的，头部的
chasten	改正；磨练
checkered	盛衰无常的
chic	漂亮的，时髦的
chirp	唧唧叫
chore	家务琐事；讨厌的工作
chortle	开心地笑
chunk	短厚块状物；大量
ciliate	有纤毛的；有睫毛的
cineaste	影迷，热衷于电影的人
circumlocutory	委婉曲折的，迂回的
citation	引证，引用文，传票
clairvoyant	透视的，有洞察力的
clench	握紧；咬紧
cliché	陈腐的
closed-minded	倔强的，顽固的
closure	关闭；终止
cloy	生腻，吃腻
coffer	保险柜
cognate	同词源的；同类的
cognomen	姓，名字
colloquy	交谈，会谈
colt	小熊驹；新手
comestible	食物，食品；可吃的
commiserate	同情，怜悯
complexion	肤色；外表特征
complicity	合谋，串通
comport	举止
compulsory	强制性的，命令性的
concentric	有同一中心的
concoct	调制；捏造
condign	罪有应得的；适宜的
condiment	调味品，作料
condole	向…吊慰
condor	秃鹰；神鹰
confidant	心腹朋友，知己，密友
congenital	先天的，天生的
conjugal	婚姻的，夫妻之间的
connubial	婚姻的，夫妻的
consecrate	用作祭祀，献给；使神圣
consonance	一致，调和；和音
consort	结交，配对；配偶
conspectus	概要，大纲
constringe	使收缩，使收敛，压缩
contumacy	抗命，不服从
contumely	无礼，傲慢
convene	集合
convoy	护航，护送
cordial	热诚的；兴奋剂
cornet	短号；圆锥形蛋卷
corny	平淡无奇的；乡巴佬的
corporal	肉体的，身体的
corpulent	肥胖的
corpus	全集，全部资料
coruscate	闪亮
cosy(cozy)	温暖而舒适的
counterpoise	平均，平衡
coven	女巫的集会
crafty	狡诈的；熟练的
crag	悬崖，峭壁
credo	信条
crepuscular	朦胧的，微明的
crevice	缺口，裂缝
crinkle	变皱；皱纹
cripple	跛子；残废
croon	低声歌唱
crotchety	脾气坏的
crypt	地下室，地窖
cuddle	搂抱，拥抱
cuff	袖口
culprit	犯罪者
cumber	拖累，妨碍
curd	凝乳
curfew	宵禁
currish	下贱的；杂种的
cursive	草书的
curvaceous	婀娜多姿的；曲线的
cygnet	小天鹅
cynosure	注意的焦点
dalliance	虚度光阴；调情
damn	严厉地批评，谴责；该死的
damper	起抑制作用的因素；节气阀，断音装置
dangle	摇摆，悬荡；悬而未定，使不定地悬着或一直没有解决
dank	阴湿的，阴冷的
dastard	懦夫，胆小的人
daub	涂抹；乱画
daubster	拙劣的画家
daze	使茫然，使眩晕
debar	阻止
debility	衰弱，虚弱
debonair	迷人的；友好的
decamp	离营；匆忙而秘密地离开
decant	轻轻倒出
decentralize	分散，权力下放
