explicable	可解释的
expropriate	充公；没收
expulsion	驱逐，开除
extradite	引渡回国，拿获归案
extrinsic	外来的，外在的，外部的
extrude	挤出，逐出；突出
exultant	非常高兴的，欢跃的
fabulous	难以置信的；寓言里的
facsimile	复制本，摹本
factitious	人为的，不真实的
fag	若干；苦工
fail-safe	自动防故障装置
fainthearted	懦弱的，无精神的；胆小的
fake	伪造；佯装
falsify	篡改；说谎
fanfare	夸耀性游行；嘹亮的喇叭声
fantasia	幻想曲；组合乐曲
farrow	生产；一窝小猪
fascia	饰带；招牌
fascinate	迷惑，迷住
fealty	效忠
febrile	发烧的，热病的
feisty	活跃的；易怒的
felicitate	祝贺，庆祝
feline	猫科的
fencing	剑术，击剑法
ferocious	凶猛的，残暴的
ferry	渡船，渡口；运送
festal	节日的；欢乐的
fetish	神物，偶像
fiend	恶魔；魔鬼
filament	灯丝；细丝
filch	偷
filial	子女的
fillet	束发带；鱼肉片
finable	应罚款的
finery	华丽、优雅的服装或装饰
firebrand	燃烧的木块；引起动乱的人
fishery	渔场；渔业
fissile	易分裂的
fitful	一阵阵的；不安的
flabby	松软的；意志薄弱的
flagellate	鞭打，鞭笞
flair	天赋，本领，才华
flannel	法兰绒
flatulence	肠胃气胀
flavoring	香料，调味品
flay	剥皮；诈取；严厉指责
fleck	斑点；微粒
fleece	生羊皮，羊毛；骗取
fleet	快速的；消磨，疾驰；飞逝，掠过
flick	轻打，轻弹
flicker	闪烁，摇曳
floppy	松软的；衰弱的
florescence	繁花时期
flunk	考试不及格
fodder	草料
fondle	抚弄，抚摸
foothold	立足点，根据地
footle	胡闹；浪费
fop	花花公子
foray	突袭，偷袭
forebear	祖宗，祖先
foreclose	排除；取消抵押品的赎回权
forensic	法庭的，辩论的
foreword	前言，序
forfeiture	丧失
forlorn	孤独的；凄凉的
formative	形成的，影响发展的
forswear	誓绝，放弃
fort	要塞，城堡
fractional	微小的，极小的
fraternal	兄弟的；友善的
fraternity	同类人；友爱
fray	吵架，打斗；磨破
freak	怪物，奇事；反常的
fretwork	格子细工
frisk	欢跃；娱乐
fritter	愚蠢地浪费
frolic	嬉戏；雀跃
frolicsome	快活的，欢乐的
frowzy	不整洁的，污秽的
fructify	结果实；成功
funereal	适于葬礼的；忧郁的
furbish	磨光，刷新
fury	狂怒，狂暴，激烈；狂怒的人；复仇女神
fustian	空洞的话，无意义的高调
gab	饶舌，爱说话；空谈，瞎扯；闲逛，游荡
gabble	急促而不清楚地说
gaiety	欢乐，快活
gale	狂风；一阵
gallop	飞奔；疾驰
gallows	绞刑架，绞台
gamut	全音阶；全部知识
gander	雄鹅；笨人；闲逛
gangling	瘦长难看的
gangly	身材瘦长的
gangrene	坏疽
garland	花环，奖品
garret	阁楼，顶楼小室
gastric	胃的，胃部的
gastritis	胃炎
gastronomy	美食法
gauche	笨拙的，不会社交的
gaunt	憔悴的，瘦削的
genuflect	屈膝半跪；屈从
gestate	怀孕，孕育
gesticulate	做手势表达
ghastly	可怕的，惊人的，惨白的
girdle	腰带；转绕物；环绕
glamorous	迷人的，富有魅力的
gleam	亮光，闪光；使闪光
glee	欢喜，高兴
glimpse	瞥见，看一眼
glitter	闪烁，闪耀；灿烂的光华；诱惑力，魅力
gloaming	黄昏，薄暮
glorify	吹捧，美化
gloss-over	潦草地或敷衍地处理某事
gnat	对小事斤斤计较，琐事
gnawing	痛苦的，折磨人的
gnome	地下宝藏的守护神，地精；格言
gnomic	格言的，精辟的
goggle	护目镜；睁眼看
gorgeous	美丽的；极好的
gormandize	拼命吃，贪吃
gosling	小鹅；年轻无知的人
governance	统治，支配
granary	谷仓，粮仓
granule	小粒，微粒
gratis	不付款的，免费的
greenhorn	初学者；容易受骗的人
gridiron	烤架；橄榄球场
grotesque	怪诞的，古怪的
growl	咆哮，吼叫
grudge	吝啬；不满
gruesome	令人毛骨悚然的，恶心的
gruff	粗野的
grumpy	脾气暴躁的
gulch	深谷，峡谷
gull	海鸥；易上当的人；欺骗
gusto	爱好；兴致勃勃
gutless	没有勇气的，怯懦的
guttle	狼吞虎咽
gynaecocracy	妇女当政
habitable	可居住的
haft	柄，把柄
haggard	憔悴的，消瘦的
haggle	讨价还价
hamstring	切断腿筋使成跛腿，使残废
hardbitten	不屈的，顽强的
hardihood	大胆，莽撞
hassle	激烈的辩论
hatchet	短柄小斧
hawker	沿街叫卖之小贩
hawser	粗绳，大钢索
hearsay	谣传，道听途说
heave	用力举
hedgehog	刺猬
