hedonic	享乐的；享乐主义学说
hedonism	享乐主义；享乐
heliotrope	向阳植物
helm	舵，驾驶盘
helot	奴隶；受人轻视之人
helve	斧柄
henpecked	顺从妻子的，惧内的
hepatitis	肝炎
herald	传令官；预示；先驱
herdsman	牧人
heyday	全盛时期，青春期
hilt	柄
hinterland	内地；穷乡僻壤
hippopotamus	河马
hoarse	嘶哑的，粗哑的
hobble	蹒跚；跛行
holocaust	大屠杀，浩劫
holograph	亲笔信
homely	朴素的；不漂亮的
homily	说教，训诫
homograph	同形异义字
horology	测时法，钟表制造术
horrendous	可怕的，令人恐惧的
howler	嚎叫的人或动物；滑稽可笑的错误
hubbub	嘈杂，喧哗
huddle	挤成一堆；一对人
hunk	大块
hut	简陋的房子，棚
hygiene	卫生学；卫生
hypodermic	皮下注射的
icing	糖衣，糖霜
idol	神像；偶像
idolatrize	奉为偶像，盲目崇拜
idolize	将…当作偶像崇拜；极度喜爱或仰慕
illegible	难读的，难认的
illiberal	气量狭窄的
illustrious	著名的，显赫的
imbecile	心智能力极低的人
immortal	不朽的，流芳百世的
impend	进行威胁；即将发生
imperil	使陷于危险中，危及
imprecation	祈求，诅咒
imputation	归咎，归罪
impute	归咎于
incertitude	疑惑，不确定
incisor	门牙
incongruent	不协调的，不和谐的，不合适的
incorporeal	无实体的，非物质的 ，灵魂的
incrustation	硬壳，外层
indite	写，赋
inebriate	使…醉；酒鬼，酒徒
ineffaceable	抹不掉的
ineligible	没有资格的
inexpedient	不适当的，不明智的
inexpiable	不能补偿的
infatuate	使迷恋；使糊涂
infatuated	迷恋的
infernal	地域的；可恶的
infliction	痛苦，刑法
informer	告发者，告密者
ingress	进入
insane	疯狂的
insanity	疯狂；愚昧
inscription	铭刻；题字
insolate	使暴晒
insouciance	漠不关心，漫不经心
installment	分期付款；安装
insuperable	难以克服的
interdisciplinary	跨学科的
interlace	编织；交错
interlocutor	对话者，谈话者
interlope	干涉他人之事
interloper	闯入者
interstice	细裂缝，空隙
interweave	交织，编结
intestate	未留遗嘱的
intestine	肠；内部的
intumescence	肿大，肿胀
investiture	任职仪式，授权仪式
invigilate	监考
invoice	发票，发货清单；给开发票
iridescence	彩虹色
irradiate	使明亮，生辉
iterate	重做，反复重申
jamboree	快乐、喧闹的集会
jape(at)	开玩笑或讽刺
jesting	滑稽的；爱开玩笑的
jitters	紧张不安
jolly	欢乐的，快乐的
jubilant	喜悦的，欢呼的
juncture	危机关头；结合处
jurisprudence	法律学，法学
kaleidoscopic	千变万化的
kiosk	售货亭；电话亭
knoll	小山，小圆丘
laceration	撕裂；裂口
lackey	卑躬屈膝者，走卒
laggard	缓慢的；落后的；落后者
lamentable	令人惋惜的，悔恨的
laminate	切成薄板
lapidary	宝石工，宝石专家
latch	门闩；用门闩闩牢
layman	普通信徒；门外汉
layover	旅途中的短暂停留
lean	倾斜；斜靠；瘦骨嶙峋的
leash	绳子
leeward	顺风的
leeway	余地
legible	易读的
lesion	伤口，损害
lexical	词汇的；词典的
lexicon	词典
libelous	诽谤的
libido	性欲；生命力
licit	不禁止的，合法的
ligature	绑缚之物
limbo	不稳定，中间状态
lineal	直系的，嫡系的
lineaments	特征；轮廓
lingual	舌的；语言的
littoral	海岸的；海滨，沿海地区
livid	青灰色的；苍白的；狂怒的
loam	沃土
locust	蝗虫；贪吃的人
locution	语言风格；惯用语
loft	阁楼，顶楼
logjam	浮木阻塞；阻塞状态；僵局
loiter	游荡；徘徊
lore	知识；传说
lout	粗人
lowbred	粗野的，鲁莽的
lubricious	光滑的；好色的
lucre	钱，利益
lucubrate	刻苦攻读，埋头苦干
lure	诱惑力；引诱
luscious	美味的；肉感的
lusty	精力充沛的
lynch	私刑处死
mackintosh	雨衣；防水胶布
maculate	有斑点的
maestro	艺术大师；音乐大师
magniloquent	夸张的
maim	使残废
makeshift	代用品；权宜之计
malediction	诅咒
malefactor	罪犯，作恶者
maleficent	有害的，犯罪的
malice	恶意，怨恨
malignant	恶毒的，充满恨意的
mallet	木槌，大头锤
malodor	恶臭
manacle	手铐
maneuver	调遣；策略，操纵
mangy	患疥癣的；污秽的
maraud	抢劫，掠夺
