mariner	水手，海员
marrow	骨髓；精华
matador	斗牛士
matriarchy	母奴制，妇女统治
matriculate	录取
maxim	格言，普遍真理
mayhem	严重伤害罪
medicate	用药医治，加入药物
megalomania	自大狂
memento	纪念品
menial	仆人的，卑微的；家仆
mermaid	美人鱼
mesmerism	催眠术，催眠状态
mesmerize	对…催眠；迷住
metallurgy	冶金
miasma	瘴气；不健康的环境或影响
midget	侏儒
mien	风采，态度
militant	好战的，好暴力的
millennium	一千年；太平盛世
miraculous	奇迹的，不可思议的
miscellany	混合物
missive	信件；公函
mistimed	不合时机的
mistral	寒冷干燥的强风
molest	骚扰，干扰
monastery	男修道院，僧院
monograph	专题论文
monopolize	垄断，独占
monotone	单调的
monstrous	巨大的；可怕的
moody	喜怒无常的，脾气坏的
moor	旷野地，荒野；使停泊
mope	抑郁不乐，生闷气；忧郁的人；情绪低落
morass	沼泽地；困境；陷入困境
moron	极蠢之人，低能儿
motile	能动的，有自动力的
mottle	使成杂色
mountebank	江湖郎中，骗子
muddle	混乱，迷惑
muddy	多泥的；浑浊的，不纯的
muggy	闷热而潮湿的
mulct	罚金；处以罚金；诈取，诈骗
multifarious	多种的，各式各样的
multitude	多数；大众，平民
muniments	契据，房契
musty	发霉的，有霉臭的
mutilate	残害；切断
mutinous	叛变的；反抗的
mutton	羊肉
muzzy	头脑糊涂的
naivety	天真，纯朴，幼稚
nasal	鼻的；有鼻音的
natation	游泳，游泳术
naysayer	怀疑者，否定者
necessitous	贫困的；急需的
necropolis	大墓地，公墓
nectar	琼浆玉液；花蜜
nemesis	报应，天罚
neonate	初生儿
nephritis	肾炎
nestle	舒适地安顿；依偎
nestling	尚未离巢的小鸟
nethermost	最低的，最下方的
niggard	吝啬鬼
niggling	琐碎的
nihilism	虚无主义；民粹主义
nimble	敏捷的，灵活的
nippers	钳子，镊子
nipping	尖酸的；刺骨的
nonesuch	无匹敌的人
nonpareil	无匹敌的
noose	绳套，绞索
notability	著名，显著
nude	赤裸的；裸体者
numerology	数字命理学
numinous	庄严的，神圣的
numismatic	钱币学的
nuptial	婚姻的，婚礼的
nymph	年轻女神；少女
oar	桨；划
oatmeal	燕麦片
obelisk	方尖碑
oblation	宗教的供品，祭品
observance	遵守，奉行
obtrude	突出；强加
occidental	西方
ocular	眼睛的；视觉的
oddment	残余物，零头
odoriferous	有气味的
olfactory	嗅觉的
oligarch	寡头政治执政者
omnivorous	杂食的；兴趣杂的
onslaught	猛攻，猛袭
onus	义务，负担
ooze	慢慢地流，渗出；逐渐消失
opiate	安眠药，鸦片制剂
optimization	最优化
opus	巨著；音乐作品
oracular	神谕的；意义模糊的
orifice	小开口，小孔
orotund	洪亮的；夸张的
otiose	不必要的，多余的
outfox	以机智胜过
oversight	疏忽，失察，勘漏
overweening	自负的，过于自信的
palaver	空谈；奉承
paling	篱笆，木栅栏
pamper	纵容，过分关怀
pane	窗格玻璃
panoramic	全景的，全貌的，概论的
pantechnicon	家具仓库，家具搬运车
pantheon	万神殿
paralyze	使瘫痪；使无效
parley	和谈；会谈；和谈，会谈
parlous	靠不住的，危险的
parochial	教区的；地方性的，狭小的
parturition	生产，分娩
pastor	牧师；牧人
pathetic	引起怜悯的；令人难过的
pathos	感伤，哀婉，悲怆
pawn	典当，抵押；被利用的小人物
peaky	消瘦的，虚弱的
peculate	挪用
pecuniary	金钱的
peddle	兜售
peek	偷看
peep	瞥见，偷看；初现
peery	窥视的；好奇的；怀疑的
pelt	扔；毛皮
pendent	吊着的，悬挂的
penetration	穿透；洞察力
pension	养老金，退休金
pensive	沉思的；愁眉苦脸的
penumbra	半明半暗之处；边缘部分
peptic	产生胃酶的，助消化的
percolate	过滤出；渗透
percussion	敲击乐器
perigee	近地点
periphrastic	迂回的，冗赘的
perishable	易腐败的；易腐败的东西
persnickety	势利的；挑剔的
personage	名人；角色
perverse	不合适的，刚愎自用的，故意作对的
pervert	使堕落；误用；歪曲
