pesky	讨厌的，烦人的
pettish	易怒的，使性子的
pharisaic	伪善，伪装虔诚的
phial	小瓶
philology	语文学，文学语言学
phobia	恐惧症
phony	假的，伪造的
piazza	阳台；广场
piebald	花斑的，斑驳的
piecemeal	一件一件的，零碎的
pier	桥墩；码头
pilfer	偷窃
pillage	抢劫，掠夺
pincers	钳子，镊子
piscatorial	捕鱼的，渔民的
pitiless	无情的，冷酷的，无怜悯心的
pivot	枢轴，中心；旋转
plank	厚木板；要点
plaza	广场；集市
plebeian	平民；平民的
plenary	全权的；全体出席的
plentitude	充分
pleonastic	啰嗦的
pliers	钳子
plump	颇胖的，丰满的
poach	偷猎，窃取
poltroon	懦夫
polyandry	一妻多夫制
polyglot	通宵多种语言的
polymath	知识广博者
pony	小型马
porcine	猪的，似猪的
porridge	麦片粥
portable	轻便的，手提式的
portend	预兆，预示
positiveness	肯定，确信
posterior	较后的
postscript	附言，后记
potboiler	粗制滥造的文艺作品
prance	昂首阔步
prefigure	预示；预想
prehensile	能抓东西的，能缠绕东西的
preponderant	以重胜的，优势的，压倒性的
prepossessing	给人好感的
presentiment	预感，预觉
presumable	可能的，可假定的
pretence	虚伪；借口
prevision	先见，预感
prick	小刺；刺痛；刺伤；戳穿
prickle	刺，棘；刺痛
prig	自命不凡者，道学先生
prissy	谨小慎微的，神经质的，为小事挂虑的
procreate	生育
procrustean	强求一致的
progenitor	祖先，始祖
prognosticate	预测，预示
proofread	校对
prorogue	休会；延期
protrude	突出，伸出
proverbially	无人不知地
psalm	赞美诗，圣诗
puberty	青春期
puffery	极力称赞，夸大的广告，吹捧
pullulate	繁殖；剧增
pulpit	讲坛
pulsate	有规律地振动
pulsation	脉动，跳动，有节奏的鼓动
pummel	接连地打，打击
purblind	愚钝的；视力不佳的
purport	意义，涵义
purse	缩拢或撅起；钱包
putative	公认的，普遍认为的
putrefy	使腐烂
putrid	腐臭的
pygmy	矮人，侏儒
pyromania	纵火狂
quadruangle	四边形
quadruped	四足兽
quagmire	沼泽地；困境
qualm	疑惧；紧张不安
queasy	令人恶心的；充满疑虑的
queer	奇怪的，疯狂的
query	质问，疑问，询问
quintessence	完美的榜样；精华
quip	俏皮话，妙语
racketeer	敲诈者，获取不正当钱财的人
raillery	善意的嘲弄
rapscallion	流氓，恶棍
rasp	发出刺耳的声音
ratify	批准
ravish	迷住；抢夺
rebarbative	令人讨厌的，冒犯人的
reckon	推断，估计；猜想，设想
recline	斜倚，躺卧
reconnoiter	侦察，勘察
reedy	长满芦苇的；高而尖的
regal	帝王的；华丽的
regent	摄政者
regiment	团；严格控制
reincarnate	使化身，转生
rejoin	回答，答辩
rejoinder	回答
remission	宽恕，赦免
remit	免除；宽恕；汇款
remittance	汇款
remittent	间歇性的，忽好忽坏的
remonstrance	抗议，抱怨
remonstrate	抗议；规劝
remunerate	报酬，补偿
renascent	再生的，复活的
rendition	表演，扮演；演奏，演唱
renunciate	放弃
repent	懊悔，后悔
replica	复制品
reportage	报道，报道的消息，报告文学
repository	贮藏室，仓库
rescript	公告，法令；重抄
reshuffle	再洗牌；改组
restorative	恢复健康的
resurge	复活
retention	保留，保持
retentive	有记忆力的
reticulation	网目，网状
retrenchment	节省，削减
retroactive	溯及既往的，有追溯效力的
reversion	返回；逆转
revulsion	厌恶，憎恶；剧烈反应
rhapsody	赞美之词；狂想曲
riffle	涟漪
riffraff	乌合之众，群氓
rigmarole	冗长的废话
rinse	以清水冲洗，漂洗
rip	撕裂，撕碎
roister	喝酒喧哗
rollicking	欢闹的
rosy	玫瑰色的；美好的；乐观的；健康的
rote	死记硬背
rotund	圆胖的；洪亮的
roundabout	绕远道的，转弯抹角的
rout	大败，溃败
rove	流浪，漂泊
rowdy	吵闹的；粗暴的
rubble	碎石，瓦砾
ruck	皱褶；普通群众
rucksack	背包
ruddy	红润的，红色的
rumble	发出低沉的隆隆声音
ruminate	反刍；深思
rustle	发出轻而爽的声音
rustler	偷牛贼
saccharine	娇媚的；娇滴滴的
sack	粗布袋；掠夺
sacrament	圣礼，圣事
sadistic	施虐狂的，性施虐狂的
safe	保险柜；冷藏室，饭厨
saga	英雄故事，长篇小说
saliferous	含盐的，产盐的
