sanatorium	疗养院，休养所
sangfroid	沉着，临危不惧
sanitary	卫生的，清洁的
sapling	树苗；年轻人
sardonic	嘲笑的
satanic	穷凶极恶的
sated	厌腻的
scab	创口上所结的疤、痂
scabrous	粗糙的
scads	大量，巨额
scald	烫，用沸水消毒；烫伤
scamper	奔跑，快跑
scan	细查，细看；浏览，扫描；分析韵律
scar	伤痕，伤疤
scare	惊吓，受惊，威吓
scarp	悬崖，陡坡
scathe	损害；烧伤，焦炭；严厉批评
sceptical	怀疑的，不相信的
scintillate	闪烁；流露机智
scission	切断，分离，分裂
scooter	滑行车，踏板车
scorching	酷热的
scour	擦洗，擦亮；四处搜索
scramble	攀登；争夺
scrape	刮擦，擦掉
screed	冗长的演说，长篇大论的文章
scrumptious	很可口的
scud	疾行，疾驶
scutter	疾走
scuttle	舷窗，舱口盖
seafaring	航海的，跟航海有关的
seclude	和别人隔离
sect	派系
sedition	煽动叛乱
seditious	煽动性的
self-abasement	自卑，自谦
self-absorbed	自恋的
self-assertion	坚持己见，自信
senile	年老的
sensitize	使某人或某事物敏感
sensual	肉欲的，淫荡的
sententious	好说教的；简要的
sentry	哨兵，步哨
sequacious	盲从的
sequela	后继者；后遗症
sequestrate	扣押，没收
serenade	夜曲
serendipity	善于发掘新奇事物的天赋
serfdom	农奴身份，农奴境遇
sermonize	说教，讲道
serpentine	似蛇般绕曲的，蜿蜒的
shabby	破烂的；卑鄙的
shack	简陋的小屋，棚屋
shanty	简陋的小木屋
shawl	披肩
sheaf	一捆，一束
sheen	光辉，光泽
shibboleth	陈旧语句
shimmer	闪烁，微微发亮
shipwright	造船者
showy	俗艳的；炫耀的
shred	碎布，破布；些许；撕碎
shrivel	枯萎
shuffle	拖步走；支吾；洗牌
shuttle	穿梭移动，往返运送
sidesplitting	令人捧腹大笑的
sidle	侧身而行
signatory	签署者，签署国
signature	签名，签字
simian	猿的，猴的；猴，类人猿
simile	明喻
sinister	不吉祥的；险恶的
sizzler	炎热天气，大热天
skein	一束
skittish	轻浮的，轻佻的
skullduggery	舞弊
skunk	黄鼬，黄鼠狼；欺骗
skyrocket	陡升，猛涨
slapdash	马虎地
slaver	流口水；奉承；口水
slay	杀，残杀
sleazy	邋遢的；格调低下的
sledge	雪橇
sledgehammer	长柄大锤
sleight	巧妙手法，巧计；灵巧
sling	投掷，扔；吊腕带，吊索
slit	撕裂；裂缝
slobber	口水流口水；粗俗地表示
sloven	不修边幅的人
slue	旋转
slump	猛然落下；暴跌
smirch	玷污；污点
snappish	脾气暴躁的
snappy	精力充沛的；潇洒的
snicker	窃笑，暗笑
snob	势利小人
snuggle	挨近，依偎
sociable	好交际的，友好的，合群的
sojourn	逗留；寄居
somnolent	思睡的；催眠的
sonorous	洪亮的
souse	浸在水中，使湿透
spacious	广阔的，宽敞的
spangle	金属片；闪光
spasmodic	痉挛的；间歇性的
speleology	洞窟学
splashy	溅水的；炫耀显眼的
spool	卷盘
spoor	足迹，臭迹
spout	喷出；滔滔不绝地讲
sprawl	伸展手脚而卧
sprint	短距离全速奔跑
spunk	勇气，胆量
spurn	拒绝，摈弃
squeamish	易受惊的，易恶心的
stab	刺伤，戳
stagger	蹒跚，摇晃
stagy	不自然的，演戏一般的
standstill	处于停顿状态，中止
star-crossed	时运不济的
stash	藏匿，隐藏
steeple	尖塔，尖阁
stoop	俯身；降低身份
stouthearted	刚毅的，大胆的
straggle	迷路；落伍；蔓延
strangulation	扼杀，勒死
studio	工作室，画室，演播室
stun	使晕倒，使惊吓，打晕
stupefy	茫然，吓呆
stupendous	巨大的，大得惊人的
sublimate	升华，净化
subscribe	捐助；订购
subsist	生存下去；继续存在，维持生活
substratum	基础；地基
subvention	补助金，津贴
sully	玷污，污染
sundry	各式各样，各种的
superannuated	老迈的
superlative	最佳的
superstition	迷信，盲目恐惧
