surveillance	监视，盯梢
swank	夸耀，炫耀
swarm	一群；一群
swarthy	黝黑的
swear	诅咒
swipe	猛击
symposium	专题讨论会
tack	大头钉，图钉
tarry	徘徊；耽搁
tattered	衣衫褴褛的；破旧的
tautological	用语重复的
teem	充满；到处都是；下倾盆大雨
teetotal	滴酒不沾的
tendinous	腱的
tensile	张力的，可伸展的
thespian	戏剧的，演戏的
thorny	多刺的；痛苦的，困难的
thrall	奴隶，农奴
thrash	鞭打
thresh	打谷，脱粒
thrifty	节省的
throes	剧痛
throttle	掐脖子；扼杀；节流阀
timeworn	陈旧的，老朽的
tinge	染色；使带气息
tipple	酗酒
topsy-turvy	颠倒的，相反的；乱七八糟的，混乱的
torpedo	鱼雷
torrid	酷热的
torso	躯干；躯干像
torture	酷刑，折磨；对…施以酷刑
touching	引起同情的
touchstone	试金石；检验标准
tousle	弄乱
traduce	中伤，诽谤
trammel	束缚，妨碍；鱼网
tramp	重步走，长途跋涉
transfuse	输血；充满
trawl	拖网；用拖网捕鱼；搜罗
treachery	阴险；背叛
tread	踩踏；步履；车轮胎面
treasurer	司库，财务员，出纳员
trek	艰苦跋涉
tremulous	颤动的，不安的
trench	沟，壕沟
tresses	女人的长发
tribulation	苦难，灾难
tributary	支流；进贡
trickery	欺骗，诡计
trident	三叉戟；三叉鱼叉
trivia	琐事，无价值之物
truant	逃避责任的；逃学者，逃避者
truism	自明之理，真理
trumpery	中看不中用的
tumid	肿起的，肿胀的
tundra	冻原，苔原
tutelage	监护，指导
twaddle	胡说八道，瞎扯
tycoon	有钱有势的企业家，大亨
typhoon	台风
ulcerate	溃烂，生恶疮
ulterior	较晚的，较远的；不可告人的
ultramundane	超俗，世界之外的
unbidden	未经邀请的
unbridled	放纵的
uncooperative	不愿合作的
undisputable	无可争辩的，毫无疑问的
undulate	波动，起伏
unexceptional	非例外的，普通的，平凡的
unilateral	单方面的
unison	齐奏，齐唱；一致的或协调的行动
upfront	坦率的
upstart	突然升官的人，暴发户
upsurge	高涨
uptight	焦虑不安的
urchin	顽童；海胆
ursine	熊的，像熊的
utensil	工具，用具
uxorious	宠爱妻子的
vagabond	浪荡子，流浪者；流浪的
valetudinarian	体弱的人，过分担心生病的人
valor	勇武，英勇
vampire	吸血鬼
vanguard	前卫
vegetate	像植物般生活；无所事事
ventral	腹部的
verbatim	逐字的，照字面的
verge	边缘
vermin	害虫，寄生虫
vernal	春季的，春季似的
versemonger	拙劣诗人，打油诗人
vesture	衣服；覆盖物
viand	食品，食物
vicissitude	变化，变迁，荣枯，盛衰
villainous	邪恶的，恶毒的
vim	精力，活力
vindication	洗冤；证实
vinegared	酸的；尖刻的
virago	泼妇，好骂人或好支配人的女人
virile	有男子气的；雄健的
visage	脸，面貌
visceral	内心深处的；内脏的
vitreous	玻璃的，玻璃状的
vomit	呕吐；呕吐物；催吐剂
vulpine	狐狸般的，狡猾的
wade	涉水；跋涉
wail	哀号，痛哭
waive	放弃；推迟考虑
wallop	痛击，猛打
wallow	在泥水中打滚；沉溺
wangle	用巧计或花言巧语获得某事物
wanton	无节制的，放纵的；顽皮的
warble	叫出柔和的颤音
warden	看守人；管理员
waspish	易怒的；尖刻的
waylay	埋伏，伏击
weird	古怪的；荒唐的
welsh	赖债不还；失信
whelm	用…覆盖，淹没
whelp	犬科的幼兽
whit	一点儿，少量
wig	假发
wiggle	扭动，蠕动
windfall	风吹落的果实；意外的好运
winkle	缓慢而费力地把某人弄出
wiretap	窃听
witch	巫婆，女巫
wizardry	魔术；熟练
wizen	凋谢的，枯萎的
wont	习惯，习俗
woodcut	木刻，木版画
wraith	幽灵；骨瘦如柴的人
wrangle	争吵，吵架
wrath	愤怒，大怒
wreak	发泄怒火，报仇
wreathe	盘绕；把…做成花环
wreckage	残骸
xenophobia	仇外，排外
yaw	偏航
yeoman	自耕农；乡下人
zesty	热望的
