access	得到；使用
annex	附件
asphalt	沥青
barbarian	野蛮人；粗鲁的
bar code	条形码
behoove	应该，有必要；适宜
bewitching	迷人的
bumpkinly	乡巴佬的
cell	单人牢房
chaperone	女伴
coat	涂抹
columnist	专栏作家
dab	轻拍；轻轻地涂抹
dashing	时髦的；活跃的
dike	堤防
dissect	仔细分析，剖析
employ	使用
epistolary	书信体的
evildoer	坏人，坏蛋
fair-minded	公平的，公正的
fetching	动人的，迷人的
fibrous	纤维的
foreordain	预先注定
gag	恶作剧，开玩笑，插科打诨
granulate	使成颗粒状
hardihood	大胆，莽撞
heavy-handed	笨拙的
jettison	抛弃
ladle	杓子，长柄杓
lance	切开
leverage	杠杆作用；力量上的优势
liken	把…比作
madcap	轻率的；狂妄的
marbled	有大理石花纹样的；肥瘦混合的
mastermind	策划，设计者
memorandum	备忘录
nicety	精确；细微的差别
observant	注意的，当心的
pat	合适的
photorespiration	光呼吸作用
privy	个人的；秘密参与的
proscenium	舞台
radical	激进的
rascal	流氓；不诚实的人
rosy	乐观的，有希望的
scratch	乱涂乱画
screen	筛选，系统地测试以决定是否适合
scrimp	节省或精打细算
simpleton	笨蛋，傻瓜
slink	潜逃
snarl	咆哮，怒骂
spike	钉牢；扣球
spoilsport	破坏他人兴致的人
staunch	坚定的
steward	乘务员；管家
traipse	漫步，闲逛
tureen	有盖的汤碗
untrammeled	自由自在的
verisimilitude	逼真
weather	经受住风雨
windfall	意料之外的好运或收入
willy-nilly	不可避免的；乱糟糟的
winning	动人的
wrest	用猛烈的拉、扭的动作取得；夺取
