animadvert	苛责，非难
arrant	完全的，彻底的；极坏的，臭名昭著的
assoil	赦免，释放；补偿；赎
befoul	弄脏，污蔑中伤
besot	使沉醉，使糊涂
bide	等待，逗留
blather	胡说八道
bleary	视线模糊的，朦胧的；精疲力竭的
bonny	健美的，漂亮的
bouncing	精力充沛的；健康的；活泼的
brew	酿酒；招致；酝酿，即将来临
buffet	用手打；连续打击；搏斗
bulldoze	用推土机推平；威胁，恐吓
bullish	股票行情看涨的；乐观的，自信的
bullyrag	恐吓，威胁
bustle	奔忙，忙碌；喧闹，熙熙攘攘
canorous	音调优美的，响亮的
chaffing	玩笑的，嘲弄的
champ	咀嚼
cheeky	无礼的，厚颜无耻的
chipper	充满活力的，愉快的
chubby	丰满的，圆滚滚的
chuck	扔或抛，抛弃，解雇；辞职
clamber	爬上，攀登
clammy	冷而粘湿的 
con	反对；欺骗
countrified	土气的，粗俗的
crackpot	狂想者，癫狂的人
crib	抄袭，剽窃
crimp	压褶，使卷曲；阻碍，束缚
cull	挑选，精选；挑剩下的次品
dash	破坏；使受挫；使羞愧
deluxe	豪华的，华丽的
desist	停止
dicker	讨价还价
dillydally	磨蹭，浪费时间
dither	慌张，犹豫不决
divers	多样的，各种各样的
dowse	探寻水源或矿藏
draggy	单调而无生气的
drawn	憔悴的
drip	滴下
drool	流口水；胡说
drub	重击；严责；彻底击败
edgy	急躁的，易激动的；锋利的
elysian	乐土的；像天空的；幸福的
encomiastic	颂赞的；阿谀的
epideictic	夸耀的
fancied	空想的，虚构的
fatidic	预言的
finagle	骗取，骗得
flatulent	自负的，浮夸的
flighty	轻浮的；反复无常的
flimflam	欺骗；胡言乱语
flossy	华丽的；时髦的；丝绵的，柔软的
flummox	使混乱；背诵出错；失败
folksy	有民间风味的；亲切的，友好的
freestanding	独立的；不依靠支撑物的
frumpy	邋遢的；老式的，过时的
fuddle	灌醉；使迷糊
funky	有霉臭味的
gabby	饶舌的
gawky	迟钝的，笨拙的 
goof	犯错误；消磨时间
gracile	细弱的 ，纤细优美的
gravitate	被强烈地吸引
hanker	渴望，追求
hazy	朦胧的，不清楚的
heady	任性的；鲁莽的
huffish	不高兴的，傲慢的
huffy	愤怒的，怨恨的
hunker	蹲下；顽固地坚持
hurtle	急飞
interlard	使混杂，混入；点缀
jab	猛刺
josh	戏弄，戏耍
jostle	推挤；挤开通路
jounce	颠簸地移动
jumpy	紧张不安的，心惊肉跳的
lard	使丰富，使充满
leach	过滤
lymphatic	无力的；迟缓的
matte	无光泽的
maunder	胡扯；游荡
mealy	粉状的；肤色不健康的，苍白的
muck	堆肥，淤泥；施肥；捣乱
mull	思考，思索；混乱
munch	出声咀嚼
musky	麝香的
nifty	漂亮的；妙的
nippy	寒冷刺骨的，刺鼻的
obsessive	强迫性的；分神的
oleaginous	油腻的；圆滑的，满口恭维的
ornery	顽固的，爱争吵的
pavid	害怕的，胆小的
peachy	极好的，漂亮的
peckish	饿的；急躁的
pelagic	远洋的，海水的
pendulous	下垂的
perk	恢复，振作；打扮；竖起
picayunish	微不足道的；不值钱的
piteous	可怜的 
pop	发出砰的一声；突然出现
pound	强烈打击；心砰砰跳；费力地移动
prong	刺，戳，贯穿
pudgy	短而胖的；胖嘟嘟的
pushy	过于积极的，冒进的
putter	闲荡；置放者
quasi	貌似的，类似的，准的
quicksilver	水银的；易变的；涂上水银
quondam	原来的，以前的
rack	使痛苦，使受折磨
ramp	稳定增长或下降；坡道，斜坡
raptorial	食肉的；凶猛的
ravening	狼吞虎咽的
recusant	不服从规章的
retch	作呕，恶心
ritzy	时髦的，势利的
sag	松弛，下垂
sanitize	使…清洁
satiny	光滑的，柔细的
saucy	无礼的；调皮的；漂亮的
scamp	草率地做；恶棍，流氓
scraggly	参差不齐的；蓬乱的 
scruffy	肮脏的，不洁的
shamble	蹒跚而行，踉跄而行
shilly-shally	犹豫不决；虚度时光
simonize	给…上蜡，把…擦亮
slog	猛击；苦干
slosh	溅，泼；雪泥
slug	猛击，拳击
smite	重打，猛击，折磨
smut	污迹；弄脏，污
snipe	狙击
snivel	流鼻涕；啜泣
snooze	打盹儿，打瞌睡
soigne	时髦的，优雅的
soulful	充满热情的，深情的
sour	酸的
spatter	喷洒
spew	呕吐；大量喷出
sportive	嬉戏的，欢闹的
squab	刚孵出的，羽毛未丰的
squirt	喷，射
stampede	惊跑，逃窜
stately	庄严的；宏伟的
staunch	坚定的；忠诚的
sticky	湿热的；闷热的
straiten	使陷入困难；使变窄
stricken	被折磨的；被击中的
swathe	包，绑，裹
swig	痛饮
swoop	猛扑，突然袭击
tatter	撕碎；碎片
tattle	闲聊；泄露秘密
thump	重击，捶击
tony	高贵的，豪华的
troll	钓鱼；兴高采烈地唱
trounce	痛击，彻底地打败
tumble	突然跌倒；突然下跌，倒塌
tweak	扭，拧，揪；调节，微调
unbosom	倾诉，吐露心事
velvety	柔软光滑的，爽口的
verboten	被禁止的，严禁的
versant	专心从事的；倾斜
vest	授权，授予，赋予
vintage	经典的；最好的
wacky	古怪的，愚蠢的
wend	行，走
wheeze	喘息，发出呼哧呼哧的声音
whimper	哭哭啼啼，抽泣
wigwag	摇动，摇摆
wile	诡计；花言巧语
wispy	纤细的，脆弱的
wroth	激怒的，非常愤怒的
yank	拽；拔；猛拔
yen	上瘾，渴望
yowl	嚎叫，恸哭
yummy	美味的，可口的
zany	荒唐可笑的；像小丑的；小丑，丑角
zoom	急速上升
